Time,indeed jobs
2022-08-29,93
2022-08-30,86
2022-08-31,90
2022-09-01,80
2022-09-02,66
2022-09-03,50
2022-09-04,53
2022-09-05,62
2022-09-06,90
2022-09-07,88
2022-09-08,82
2022-09-09,62
2022-09-10,49
2022-09-11,57
2022-09-12,88
2022-09-13,91
2022-09-14,84
2022-09-15,86
2022-09-16,66
2022-09-17,52
2022-09-18,50
2022-09-19,91
2022-09-20,90
2022-09-21,86
2022-09-22,80
2022-09-23,59
2022-09-24,49
2022-09-25,52
2022-09-26,80
2022-09-27,82
2022-09-28,76
2022-09-29,77
2022-09-30,62
2022-10-01,47
2022-10-02,51
2022-10-03,80
2022-10-04,87
2022-10-05,81
2022-10-06,78
2022-10-07,62
2022-10-08,50
2022-10-09,49
2022-10-10,80
2022-10-11,81
2022-10-12,88
2022-10-13,72
2022-10-14,63
2022-10-15,46
2022-10-16,52
2022-10-17,77
2022-10-18,83
2022-10-19,80
2022-10-20,70
2022-10-21,65
2022-10-22,50
2022-10-23,54
2022-10-24,82
2022-10-25,84
2022-10-26,82
2022-10-27,72
2022-10-28,61
2022-10-29,47
2022-10-30,51
2022-10-31,70
2022-11-01,84
2022-11-02,78
2022-11-03,76
2022-11-04,64
2022-11-05,48
2022-11-06,54
2022-11-07,84
2022-11-08,75
2022-11-09,71
2022-11-10,69
2022-11-11,59
2022-11-12,51
2022-11-13,48
2022-11-14,76
2022-11-15,74
2022-11-16,75
2022-11-17,67
2022-11-18,62
2022-11-19,50
2022-11-20,46
2022-11-21,60
2022-11-22,65
2022-11-23,49
2022-11-24,33
2022-11-25,42
2022-11-26,41
2022-11-27,47
2022-11-28,74
2022-11-29,77
2022-11-30,72
2022-12-01,75
2022-12-02,62
2022-12-03,46
2022-12-04,48
2022-12-05,70
2022-12-06,78
2022-12-07,70
2022-12-08,68
2022-12-09,55
2022-12-10,45
2022-12-11,50
2022-12-12,68
2022-12-13,66
2022-12-14,63
2022-12-15,62
2022-12-16,55
2022-12-17,44
2022-12-18,41
2022-12-19,60
2022-12-20,65
2022-12-21,59
2022-12-22,53
2022-12-23,43
2022-12-24,31
2022-12-25,30
2022-12-26,54
2022-12-27,71
2022-12-28,82
2022-12-29,76
2022-12-30,64
2022-12-31,47
2023-01-01,51
2023-01-02,72
2023-01-03,90
2023-01-04,96
2023-01-05,92
2023-01-06,80
2023-01-07,59
2023-01-08,57
2023-01-09,92
2023-01-10,93
2023-01-11,94
2023-01-12,86
2023-01-13,67
2023-01-14,56
2023-01-15,58
2023-01-16,78
2023-01-17,98
2023-01-18,94
2023-01-19,86
2023-01-20,74
2023-01-21,54
2023-01-22,54
2023-01-23,95
2023-01-24,96
2023-01-25,90
2023-01-26,82
2023-01-27,72
2023-01-28,55
2023-01-29,52
2023-01-30,84
2023-01-31,91
2023-02-01,85
2023-02-02,84
2023-02-03,68
2023-02-04,52
2023-02-05,55
2023-02-06,80
2023-02-07,88
2023-02-08,82
2023-02-09,78
2023-02-10,67
2023-02-11,56
2023-02-12,51
2023-02-13,73
2023-02-14,71
2023-02-15,80
2023-02-16,87
2023-02-17,73
2023-02-18,53
2023-02-19,56
2023-02-20,86
2023-02-21,87
2023-02-22,88
2023-02-23,75
2023-02-24,62
2023-02-25,54
2023-02-26,53
2023-02-27,85
2023-02-28,83
2023-03-01,77
2023-03-02,79
2023-03-03,62
2023-03-04,54
2023-03-05,51
2023-03-06,84
2023-03-07,90
2023-03-08,86
2023-03-09,75
2023-03-10,66
2023-03-11,53
2023-03-12,53
2023-03-13,81
2023-03-14,82
2023-03-15,78
2023-03-16,75
2023-03-17,65
2023-03-18,52
2023-03-19,55
2023-03-20,85
2023-03-21,92
2023-03-22,87
2023-03-23,79
2023-03-24,63
2023-03-25,53
2023-03-26,57
2023-03-27,84
2023-03-28,82
2023-03-29,87
2023-03-30,77
2023-03-31,65
2023-04-01,53
2023-04-02,51
2023-04-03,88
2023-04-04,84
2023-04-05,77
2023-04-06,77
2023-04-07,63
2023-04-08,51
2023-04-09,54
2023-04-10,88
2023-04-11,93
2023-04-12,85
2023-04-13,83
2023-04-14,69
2023-04-15,58
2023-04-16,57
2023-04-17,91
2023-04-18,93
2023-04-19,93
2023-04-20,79
2023-04-21,70
2023-04-22,54
2023-04-23,59
2023-04-24,87
2023-04-25,91
2023-04-26,88
2023-04-27,81
2023-04-28,67
2023-04-29,55
2023-04-30,57
2023-05-01,94
2023-05-02,94
2023-05-03,89
2023-05-04,84
2023-05-05,64
2023-05-06,58
2023-05-07,54
2023-05-08,93
2023-05-09,95
2023-05-10,89
2023-05-11,79
2023-05-12,68
2023-05-13,54
2023-05-14,48
2023-05-15,94
2023-05-16,100
2023-05-17,98
2023-05-18,93
2023-05-19,75
2023-05-20,59
2023-05-21,56
2023-05-22,100
2023-05-23,99
2023-05-24,91
2023-05-25,93
