Time,indeed jobs
2025-04-15,91
2025-04-16,85
2025-04-17,82
2025-04-18,69
2025-04-19,55
2025-04-20,49
2025-04-21,81
2025-04-22,100
2025-04-23,92
2025-04-24,83
2025-04-25,67
2025-04-26,54
2025-04-27,61
2025-04-28,83
2025-04-29,96
2025-04-30,79
2025-05-01,80
2025-05-02,70
2025-05-03,56
2025-05-04,59
2025-05-05,82
2025-05-06,84
2025-05-07,81
2025-05-08,80
2025-05-09,84
2025-05-10,52
2025-05-11,51
2025-05-12,82
2025-05-13,90
2025-05-14,82
2025-05-15,82
2025-05-16,68
2025-05-17,55
2025-05-18,60
2025-05-19,80
2025-05-20,91
2025-05-21,86
2025-05-22,78
2025-05-23,69
2025-05-24,53
2025-05-25,51
2025-05-26,61
2025-05-27,88
2025-05-28,93
2025-05-29,89
2025-05-30,80
2025-05-31,56
2025-06-01,59
2025-06-02,85
2025-06-03,88
2025-06-04,81
2025-06-05,78
2025-06-06,73
2025-06-07,53
2025-06-08,54
2025-06-09,81
2025-06-10,85
2025-06-11,86
2025-06-12,81
2025-06-13,69
2025-06-14,48
2025-06-15,48
2025-06-16,84
2025-06-17,83
2025-06-18,79
2025-06-19,73
2025-06-20,69
2025-06-21,50
2025-06-22,47
2025-06-23,79
2025-06-24,87
2025-06-25,80
2025-06-26,80
2025-06-27,69
2025-06-28,54
2025-06-29,52
2025-06-30,86
2025-07-01,80
2025-07-02,75
2025-07-03,68
2025-07-04,49
2025-07-05,43
2025-07-06,61
2025-07-07,84
2025-07-08,93
2025-07-09,93
2025-07-10,86
2025-07-11,72
2025-07-12,52
2025-07-13,54
2025-07-14,85
2025-07-15,82
2025-07-16,82
2025-07-17,78
2025-07-18,70
2025-07-19,51
2025-07-20,52
2025-07-21,86
2025-07-22,83
2025-07-23,80
2025-07-24,75
2025-07-25,67
2025-07-26,50
2025-07-27,52
2025-07-28,77
2025-07-29,79
2025-07-30,73
2025-07-31,76
2025-08-01,66
2025-08-02,51
2025-08-03,53
2025-08-04,79
2025-08-05,89
2025-08-06,86
2025-08-07,83
2025-08-08,70
2025-08-09,50
2025-08-10,56
2025-08-11,81
2025-08-12,87
2025-08-13,83
2025-08-14,82
2025-08-15,74
2025-08-16,54
2025-08-17,55
2025-08-18,80
2025-08-19,85
2025-08-20,79
2025-08-21,77
2025-08-22,68
2025-08-23,52
2025-08-24,55
2025-08-25,84
2025-08-26,79
2025-08-27,81
2025-08-28,76
2025-08-29,61
2025-08-30,43
2025-08-31,45
2025-09-01,56
2025-09-02,80
2025-09-03,80
2025-09-04,71
2025-09-05,67
2025-09-06,48
2025-09-07,48
2025-09-08,76
2025-09-09,75
2025-09-10,71
2025-09-11,65
2025-09-12,55
2025-09-13,43
2025-09-14,44
2025-09-15,73
2025-09-16,73
2025-09-17,69
2025-09-18,67
2025-09-19,61
2025-09-20,46
2025-09-21,44
2025-09-22,76
2025-09-23,74
2025-09-24,72
2025-09-25,67
2025-09-26,65
2025-09-27,47
2025-09-28,47
2025-09-29,72
2025-09-30,75
2025-10-01,69
2025-10-02,66
2025-10-03,57
2025-10-04,45
2025-10-05,46
2025-10-06,76
2025-10-07,71
2025-10-08,74
2025-10-09,67
2025-10-10,57
2025-10-11,45
2025-10-12,45
2025-10-13,70
2025-10-14,78
2025-10-15,69
2025-10-16,66
2025-10-17,60
2025-10-18,42
2025-10-19,45
2025-10-20,71
2025-10-21,68
2025-10-22,71
2025-10-23,67
2025-10-24,56
2025-10-25,43
2025-10-26,44
2025-10-27,68
2025-10-28,70
2025-10-29,66
2025-10-30,60
2025-10-31,50
2025-11-01,40
2025-11-02,45
2025-11-03,65
2025-11-04,68
2025-11-05,68
2025-11-06,66
2025-11-07,59
2025-11-08,46
2025-11-09,43
2025-11-10,64
2025-11-11,68
2025-11-12,65
2025-11-13,65
2025-11-14,55
2025-11-15,42
2025-11-16,43
2025-11-17,65
2025-11-18,78
2025-11-19,68
2025-11-20,63
2025-11-21,56
2025-11-22,43
2025-11-23,41
2025-11-24,57
2025-11-25,56
2025-11-26,47
2025-11-27,27
2025-11-28,35
2025-11-29,39
2025-11-30,45
2025-12-01,70
2025-12-02,67
2025-12-03,65
2025-12-04,64
2025-12-05,57
2025-12-06,42
2025-12-07,43
2025-12-08,62
2025-12-09,64
2025-12-10,61
2025-12-11,59
2025-12-12,50
2025-12-13,43
2025-12-14,40
2025-12-15,58
2025-12-16,58
2025-12-17,60
2025-12-18,56
2025-12-19,50
2025-12-20,37
2025-12-21,36
2025-12-22,52
2025-12-23,45
2025-12-24,32
2025-12-25,25
2025-12-26,44
2025-12-27,44
2025-12-28,47
2025-12-29,66
2025-12-30,67
2025-12-31,51
2026-01-01,40
2026-01-02,61
2026-01-03,52
2026-01-04,53
2026-01-05,76
2026-01-06,79
2026-01-07,79
2026-01-08,70
2026-01-09,63
