Time,evan peters
2023-04-26,33
2023-04-27,37
2023-04-28,32
2023-04-29,36
2023-04-30,42
2023-05-01,32
2023-05-02,33
2023-05-03,36
2023-05-04,27
2023-05-05,32
2023-05-06,34
2023-05-07,32
2023-05-08,39
2023-05-09,36
2023-05-10,28
2023-05-11,32
2023-05-12,30
2023-05-13,40
2023-05-14,38
2023-05-15,31
2023-05-16,28
2023-05-17,27
2023-05-18,25
2023-05-19,32
2023-05-20,41
2023-05-21,40
2023-05-22,29
2023-05-23,32
2023-05-24,32
2023-05-25,61
2023-05-26,46
2023-05-27,39
2023-05-28,36
2023-05-29,41
2023-05-30,41
2023-05-31,37
2023-06-01,37
2023-06-02,33
2023-06-03,48
2023-06-04,37
2023-06-05,35
2023-06-06,34
2023-06-07,33
2023-06-08,51
2023-06-09,36
2023-06-10,40
2023-06-11,45
2023-06-12,40
2023-06-13,35
2023-06-14,36
2023-06-15,36
2023-06-16,42
2023-06-17,44
2023-06-18,42
2023-06-19,40
2023-06-20,39
2023-06-21,36
2023-06-22,36
2023-06-23,41
2023-06-24,45
2023-06-25,42
2023-06-26,32
2023-06-27,32
2023-06-28,38
2023-06-29,52
2023-06-30,35
2023-07-01,37
2023-07-02,40
2023-07-03,43
2023-07-04,48
2023-07-05,33
2023-07-06,30
2023-07-07,40
2023-07-08,45
2023-07-09,42
2023-07-10,44
2023-07-11,37
2023-07-12,38
2023-07-13,39
2023-07-14,39
2023-07-15,60
2023-07-16,100
2023-07-17,63
2023-07-18,52
2023-07-19,39
2023-07-20,42
2023-07-21,46
2023-07-22,65
2023-07-23,62
2023-07-24,51
2023-07-25,44
2023-07-26,43
2023-07-27,40
2023-07-28,40
2023-07-29,42
2023-07-30,49
2023-07-31,45
2023-08-01,33
2023-08-02,31
2023-08-03,31
2023-08-04,36
2023-08-05,42
2023-08-06,42
2023-08-07,38
2023-08-08,45
2023-08-09,46
2023-08-10,44
2023-08-11,40
2023-08-12,48
2023-08-13,51
2023-08-14,36
2023-08-15,35
2023-08-16,36
2023-08-17,39
2023-08-18,35
2023-08-19,37
2023-08-20,41
2023-08-21,38
2023-08-22,40
2023-08-23,35
2023-08-24,47
2023-08-25,39
2023-08-26,45
2023-08-27,36
2023-08-28,34
2023-08-29,32
2023-08-30,31
2023-08-31,39
2023-09-01,33
2023-09-02,41
2023-09-03,38
2023-09-04,42
2023-09-05,40
2023-09-06,39
2023-09-07,35
2023-09-08,32
2023-09-09,45
2023-09-10,41
2023-09-11,36
2023-09-12,37
2023-09-13,30
2023-09-14,31
2023-09-15,34
2023-09-16,34
2023-09-17,46
2023-09-18,32
2023-09-19,34
2023-09-20,52
2023-09-21,80
2023-09-22,55
2023-09-23,52
2023-09-24,65
2023-09-25,57
2023-09-26,43
2023-09-27,39
2023-09-28,40
2023-09-29,40
2023-09-30,47
2023-10-01,46
2023-10-02,48
2023-10-03,36
2023-10-04,43
2023-10-05,36
2023-10-06,44
2023-10-07,56
2023-10-08,52
2023-10-09,49
2023-10-10,40
2023-10-11,47
2023-10-12,41
2023-10-13,40
2023-10-14,50
2023-10-15,55
2023-10-16,46
2023-10-17,44
2023-10-18,54
2023-10-19,42
2023-10-20,46
2023-10-21,46
2023-10-22,49
2023-10-23,45
2023-10-24,40
2023-10-25,37
2023-10-26,48
2023-10-27,49
2023-10-28,60
2023-10-29,47
2023-10-30,43
2023-10-31,54
2023-11-01,54
2023-11-02,47
2023-11-03,40
2023-11-04,42
2023-11-05,52
2023-11-06,49
2023-11-07,48
2023-11-08,38
2023-11-09,43
2023-11-10,40
2023-11-11,45
2023-11-12,35
2023-11-13,32
2023-11-14,29
2023-11-15,36
2023-11-16,30
2023-11-17,32
2023-11-18,30
2023-11-19,41
2023-11-20,36
2023-11-21,36
2023-11-22,31
2023-11-23,32
2023-11-24,28
2023-11-25,33
2023-11-26,49
2023-11-27,39
2023-11-28,34
2023-11-29,29
2023-11-30,30
2023-12-01,32
2023-12-02,31
2023-12-03,31
2023-12-04,32
2023-12-05,33
2023-12-06,27
2023-12-07,28
2023-12-08,20
2023-12-09,36
2023-12-10,27
2023-12-11,23
2023-12-12,25
2023-12-13,23
2023-12-14,22
2023-12-15,24
2023-12-16,30
2023-12-17,33
2023-12-18,30
2023-12-19,31
2023-12-20,24
2023-12-21,27
2023-12-22,32
2023-12-23,34
2023-12-24,30
2023-12-25,32
2023-12-26,26
2023-12-27,30
2023-12-28,34
2023-12-29,44
2023-12-30,34
2023-12-31,35
2024-01-01,36
2024-01-02,35
2024-01-03,39
2024-01-04,30
2024-01-05,24
2024-01-06,36
2024-01-07,37
2024-01-08,34
2024-01-09,40
2024-01-10,28
2024-01-11,32
2024-01-12,29
2024-01-13,31
2024-01-14,40
2024-01-15,25
2024-01-16,80
2024-01-17,49
2024-01-18,34
2024-01-19,40
2024-01-20,55
