Time,bubble tea
2023-12-22,47
2023-12-23,49
2023-12-24,54
2023-12-25,46
2023-12-26,49
2023-12-27,48
2023-12-28,47
2023-12-29,51
2023-12-30,56
2023-12-31,51
2024-01-01,50
2024-01-02,43
2024-01-03,36
2024-01-04,41
2024-01-05,44
2024-01-06,53
2024-01-07,54
2024-01-08,35
2024-01-09,33
2024-01-10,33
2024-01-11,38
2024-01-12,45
2024-01-13,48
2024-01-14,52
2024-01-15,50
2024-01-16,35
2024-01-17,32
2024-01-18,35
2024-01-19,34
2024-01-20,54
2024-01-21,52
2024-01-22,36
2024-01-23,32
2024-01-24,39
2024-01-25,37
2024-01-26,41
2024-01-27,64
2024-01-28,59
2024-01-29,48
2024-01-30,40
2024-01-31,36
2024-02-01,37
2024-02-02,38
2024-02-03,64
2024-02-04,64
2024-02-05,37
2024-02-06,37
2024-02-07,48
2024-02-08,41
2024-02-09,46
2024-02-10,61
2024-02-11,59
2024-02-12,37
2024-02-13,32
2024-02-14,42
2024-02-15,45
2024-02-16,43
2024-02-17,60
2024-02-18,70
2024-02-19,54
2024-02-20,43
2024-02-21,37
2024-02-22,44
2024-02-23,45
2024-02-24,62
2024-02-25,68
2024-02-26,39
2024-02-27,40
2024-02-28,36
2024-02-29,40
2024-03-01,44
2024-03-02,68
2024-03-03,65
2024-03-04,42
2024-03-05,36
2024-03-06,38
2024-03-07,41
2024-03-08,47
2024-03-09,60
2024-03-10,65
2024-03-11,44
2024-03-12,45
2024-03-13,46
2024-03-14,41
2024-03-15,46
2024-03-16,67
2024-03-17,67
2024-03-18,39
2024-03-19,37
2024-03-20,40
2024-03-21,37
2024-03-22,50
2024-03-23,58
2024-03-24,59
2024-03-25,42
2024-03-26,39
2024-03-27,48
2024-03-28,46
2024-03-29,52
2024-03-30,59
2024-03-31,61
2024-04-01,42
2024-04-02,37
2024-04-03,39
2024-04-04,36
2024-04-05,42
2024-04-06,62
2024-04-07,64
2024-04-08,39
2024-04-09,42
2024-04-10,40
2024-04-11,38
2024-04-12,46
2024-04-13,63
2024-04-14,65
2024-04-15,40
2024-04-16,40
2024-04-17,36
2024-04-18,41
2024-04-19,44
2024-04-20,63
2024-04-21,62
2024-04-22,44
2024-04-23,45
2024-04-24,64
2024-04-25,51
2024-04-26,46
2024-04-27,66
2024-04-28,68
2024-04-29,49
2024-04-30,100
2024-05-01,53
2024-05-02,46
2024-05-03,45
2024-05-04,57
2024-05-05,57
2024-05-06,38
2024-05-07,48
2024-05-08,45
2024-05-09,47
2024-05-10,46
2024-05-11,62
2024-05-12,72
2024-05-13,38
2024-05-14,46
2024-05-15,42
2024-05-16,41
2024-05-17,48
2024-05-18,68
2024-05-19,68
2024-05-20,43
2024-05-21,43
2024-05-22,45
2024-05-23,46
2024-05-24,46
2024-05-25,65
2024-05-26,64
2024-05-27,54
2024-05-28,39
2024-05-29,41
2024-05-30,45
2024-05-31,51
2024-06-01,63
2024-06-02,58
2024-06-03,43
2024-06-04,42
2024-06-05,39
2024-06-06,39
2024-06-07,45
2024-06-08,61
2024-06-09,66
2024-06-10,52
2024-06-11,42
2024-06-12,45
2024-06-13,44
2024-06-14,47
2024-06-15,56
2024-06-16,63
2024-06-17,45
2024-06-18,42
2024-06-19,47
2024-06-20,43
2024-06-21,49
2024-06-22,54
2024-06-23,59
2024-06-24,42
2024-06-25,42
2024-06-26,47
2024-06-27,57
2024-06-28,45
2024-06-29,53
2024-06-30,59
2024-07-01,44
2024-07-02,41
2024-07-03,40
2024-07-04,60
2024-07-05,48
2024-07-06,54
2024-07-07,58
2024-07-08,38
2024-07-09,41
2024-07-10,39
2024-07-11,42
2024-07-12,42
2024-07-13,50
2024-07-14,56
2024-07-15,39
2024-07-16,38
2024-07-17,42
2024-07-18,45
2024-07-19,43
2024-07-20,61
2024-07-21,58
2024-07-22,38
2024-07-23,41
2024-07-24,43
2024-07-25,42
2024-07-26,50
2024-07-27,58
2024-07-28,63
2024-07-29,39
2024-07-30,35
2024-07-31,43
2024-08-01,38
2024-08-02,39
2024-08-03,52
2024-08-04,59
2024-08-05,38
2024-08-06,38
2024-08-07,40
2024-08-08,39
2024-08-09,45
2024-08-10,52
2024-08-11,60
2024-08-12,44
2024-08-13,39
2024-08-14,42
2024-08-15,40
2024-08-16,45
2024-08-17,56
2024-08-18,56
2024-08-19,35
2024-08-20,34
2024-08-21,35
2024-08-22,36
2024-08-23,37
2024-08-24,53
2024-08-25,51
2024-08-26,35
2024-08-27,30
2024-08-28,33
2024-08-29,41
2024-08-30,40
2024-08-31,47
2024-09-01,55
2024-09-02,53
2024-09-03,34
2024-09-04,58
2024-09-05,39
2024-09-06,39
2024-09-07,50
2024-09-08,52
2024-09-09,35
2024-09-10,31
2024-09-11,29
2024-09-12,38
2024-09-13,38
2024-09-14,51
2024-09-15,47
2024-09-16,29
