Time,bubble tea
2025-12-11,34
2025-12-12,32
2025-12-13,40
2025-12-14,33
2025-12-15,31
2025-12-16,30
2025-12-17,31
2025-12-18,35
2025-12-19,38
2025-12-20,44
2025-12-21,39
2025-12-22,32
2025-12-23,35
2025-12-24,35
2025-12-25,40
2025-12-26,34
2025-12-27,36
2025-12-28,43
2025-12-29,35
2025-12-30,37
2025-12-31,39
2026-01-01,44
2026-01-02,38
2026-01-03,47
2026-01-04,40
2026-01-05,29
2026-01-06,27
2026-01-07,35
2026-01-08,34
2026-01-09,36
2026-01-10,45
2026-01-11,44
2026-01-12,32
2026-01-13,29
2026-01-14,36
2026-01-15,35
2026-01-16,37
2026-01-17,49
2026-01-18,47
2026-01-19,42
2026-01-20,33
2026-01-21,39
2026-01-22,33
2026-01-23,36
2026-01-24,43
2026-01-25,37
2026-01-26,34
2026-01-27,29
2026-01-28,33
2026-01-29,39
2026-01-30,40
2026-01-31,49
2026-02-01,52
2026-02-02,34
2026-02-03,36
2026-02-04,40
2026-02-05,40
2026-02-06,39
2026-02-07,50
2026-02-08,46
2026-02-09,35
2026-02-10,42
2026-02-11,38
2026-02-12,37
2026-02-13,61
2026-02-14,68
2026-02-15,50
2026-02-16,52
2026-02-17,41
2026-02-18,33
2026-02-19,39
2026-02-20,36
2026-02-21,68
2026-02-22,100
2026-02-23,51
2026-02-24,36
2026-02-25,35
2026-02-26,42
2026-02-27,46
2026-02-28,48
2026-03-01,44
2026-03-02,35
2026-03-03,34
2026-03-04,37
2026-03-05,37
2026-03-06,33
2026-03-07,45
2026-03-08,48
2026-03-09,35
2026-03-10,38
2026-03-11,36
2026-03-12,34
2026-03-13,38
2026-03-14,48
2026-03-15,45
2026-03-16,33
2026-03-17,36
2026-03-18,36
2026-03-19,36
2026-03-20,46
2026-03-21,50
2026-03-22,53
2026-03-23,37
2026-03-24,35
2026-03-25,33
2026-03-26,38
2026-03-27,41
2026-03-28,47
2026-03-29,64
2026-03-30,39
2026-03-31,39
2026-04-01,45
2026-04-02,41
2026-04-03,53
2026-04-04,61
2026-04-05,58
2026-04-06,46
2026-04-07,45
2026-04-08,63
2026-04-09,59
2026-04-10,55
2026-04-11,70
2026-04-12,64
2026-04-13,48
2026-04-14,52
2026-04-15,49
2026-04-16,53
2026-04-17,51
2026-04-18,58
2026-04-19,54
2026-04-20,44
2026-04-21,44
2026-04-22,46
2026-04-23,43
2026-04-24,47
2026-04-25,46
2026-04-26,52
2026-04-27,38
2026-04-28,33
2026-04-29,45
2026-04-30,59
2026-05-01,44
2026-05-02,49
2026-05-03,49
2026-05-04,41
2026-05-05,39
2026-05-06,38
2026-05-07,43
2026-05-08,45
2026-05-09,52
2026-05-10,59
2026-05-11,39
2026-05-12,38
2026-05-13,52
2026-05-14,51
2026-05-15,56
2026-05-16,58
2026-05-17,64
2026-05-18,49
2026-05-19,47
2026-05-20,44
2026-05-21,45
2026-05-22,41
2026-05-23,55
2026-05-24,53
2026-05-25,57
2026-05-26,40
2026-05-27,40
2026-05-28,43
2026-05-29,43
2026-05-30,60
2026-05-31,50
