Time,monthly_gt
2021-12-26,30
2022-01-02,44
2022-01-09,51
2022-01-16,44
2022-01-23,58
2022-01-30,57
2022-02-06,71
2022-02-13,69
2022-02-20,69
2022-02-27,65
2022-03-06,65
2022-03-13,71
2022-03-20,64
2022-03-27,80
2022-04-03,82
2022-04-10,77
2022-04-17,78
2022-04-24,83
2022-05-01,79
2022-05-08,68
2022-05-15,56
2022-05-22,51
2022-05-29,46
2022-06-05,51
2022-06-12,50
2022-06-19,51
2022-06-26,47
2022-07-03,45
2022-07-10,48
2022-07-17,55
2022-07-24,47
2022-07-31,44
2022-08-07,42
2022-08-14,45
2022-08-21,51
2022-08-28,52
2022-09-04,55
2022-09-11,69
2022-09-18,68
2022-09-25,64
2022-10-02,66
2022-10-09,70
2022-10-16,67
2022-10-23,70
2022-10-30,72
2022-11-06,65
2022-11-13,69
2022-11-20,56
2022-11-27,65
2022-12-04,65
2022-12-11,66
2022-12-18,47
2022-12-25,38
2023-01-01,41
2023-01-08,58
2023-01-15,57
2023-01-22,68
2023-01-29,73
2023-02-05,72
2023-02-12,75
2023-02-19,68
2023-02-26,77
2023-03-05,69
2023-03-12,67
2023-03-19,69
2023-03-26,74
2023-04-02,65
2023-04-09,75
2023-04-16,79
2023-04-23,72
2023-04-30,66
2023-05-07,69
2023-05-14,59
2023-05-21,58
2023-05-28,50
2023-06-04,49
2023-06-11,51
2023-06-18,52
2023-06-25,57
2023-07-02,46
2023-07-09,56
2023-07-16,47
2023-07-23,50
2023-07-30,50
2023-08-06,47
2023-08-13,50
2023-08-20,52
2023-08-27,59
2023-09-03,63
2023-09-10,73
2023-09-17,78
2023-09-24,75
2023-10-01,75
2023-10-08,73
2023-10-15,75
2023-10-22,73
2023-10-29,75
2023-11-05,78
2023-11-12,79
2023-11-19,56
2023-11-26,81
2023-12-03,85
2023-12-10,74
2023-12-17,48
2023-12-24,31
2023-12-31,48
2024-01-07,58
2024-01-14,66
2024-01-21,74
2024-01-28,75
2024-02-04,77
2024-02-11,75
2024-02-18,78
2024-02-25,83
2024-03-03,82
2024-03-10,76
2024-03-17,79
2024-03-24,73
2024-03-31,74
2024-04-07,82
2024-04-14,88
2024-04-21,87
2024-04-28,75
2024-05-05,71
2024-05-12,66
2024-05-19,63
2024-05-26,54
2024-06-02,58
2024-06-09,59
2024-06-16,48
2024-06-23,60
2024-06-30,55
2024-07-07,58
2024-07-14,55
2024-07-21,56
2024-07-28,55
2024-08-04,50
2024-08-11,49
2024-08-18,55
2024-08-25,57
2024-09-01,65
2024-09-08,76
2024-09-15,84
2024-09-22,77
2024-09-29,77
2024-10-06,79
2024-10-13,75
2024-10-20,85
2024-10-27,79
2024-11-03,71
2024-11-10,78
2024-11-17,85
2024-11-24,58
2024-12-01,85
2024-12-08,83
2024-12-15,66
2024-12-22,39
2024-12-29,46
2025-01-05,65
2025-01-12,68
2025-01-19,66
2025-01-26,80
2025-02-02,86
2025-02-09,78
2025-02-16,88
2025-02-23,88
2025-03-02,88
2025-03-09,73
2025-03-16,79
2025-03-23,85
2025-03-30,86
2025-04-06,80
2025-04-13,80
2025-04-20,75
2025-04-27,83
2025-05-04,80
2025-05-11,72
2025-05-18,72
2025-05-25,67
2025-06-01,70
2025-06-08,59
2025-06-15,61
2025-06-22,60
2025-06-29,61
2025-07-06,60
2025-07-13,61
2025-07-20,62
2025-07-27,68
2025-08-03,60
2025-08-10,52
2025-08-17,57
2025-08-24,65
2025-08-31,76
2025-09-07,83
2025-09-14,80
2025-09-21,85
2025-09-28,81
2025-10-05,87
2025-10-12,80
2025-10-19,90
2025-10-26,97
2025-11-02,85
2025-11-09,100
2025-11-16,92
2025-11-23,63
2025-11-30,87
2025-12-07,86
2025-12-14,71
2025-12-21,51
2025-12-28,51
2026-01-04,72
2026-01-11,71
2026-01-18,76
2026-01-25,87
2026-02-01,97
2026-02-08,83
2026-02-15,91
2026-02-22,97
2026-03-01,92
2026-03-08,96
2026-03-15,85
2026-03-22,98
2026-03-29,85
2026-04-05,88
2026-04-12,96
2026-04-19,95
2026-04-26,93
2026-05-03,81
2026-05-10,78
2026-05-17,85
2026-05-24,75
2026-05-31,80
