Time,covid vaccine near me
2023-12-22,57
2023-12-23,37
2023-12-24,21
2023-12-25,24
2023-12-26,66
2023-12-27,49
2023-12-28,54
2023-12-29,49
2023-12-30,40
2023-12-31,33
2024-01-01,37
2024-01-02,38
2024-01-03,66
2024-01-04,71
2024-01-05,52
2024-01-06,53
2024-01-07,35
2024-01-08,57
2024-01-09,39
2024-01-10,39
2024-01-11,39
2024-01-12,42
2024-01-13,53
2024-01-14,40
2024-01-15,28
2024-01-16,31
2024-01-17,35
2024-01-18,27
2024-01-19,31
2024-01-20,24
2024-01-21,23
2024-01-22,43
2024-01-23,29
2024-01-24,28
2024-01-25,29
2024-01-26,0
2024-01-27,32
2024-01-28,22
2024-01-29,24
2024-01-30,25
2024-01-31,20
2024-02-01,18
2024-02-02,23
2024-02-03,0
2024-02-04,17
2024-02-05,29
2024-02-06,20
2024-02-07,16
2024-02-08,16
2024-02-09,22
2024-02-10,29
2024-02-11,19
2024-02-12,0
2024-02-13,18
2024-02-14,26
2024-02-15,19
2024-02-16,22
2024-02-17,0
2024-02-18,0
2024-02-19,19
2024-02-20,27
2024-02-21,26
2024-02-22,17
2024-02-23,19
2024-02-24,16
2024-02-25,0
2024-02-26,19
2024-02-27,21
2024-02-28,28
2024-02-29,26
2024-03-01,24
2024-03-02,17
2024-03-03,0
2024-03-04,25
2024-03-05,27
2024-03-06,31
2024-03-07,29
2024-03-08,23
2024-03-09,18
2024-03-10,0
2024-03-11,31
2024-03-12,27
2024-03-13,33
2024-03-14,25
2024-03-15,34
2024-03-16,0
2024-03-17,0
2024-03-18,31
2024-03-19,41
2024-03-20,31
2024-03-21,17
2024-03-22,39
2024-03-23,17
2024-03-24,0
2024-03-25,0
2024-03-26,24
2024-03-27,23
2024-03-28,36
2024-03-29,17
2024-03-30,0
2024-03-31,0
2024-04-01,15
2024-04-02,16
2024-04-03,29
2024-04-04,18
2024-04-05,0
2024-04-06,0
2024-04-07,17
2024-04-08,24
2024-04-09,15
2024-04-10,0
2024-04-11,15
2024-04-12,0
2024-04-13,0
2024-04-14,0
2024-04-15,15
2024-04-16,20
2024-04-17,21
2024-04-18,19
2024-04-19,15
2024-04-20,0
2024-04-21,0
2024-04-22,17
2024-04-23,0
2024-04-24,14
2024-04-25,0
2024-04-26,0
2024-04-27,0
2024-04-28,0
2024-04-29,17
2024-04-30,16
2024-05-01,25
2024-05-02,0
2024-05-03,21
2024-05-04,20
2024-05-05,0
2024-05-06,0
2024-05-07,0
2024-05-08,17
2024-05-09,0
2024-05-10,0
2024-05-11,0
2024-05-12,0
2024-05-13,0
2024-05-14,21
2024-05-15,0
2024-05-16,0
2024-05-17,22
2024-05-18,0
2024-05-19,0
2024-05-20,0
2024-05-21,28
2024-05-22,27
2024-05-23,0
2024-05-24,0
2024-05-25,0
2024-05-26,19
2024-05-27,0
2024-05-28,17
2024-05-29,17
2024-05-30,22
2024-05-31,16
2024-06-01,0
2024-06-02,0
2024-06-03,19
2024-06-04,20
2024-06-05,16
2024-06-06,22
2024-06-07,15
2024-06-08,0
2024-06-09,0
2024-06-10,21
2024-06-11,0
2024-06-12,23
2024-06-13,24
2024-06-14,0
2024-06-15,21
2024-06-16,19
2024-06-17,15
2024-06-18,0
2024-06-19,23
2024-06-20,25
2024-06-21,21
2024-06-22,0
2024-06-23,0
2024-06-24,17
2024-06-25,29
2024-06-26,26
2024-06-27,0
2024-06-28,18
2024-06-29,18
2024-06-30,0
2024-07-01,22
2024-07-02,35
2024-07-03,34
2024-07-04,0
2024-07-05,22
2024-07-06,21
2024-07-07,0
2024-07-08,31
2024-07-09,27
2024-07-10,20
2024-07-11,29
2024-07-12,18
2024-07-13,0
2024-07-14,0
2024-07-15,19
2024-07-16,22
2024-07-17,17
2024-07-18,36
2024-07-19,23
2024-07-20,19
2024-07-21,0
2024-07-22,31
2024-07-23,23
2024-07-24,39
2024-07-25,31
2024-07-26,22
2024-07-27,22
2024-07-28,0
2024-07-29,41
2024-07-30,44
2024-07-31,31
2024-08-01,28
2024-08-02,27
2024-08-03,27
2024-08-04,17
2024-08-05,47
2024-08-06,39
2024-08-07,30
2024-08-08,34
2024-08-09,29
2024-08-10,31
2024-08-11,0
2024-08-12,46
2024-08-13,47
2024-08-14,46
2024-08-15,41
2024-08-16,32
2024-08-17,19
2024-08-18,30
2024-08-19,46
2024-08-20,52
2024-08-21,38
2024-08-22,67
2024-08-23,84
2024-08-24,72
2024-08-25,57
2024-08-26,92
2024-08-27,100
2024-08-28,96
2024-08-29,94
2024-08-30,99
2024-08-31,93
2024-09-01,85
2024-09-02,61
2024-09-03,75
2024-09-04,73
2024-09-05,86
2024-09-06,83
2024-09-07,45
2024-09-08,47
2024-09-09,65
2024-09-10,79
2024-09-11,59
2024-09-12,92
2024-09-13,76
2024-09-14,65
2024-09-15,57
2024-09-16,65
