Time,covid vaccine near me
2023-04-26,14
2023-04-27,13
2023-04-28,12
2023-04-29,9
2023-04-30,6
2023-05-01,14
2023-05-02,12
2023-05-03,15
2023-05-04,14
2023-05-05,11
2023-05-06,9
2023-05-07,10
2023-05-08,9
2023-05-09,8
2023-05-10,10
2023-05-11,9
2023-05-12,11
2023-05-13,11
2023-05-14,6
2023-05-15,12
2023-05-16,10
2023-05-17,10
2023-05-18,11
2023-05-19,6
2023-05-20,5
2023-05-21,0
2023-05-22,10
2023-05-23,10
2023-05-24,9
2023-05-25,8
2023-05-26,10
2023-05-27,5
2023-05-28,0
2023-05-29,6
2023-05-30,9
2023-05-31,7
2023-06-01,10
2023-06-02,8
2023-06-03,7
2023-06-04,5
2023-06-05,12
2023-06-06,8
2023-06-07,11
2023-06-08,9
2023-06-09,6
2023-06-10,7
2023-06-11,5
2023-06-12,8
2023-06-13,7
2023-06-14,10
2023-06-15,8
2023-06-16,8
2023-06-17,6
2023-06-18,8
2023-06-19,7
2023-06-20,10
2023-06-21,7
2023-06-22,7
2023-06-23,7
2023-06-24,4
2023-06-25,4
2023-06-26,8
2023-06-27,6
2023-06-28,9
2023-06-29,6
2023-06-30,7
2023-07-01,7
2023-07-02,5
2023-07-03,6
2023-07-04,5
2023-07-05,7
2023-07-06,7
2023-07-07,8
2023-07-08,7
2023-07-09,0
2023-07-10,8
2023-07-11,9
2023-07-12,6
2023-07-13,5
2023-07-14,5
2023-07-15,15
2023-07-16,0
2023-07-17,8
2023-07-18,7
2023-07-19,6
2023-07-20,8
2023-07-21,7
2023-07-22,5
2023-07-23,7
2023-07-24,6
2023-07-25,8
2023-07-26,8
2023-07-27,4
2023-07-28,7
2023-07-29,7
2023-07-30,5
2023-07-31,10
2023-08-01,6
2023-08-02,8
2023-08-03,9
2023-08-04,9
2023-08-05,7
2023-08-06,5
2023-08-07,8
2023-08-08,6
2023-08-09,12
2023-08-10,7
2023-08-11,10
2023-08-12,0
2023-08-13,0
2023-08-14,7
2023-08-15,14
2023-08-16,6
2023-08-17,7
2023-08-18,7
2023-08-19,8
2023-08-20,7
2023-08-21,5
2023-08-22,10
2023-08-23,10
2023-08-24,8
2023-08-25,5
2023-08-26,6
2023-08-27,12
2023-08-28,10
2023-08-29,12
2023-08-30,10
2023-08-31,9
2023-09-01,12
2023-09-02,6
2023-09-03,8
2023-09-04,9
2023-09-05,10
2023-09-06,12
2023-09-07,11
2023-09-08,9
2023-09-09,9
2023-09-10,7
2023-09-11,15
2023-09-12,20
2023-09-13,47
2023-09-14,43
2023-09-15,57
2023-09-16,70
2023-09-17,58
2023-09-18,88
2023-09-19,100
2023-09-20,97
2023-09-21,97
2023-09-22,91
2023-09-23,81
2023-09-24,75
2023-09-25,82
2023-09-26,76
2023-09-27,63
2023-09-28,59
2023-09-29,60
2023-09-30,57
2023-10-01,49
2023-10-02,60
2023-10-03,63
2023-10-04,60
2023-10-05,60
2023-10-06,47
2023-10-07,44
2023-10-08,41
2023-10-09,49
2023-10-10,42
2023-10-11,41
2023-10-12,41
2023-10-13,40
2023-10-14,39
2023-10-15,37
2023-10-16,47
2023-10-17,40
2023-10-18,35
2023-10-19,35
2023-10-20,30
2023-10-21,27
2023-10-22,21
2023-10-23,31
2023-10-24,40
2023-10-25,25
2023-10-26,29
2023-10-27,29
2023-10-28,21
2023-10-29,18
2023-10-30,32
2023-10-31,22
2023-11-01,22
2023-11-02,24
2023-11-03,22
2023-11-04,20
2023-11-05,16
2023-11-06,24
2023-11-07,26
2023-11-08,20
2023-11-09,21
2023-11-10,20
2023-11-11,21
2023-11-12,14
2023-11-13,19
2023-11-14,22
2023-11-15,20
2023-11-16,17
2023-11-17,21
2023-11-18,18
2023-11-19,13
2023-11-20,15
2023-11-21,20
2023-11-22,15
2023-11-23,6
2023-11-24,9
2023-11-25,15
2023-11-26,14
2023-11-27,17
2023-11-28,17
2023-11-29,19
2023-11-30,13
2023-12-01,14
2023-12-02,14
2023-12-03,10
2023-12-04,16
2023-12-05,13
2023-12-06,17
2023-12-07,13
2023-12-08,13
2023-12-09,12
2023-12-10,10
2023-12-11,12
2023-12-12,11
2023-12-13,14
2023-12-14,17
2023-12-15,14
2023-12-16,15
2023-12-17,12
2023-12-18,16
2023-12-19,21
2023-12-20,19
2023-12-21,12
2023-12-22,17
2023-12-23,11
2023-12-24,6
2023-12-25,7
2023-12-26,19
2023-12-27,14
2023-12-28,16
2023-12-29,14
2023-12-30,12
2023-12-31,9
2024-01-01,11
2024-01-02,11
2024-01-03,19
2024-01-04,21
2024-01-05,15
2024-01-06,15
2024-01-07,10
2024-01-08,16
2024-01-09,11
2024-01-10,11
2024-01-11,11
2024-01-12,12
2024-01-13,15
2024-01-14,12
2024-01-15,8
2024-01-16,9
2024-01-17,10
2024-01-18,8
2024-01-19,9
2024-01-20,7
