Time,usps tracking
2023-04-26,51
2023-04-27,50
2023-04-28,51
2023-04-29,40
2023-04-30,25
2023-05-01,47
2023-05-02,48
2023-05-03,52
2023-05-04,54
2023-05-05,48
2023-05-06,41
2023-05-07,24
2023-05-08,49
2023-05-09,49
2023-05-10,54
2023-05-11,55
2023-05-12,53
2023-05-13,48
2023-05-14,27
2023-05-15,53
2023-05-16,49
2023-05-17,50
2023-05-18,53
2023-05-19,53
2023-05-20,46
2023-05-21,30
2023-05-22,53
2023-05-23,48
2023-05-24,52
2023-05-25,53
2023-05-26,49
2023-05-27,38
2023-05-28,20
2023-05-29,23
2023-05-30,49
2023-05-31,47
2023-06-01,52
2023-06-02,48
2023-06-03,45
2023-06-04,25
2023-06-05,50
2023-06-06,49
2023-06-07,49
2023-06-08,51
2023-06-09,53
2023-06-10,38
2023-06-11,25
2023-06-12,50
2023-06-13,50
2023-06-14,58
2023-06-15,56
2023-06-16,55
2023-06-17,42
2023-06-18,26
2023-06-19,40
2023-06-20,57
2023-06-21,52
2023-06-22,52
2023-06-23,56
2023-06-24,42
2023-06-25,25
2023-06-26,51
2023-06-27,51
2023-06-28,50
2023-06-29,51
2023-06-30,48
2023-07-01,40
2023-07-02,22
2023-07-03,47
2023-07-04,25
2023-07-05,46
2023-07-06,49
2023-07-07,52
2023-07-08,43
2023-07-09,26
2023-07-10,49
2023-07-11,47
2023-07-12,49
2023-07-13,48
2023-07-14,49
2023-07-15,41
2023-07-16,25
2023-07-17,47
2023-07-18,46
2023-07-19,49
2023-07-20,49
2023-07-21,47
2023-07-22,37
2023-07-23,24
2023-07-24,47
2023-07-25,46
2023-07-26,44
2023-07-27,47
2023-07-28,48
2023-07-29,39
2023-07-30,24
2023-07-31,46
2023-08-01,46
2023-08-02,47
2023-08-03,49
2023-08-04,48
2023-08-05,37
2023-08-06,25
2023-08-07,46
2023-08-08,47
2023-08-09,48
2023-08-10,49
2023-08-11,49
2023-08-12,37
2023-08-13,24
2023-08-14,48
2023-08-15,44
2023-08-16,49
2023-08-17,50
2023-08-18,47
2023-08-19,35
2023-08-20,22
2023-08-21,47
2023-08-22,46
2023-08-23,48
2023-08-24,46
2023-08-25,44
2023-08-26,35
2023-08-27,25
2023-08-28,50
2023-08-29,45
2023-08-30,47
2023-08-31,45
2023-09-01,43
2023-09-02,33
2023-09-03,21
2023-09-04,23
2023-09-05,47
2023-09-06,38
2023-09-07,46
2023-09-08,47
2023-09-09,38
2023-09-10,22
2023-09-11,48
2023-09-12,43
2023-09-13,48
2023-09-14,45
2023-09-15,46
2023-09-16,36
2023-09-17,20
2023-09-18,42
2023-09-19,41
2023-09-20,43
2023-09-21,45
2023-09-22,43
2023-09-23,34
2023-09-24,21
2023-09-25,42
2023-09-26,40
2023-09-27,43
2023-09-28,44
2023-09-29,43
2023-09-30,33
2023-10-01,20
2023-10-02,40
2023-10-03,42
2023-10-04,44
2023-10-05,46
2023-10-06,45
2023-10-07,34
2023-10-08,21
2023-10-09,35
2023-10-10,50
2023-10-11,43
2023-10-12,50
2023-10-13,48
2023-10-14,41
2023-10-15,26
2023-10-16,65
2023-10-17,53
2023-10-18,49
2023-10-19,54
2023-10-20,50
2023-10-21,38
2023-10-22,25
2023-10-23,47
2023-10-24,46
2023-10-25,47
2023-10-26,46
2023-10-27,47
2023-10-28,37
2023-10-29,22
2023-10-30,46
2023-10-31,40
2023-11-01,42
2023-11-02,43
2023-11-03,41
2023-11-04,35
2023-11-05,23
2023-11-06,43
2023-11-07,45
2023-11-08,44
2023-11-09,45
2023-11-10,48
2023-11-11,33
2023-11-12,25
2023-11-13,57
2023-11-14,59
2023-11-15,53
2023-11-16,54
2023-11-17,56
2023-11-18,49
2023-11-19,28
2023-11-20,55
2023-11-21,54
2023-11-22,51
2023-11-23,26
2023-11-24,47
2023-11-25,43
2023-11-26,31
2023-11-27,52
2023-11-28,55
2023-11-29,63
2023-11-30,69
2023-12-01,69
2023-12-02,62
2023-12-03,43
2023-12-04,79
2023-12-05,78
2023-12-06,73
2023-12-07,77
2023-12-08,75
2023-12-09,72
2023-12-10,52
2023-12-11,81
2023-12-12,83
2023-12-13,80
2023-12-14,81
2023-12-15,83
2023-12-16,77
2023-12-17,55
2023-12-18,83
2023-12-19,92
2023-12-20,91
2023-12-21,96
2023-12-22,100
2023-12-23,81
2023-12-24,46
2023-12-25,26
2023-12-26,56
2023-12-27,52
2023-12-28,54
2023-12-29,57
2023-12-30,46
2023-12-31,28
2024-01-01,24
2024-01-02,57
2024-01-03,54
2024-01-04,53
2024-01-05,58
2024-01-06,52
2024-01-07,31
2024-01-08,54
2024-01-09,58
2024-01-10,55
2024-01-11,56
2024-01-12,58
2024-01-13,48
2024-01-14,27
2024-01-15,38
2024-01-16,55
2024-01-17,57
2024-01-18,60
2024-01-19,62
2024-01-20,55
