Time,usps tracking
2025-12-11,74
2025-12-12,78
2025-12-13,71
2025-12-14,46
2025-12-15,81
2025-12-16,88
2025-12-17,86
2025-12-18,91
2025-12-19,91
2025-12-20,82
2025-12-21,64
2025-12-22,100
2025-12-23,95
2025-12-24,82
2025-12-25,34
2025-12-26,52
2025-12-27,44
2025-12-28,34
2025-12-29,60
2025-12-30,52
2025-12-31,45
2026-01-01,28
2026-01-02,46
2026-01-03,41
2026-01-04,34
2026-01-05,51
2026-01-06,51
2026-01-07,49
2026-01-08,53
2026-01-09,53
2026-01-10,42
2026-01-11,31
2026-01-12,51
2026-01-13,48
2026-01-14,47
2026-01-15,44
2026-01-16,44
2026-01-17,37
2026-01-18,25
2026-01-19,33
2026-01-20,52
2026-01-21,52
2026-01-22,45
2026-01-23,44
2026-01-24,37
2026-01-25,26
2026-01-26,44
2026-01-27,54
2026-01-28,52
2026-01-29,60
2026-01-30,59
2026-01-31,47
2026-02-01,33
2026-02-02,58
2026-02-03,54
2026-02-04,53
2026-02-05,59
2026-02-06,55
2026-02-07,45
2026-02-08,29
2026-02-09,47
2026-02-10,50
2026-02-11,54
2026-02-12,52
2026-02-13,51
2026-02-14,38
2026-02-15,27
2026-02-16,37
2026-02-17,53
2026-02-18,44
2026-02-19,42
2026-02-20,42
2026-02-21,36
2026-02-22,25
2026-02-23,46
2026-02-24,48
2026-02-25,45
2026-02-26,46
2026-02-27,47
2026-02-28,39
2026-03-01,30
2026-03-02,49
2026-03-03,53
2026-03-04,50
2026-03-05,51
2026-03-06,53
2026-03-07,44
2026-03-08,31
2026-03-09,56
2026-03-10,53
2026-03-11,51
2026-03-12,53
2026-03-13,54
2026-03-14,44
2026-03-15,30
2026-03-16,53
2026-03-17,53
2026-03-18,52
2026-03-19,52
2026-03-20,47
2026-03-21,41
2026-03-22,29
2026-03-23,50
2026-03-24,49
2026-03-25,51
2026-03-26,50
2026-03-27,48
2026-03-28,39
2026-03-29,30
2026-03-30,54
2026-03-31,51
2026-04-01,47
2026-04-02,50
2026-04-03,45
2026-04-04,36
2026-04-05,26
2026-04-06,50
2026-04-07,42
2026-04-08,43
2026-04-09,41
2026-04-10,42
2026-04-11,36
2026-04-12,26
2026-04-13,42
2026-04-14,41
2026-04-15,39
2026-04-16,41
2026-04-17,38
2026-04-18,33
2026-04-19,25
2026-04-20,42
2026-04-21,41
2026-04-22,38
2026-04-23,41
2026-04-24,40
2026-04-25,33
2026-04-26,24
2026-04-27,40
2026-04-28,39
2026-04-29,40
2026-04-30,38
2026-05-01,36
2026-05-02,30
2026-05-03,24
2026-05-04,39
2026-05-05,39
2026-05-06,38
2026-05-07,39
2026-05-08,43
2026-05-09,37
2026-05-10,24
2026-05-11,40
2026-05-12,38
2026-05-13,39
2026-05-14,44
2026-05-15,37
2026-05-16,33
2026-05-17,28
2026-05-18,40
2026-05-19,38
2026-05-20,38
2026-05-21,40
2026-05-22,39
2026-05-23,34
2026-05-24,23
2026-05-25,24
2026-05-26,44
2026-05-27,38
2026-05-28,41
2026-05-29,39
2026-05-30,36
2026-05-31,24
