Time,harris
2022-01-01,54
2022-01-02,57
2022-01-03,57
2022-01-04,84
2022-01-05,60
2022-01-06,55
2022-01-07,65
2022-01-08,51
2022-01-09,70
2022-01-10,55
2022-01-11,57
2022-01-12,64
2022-01-13,89
2022-01-14,72
2022-01-15,78
2022-01-16,61
2022-01-17,62
2022-01-18,56
2022-01-19,71
2022-01-20,66
2022-01-21,60
2022-01-22,54
2022-01-23,48
2022-01-24,61
2022-01-25,48
2022-01-26,50
2022-01-27,59
2022-01-28,57
2022-01-29,47
2022-01-30,43
2022-01-31,61
2022-02-01,69
2022-02-02,61
2022-02-03,51
2022-02-04,52
2022-02-05,45
2022-02-06,43
2022-02-07,53
2022-02-08,59
2022-02-09,54
2022-02-10,49
2022-02-11,64
2022-02-12,52
2022-02-13,44
2022-02-14,47
2022-02-15,52
2022-02-16,50
2022-02-17,49
2022-02-18,54
2022-02-19,48
2022-02-20,50
2022-02-21,51
2022-02-22,53
2022-02-23,51
2022-02-24,52
2022-02-25,51
2022-02-26,46
2022-02-27,46
2022-02-28,52
2022-03-01,57
2022-03-02,100
2022-03-03,63
2022-03-04,59
2022-03-05,49
2022-03-06,45
2022-03-07,48
2022-03-08,62
2022-03-09,57
2022-03-10,68
2022-03-11,69
2022-03-12,54
2022-03-13,51
2022-03-14,52
2022-03-15,52
2022-03-16,54
2022-03-17,50
2022-03-18,45
2022-03-19,40
2022-03-20,42
2022-03-21,47
2022-03-22,55
2022-03-23,64
2022-03-24,59
2022-03-25,51
2022-03-26,45
2022-03-27,42
2022-03-28,49
2022-03-29,49
2022-03-30,48
2022-03-31,47
2022-04-01,51
2022-04-02,46
2022-04-03,94
2022-04-04,68
2022-04-05,74
2022-04-06,54
2022-04-07,47
2022-04-08,48
2022-04-09,45
2022-04-10,40
2022-04-11,47
2022-04-12,45
2022-04-13,46
2022-04-14,45
2022-04-15,42
2022-04-16,45
2022-04-17,49
2022-04-18,48
2022-04-19,48
2022-04-20,49
2022-04-21,48
2022-04-22,49
2022-04-23,47
2022-04-24,43
2022-04-25,47
2022-04-26,62
2022-04-27,54
2022-04-28,52
2022-04-29,55
2022-04-30,46
2022-05-01,41
2022-05-02,49
2022-05-03,51
2022-05-04,52
2022-05-05,47
2022-05-06,49
2022-05-07,56
2022-05-08,48
2022-05-09,49
2022-05-10,47
2022-05-11,53
2022-05-12,48
2022-05-13,58
2022-05-14,49
2022-05-15,43
2022-05-16,49
2022-05-17,48
2022-05-18,48
2022-05-19,46
2022-05-20,45
2022-05-21,39
2022-05-22,37
2022-05-23,45
2022-05-24,49
2022-05-25,49
2022-05-26,44
2022-05-27,45
2022-05-28,44
2022-05-29,44
2022-05-30,44
2022-05-31,49
2022-06-01,49
2022-06-02,49
2022-06-03,47
2022-06-04,38
2022-06-05,38
2022-06-06,46
2022-06-07,46
2022-06-08,50
2022-06-09,46
2022-06-10,45
2022-06-11,42
2022-06-12,37
2022-06-13,47
2022-06-14,45
2022-06-15,49
2022-06-16,51
2022-06-17,46
2022-06-18,41
2022-06-19,41
2022-06-20,44
2022-06-21,49
2022-06-22,54
2022-06-23,53
2022-06-24,56
2022-06-25,44
2022-06-26,43
2022-06-27,62
2022-06-28,55
2022-06-29,54
2022-06-30,52
2022-07-01,52
2022-07-02,46
2022-07-03,44
2022-07-04,49
2022-07-05,52
2022-07-06,60
2022-07-07,72
2022-07-08,58
2022-07-09,53
2022-07-10,46
2022-07-11,53
2022-07-12,54
2022-07-13,54
2022-07-14,57
2022-07-15,61
2022-07-16,58
2022-07-17,54
2022-07-18,57
2022-07-19,56
2022-07-20,53
2022-07-21,57
2022-07-22,55
2022-07-23,49
2022-07-24,50
2022-07-25,54
2022-07-26,56
2022-07-27,58
2022-07-28,57
2022-07-29,64
2022-07-30,51
2022-07-31,58
2022-08-01,63
2022-08-02,60
2022-08-03,64
2022-08-04,56
2022-08-05,53
2022-08-06,51
2022-08-07,56
2022-08-08,57
2022-08-09,52
2022-08-10,54
2022-08-11,54
2022-08-12,54
2022-08-13,49
2022-08-14,47
2022-08-15,56
2022-08-16,51
2022-08-17,56
2022-08-18,57
2022-08-19,54
2022-08-20,53
2022-08-21,45
2022-08-22,48
2022-08-23,50
2022-08-24,51
2022-08-25,49
2022-08-26,48
2022-08-27,47
2022-08-28,49
2022-08-29,58
2022-08-30,54
2022-08-31,51
2022-09-01,55
2022-09-02,57
2022-09-03,59
2022-09-04,50
2022-09-05,50
2022-09-06,54
2022-09-07,50
2022-09-08,48
2022-09-09,44
2022-09-10,42
2022-09-11,65
2022-09-12,66
2022-09-13,53
2022-09-14,53
2022-09-15,60
2022-09-16,52
2022-09-17,48
2022-09-18,51
2022-09-19,51
2022-09-20,51
2022-09-21,52
2022-09-22,52
2022-09-23,53
2022-09-24,40
2022-09-25,39
2022-09-26,43
2022-09-27,44
