Time,cara delevingne
2022-01-01,2
2022-01-02,3
2022-01-03,2
2022-01-04,2
2022-01-05,2
2022-01-06,2
2022-01-07,2
2022-01-08,2
2022-01-09,2
2022-01-10,2
2022-01-11,3
2022-01-12,3
2022-01-13,2
2022-01-14,1
2022-01-15,3
2022-01-16,7
2022-01-17,6
2022-01-18,6
2022-01-19,5
2022-01-20,3
2022-01-21,4
2022-01-22,4
2022-01-23,3
2022-01-24,4
2022-01-25,2
2022-01-26,2
2022-01-27,2
2022-01-28,2
2022-01-29,3
2022-01-30,3
2022-01-31,3
2022-02-01,2
2022-02-02,3
2022-02-03,2
2022-02-04,2
2022-02-05,3
2022-02-06,2
2022-02-07,2
2022-02-08,1
2022-02-09,2
2022-02-10,1
2022-02-11,2
2022-02-12,3
2022-02-13,2
2022-02-14,2
2022-02-15,2
2022-02-16,2
2022-02-17,2
2022-02-18,3
2022-02-19,4
2022-02-20,3
2022-02-21,3
2022-02-22,4
2022-02-23,4
2022-02-24,2
2022-02-25,3
2022-02-26,2
2022-02-27,2
2022-02-28,2
2022-03-01,2
2022-03-02,2
2022-03-03,1
2022-03-04,2
2022-03-05,2
2022-03-06,2
2022-03-07,2
2022-03-08,1
2022-03-09,1
2022-03-10,2
2022-03-11,2
2022-03-12,2
2022-03-13,2
2022-03-14,2
2022-03-15,2
2022-03-16,1
2022-03-17,1
2022-03-18,2
2022-03-19,2
2022-03-20,2
2022-03-21,1
2022-03-22,1
2022-03-23,1
2022-03-24,1
2022-03-25,1
2022-03-26,2
2022-03-27,2
2022-03-28,2
2022-03-29,7
2022-03-30,5
2022-03-31,3
2022-04-01,3
2022-04-02,4
2022-04-03,3
2022-04-04,2
2022-04-05,3
2022-04-06,2
2022-04-07,2
2022-04-08,2
2022-04-09,3
2022-04-10,3
2022-04-11,2
2022-04-12,2
2022-04-13,2
2022-04-14,2
2022-04-15,4
2022-04-16,3
2022-04-17,3
2022-04-18,2
2022-04-19,6
2022-04-20,9
2022-04-21,7
2022-04-22,6
2022-04-23,5
2022-04-24,4
2022-04-25,5
2022-04-26,4
2022-04-27,6
2022-04-28,7
2022-04-29,6
2022-04-30,4
2022-05-01,4
2022-05-02,3
2022-05-03,25
2022-05-04,26
2022-05-05,12
2022-05-06,10
2022-05-07,8
2022-05-08,6
2022-05-09,12
2022-05-10,7
2022-05-11,4
2022-05-12,4
2022-05-13,4
2022-05-14,4
2022-05-15,4
2022-05-16,55
2022-05-17,100
2022-05-18,57
2022-05-19,35
2022-05-20,23
2022-05-21,23
2022-05-22,19
2022-05-23,10
2022-05-24,9
2022-05-25,8
2022-05-26,9
2022-05-27,7
2022-05-28,6
2022-05-29,8
2022-05-30,15
2022-05-31,10
2022-06-01,7
2022-06-02,6
2022-06-03,5
2022-06-04,6
2022-06-05,4
2022-06-06,4
2022-06-07,4
2022-06-08,4
2022-06-09,4
2022-06-10,5
2022-06-11,4
2022-06-12,3
2022-06-13,2
2022-06-14,2
2022-06-15,3
2022-06-16,3
2022-06-17,3
2022-06-18,3
2022-06-19,3
2022-06-20,3
2022-06-21,16
2022-06-22,13
2022-06-23,7
2022-06-24,5
2022-06-25,3
2022-06-26,3
2022-06-27,3
2022-06-28,8
2022-06-29,17
2022-06-30,14
2022-07-01,10
2022-07-02,9
2022-07-03,10
2022-07-04,8
2022-07-05,6
2022-07-06,6
2022-07-07,5
2022-07-08,5
2022-07-09,4
2022-07-10,5
2022-07-11,5
2022-07-12,5
2022-07-13,3
2022-07-14,4
2022-07-15,4
2022-07-16,5
2022-07-17,5
2022-07-18,4
2022-07-19,5
2022-07-20,7
2022-07-21,6
2022-07-22,4
2022-07-23,5
2022-07-24,6
2022-07-25,5
2022-07-26,4
2022-07-27,6
2022-07-28,15
2022-07-29,14
2022-07-30,9
2022-07-31,7
2022-08-01,6
2022-08-02,5
2022-08-03,4
2022-08-04,4
2022-08-05,5
2022-08-06,4
2022-08-07,5
2022-08-08,4
2022-08-09,3
2022-08-10,4
2022-08-11,3
2022-08-12,5
2022-08-13,7
2022-08-14,5
2022-08-15,3
2022-08-16,4
2022-08-17,4
2022-08-18,6
2022-08-19,5
2022-08-20,5
2022-08-21,6
2022-08-22,5
2022-08-23,4
2022-08-24,5
2022-08-25,4
2022-08-26,4
2022-08-27,5
2022-08-28,4
2022-08-29,4
2022-08-30,3
2022-08-31,3
2022-09-01,4
2022-09-02,5
2022-09-03,4
2022-09-04,4
2022-09-05,3
2022-09-06,4
2022-09-07,13
2022-09-08,22
2022-09-09,23
2022-09-10,24
2022-09-11,31
2022-09-12,28
2022-09-13,15
2022-09-14,33
2022-09-15,63
2022-09-16,67
2022-09-17,76
2022-09-18,56
2022-09-19,33
2022-09-20,24
2022-09-21,27
2022-09-22,20
2022-09-23,13
2022-09-24,15
2022-09-25,14
2022-09-26,11
2022-09-27,11
