Time,wells fargo
2022-08-29,79
2022-08-30,79
2022-08-31,82
2022-09-01,93
2022-09-02,100
2022-09-03,76
2022-09-04,48
2022-09-05,55
2022-09-06,84
2022-09-07,83
2022-09-08,73
2022-09-09,85
2022-09-10,73
2022-09-11,45
2022-09-12,77
2022-09-13,74
2022-09-14,76
2022-09-15,84
2022-09-16,89
2022-09-17,69
2022-09-18,49
2022-09-19,76
2022-09-20,78
2022-09-21,74
2022-09-22,77
2022-09-23,81
2022-09-24,69
2022-09-25,44
2022-09-26,75
2022-09-27,74
2022-09-28,74
2022-09-29,74
2022-09-30,92
2022-10-01,83
2022-10-02,52
2022-10-03,87
2022-10-04,84
2022-10-05,80
2022-10-06,82
2022-10-07,89
2022-10-08,73
2022-10-09,47
2022-10-10,87
2022-10-11,81
2022-10-12,83
2022-10-13,79
2022-10-14,85
2022-10-15,72
2022-10-16,47
2022-10-17,78
2022-10-18,74
2022-10-19,76
2022-10-20,77
2022-10-21,84
2022-10-22,67
2022-10-23,46
2022-10-24,71
2022-10-25,73
2022-10-26,77
2022-10-27,76
2022-10-28,81
2022-10-29,72
2022-10-30,44
2022-10-31,79
2022-11-01,89
2022-11-02,83
2022-11-03,81
2022-11-04,87
2022-11-05,70
2022-11-06,45
2022-11-07,80
2022-11-08,72
2022-11-09,69
2022-11-10,77
2022-11-11,81
2022-11-12,72
2022-11-13,48
2022-11-14,76
2022-11-15,82
2022-11-16,74
2022-11-17,74
2022-11-18,84
2022-11-19,69
2022-11-20,44
2022-11-21,70
2022-11-22,75
2022-11-23,81
2022-11-24,43
2022-11-25,73
2022-11-26,58
2022-11-27,44
2022-11-28,69
2022-11-29,72
2022-11-30,77
2022-12-01,88
2022-12-02,87
2022-12-03,76
2022-12-04,48
2022-12-05,76
2022-12-06,75
2022-12-07,74
2022-12-08,73
2022-12-09,80
2022-12-10,69
2022-12-11,46
2022-12-12,74
2022-12-13,74
2022-12-14,73
2022-12-15,77
2022-12-16,87
2022-12-17,70
2022-12-18,47
2022-12-19,76
2022-12-20,88
2022-12-21,91
2022-12-22,84
2022-12-23,84
2022-12-24,64
2022-12-25,34
2022-12-26,71
2022-12-27,82
2022-12-28,88
2022-12-29,80
2022-12-30,93
2022-12-31,71
2023-01-01,46
2023-01-02,83
2023-01-03,85
2023-01-04,85
2023-01-05,82
2023-01-06,91
2023-01-07,74
2023-01-08,51
2023-01-09,75
2023-01-10,81
2023-01-11,78
2023-01-12,77
2023-01-13,80
2023-01-14,68
2023-01-15,47
2023-01-16,67
2023-01-17,82
2023-01-18,77
2023-01-19,77
2023-01-20,80
2023-01-21,71
2023-01-22,46
2023-01-23,74
2023-01-24,74
2023-01-25,72
2023-01-26,73
2023-01-27,78
2023-01-28,71
2023-01-29,46
2023-01-30,73
2023-01-31,82
2023-02-01,89
2023-02-02,85
2023-02-03,88
2023-02-04,75
2023-02-05,50
2023-02-06,76
2023-02-07,77
2023-02-08,73
2023-02-09,78
2023-02-10,81
2023-02-11,73
2023-02-12,46
2023-02-13,72
2023-02-14,75
2023-02-15,79
2023-02-16,79
2023-02-17,83
2023-02-18,72
2023-02-19,50
2023-02-20,65
2023-02-21,78
2023-02-22,77
2023-02-23,78
2023-02-24,85
2023-02-25,74
2023-02-26,51
2023-02-27,79
2023-02-28,83
2023-03-01,92
2023-03-02,87
2023-03-03,85
2023-03-04,77
2023-03-05,51
2023-03-06,75
2023-03-07,76
2023-03-08,77
2023-03-09,78
2023-03-10,98
2023-03-11,98
2023-03-12,64
2023-03-13,88
2023-03-14,88
2023-03-15,89
2023-03-16,84
2023-03-17,87
2023-03-18,70
2023-03-19,50
2023-03-20,75
2023-03-21,76
2023-03-22,78
2023-03-23,75
2023-03-24,76
2023-03-25,68
2023-03-26,48
2023-03-27,74
2023-03-28,74
2023-03-29,74
2023-03-30,76
2023-03-31,89
2023-04-01,78
2023-04-02,52
2023-04-03,84
2023-04-04,82
2023-04-05,76
2023-04-06,78
2023-04-07,85
2023-04-08,68
2023-04-09,43
2023-04-10,82
2023-04-11,79
2023-04-12,77
2023-04-13,80
2023-04-14,88
2023-04-15,75
2023-04-16,51
2023-04-17,79
2023-04-18,78
2023-04-19,75
2023-04-20,77
2023-04-21,75
2023-04-22,65
2023-04-23,44
2023-04-24,69
2023-04-25,70
2023-04-26,73
2023-04-27,74
2023-04-28,78
2023-04-29,69
2023-04-30,49
2023-05-01,90
2023-05-02,88
2023-05-03,87
2023-05-04,92
2023-05-05,91
2023-05-06,83
2023-05-07,70
2023-05-08,78
2023-05-09,72
2023-05-10,72
2023-05-11,71
2023-05-12,80
2023-05-13,64
2023-05-14,44
2023-05-15,74
2023-05-16,76
2023-05-17,75
2023-05-18,77
2023-05-19,76
2023-05-20,66
2023-05-21,45
2023-05-22,71
2023-05-23,75
2023-05-24,71
2023-05-25,80
