Time,minecraft
2022-08-29,58
2022-08-30,53
2022-08-31,55
2022-09-01,53
2022-09-02,56
2022-09-03,71
2022-09-04,77
2022-09-05,83
2022-09-06,52
2022-09-07,49
2022-09-08,45
2022-09-09,48
2022-09-10,68
2022-09-11,70
2022-09-12,51
2022-09-13,47
2022-09-14,48
2022-09-15,47
2022-09-16,50
2022-09-17,68
2022-09-18,68
2022-09-19,47
2022-09-20,46
2022-09-21,46
2022-09-22,47
2022-09-23,50
2022-09-24,63
2022-09-25,69
2022-09-26,49
2022-09-27,44
2022-09-28,47
2022-09-29,47
2022-09-30,51
2022-10-01,63
2022-10-02,64
2022-10-03,48
2022-10-04,49
2022-10-05,49
2022-10-06,50
2022-10-07,54
2022-10-08,64
2022-10-09,67
2022-10-10,53
2022-10-11,50
2022-10-12,48
2022-10-13,51
2022-10-14,65
2022-10-15,93
2022-10-16,81
2022-10-17,56
2022-10-18,50
2022-10-19,51
2022-10-20,51
2022-10-21,54
2022-10-22,66
2022-10-23,73
2022-10-24,54
2022-10-25,49
2022-10-26,51
2022-10-27,45
2022-10-28,48
2022-10-29,65
2022-10-30,66
2022-10-31,45
2022-11-01,41
2022-11-02,45
2022-11-03,43
2022-11-04,51
2022-11-05,68
2022-11-06,68
2022-11-07,48
2022-11-08,59
2022-11-09,46
2022-11-10,50
2022-11-11,58
2022-11-12,73
2022-11-13,75
2022-11-14,53
2022-11-15,51
2022-11-16,49
2022-11-17,53
2022-11-18,52
2022-11-19,69
2022-11-20,71
2022-11-21,58
2022-11-22,57
2022-11-23,64
2022-11-24,66
2022-11-25,69
2022-11-26,66
2022-11-27,74
2022-11-28,50
2022-11-29,46
2022-11-30,52
2022-12-01,47
2022-12-02,52
2022-12-03,67
2022-12-04,73
2022-12-05,51
2022-12-06,49
2022-12-07,52
2022-12-08,52
2022-12-09,51
2022-12-10,70
2022-12-11,73
2022-12-12,57
2022-12-13,54
2022-12-14,55
2022-12-15,58
2022-12-16,60
2022-12-17,77
2022-12-18,74
2022-12-19,70
2022-12-20,67
2022-12-21,74
2022-12-22,77
2022-12-23,88
2022-12-24,87
2022-12-25,86
2022-12-26,85
2022-12-27,81
2022-12-28,81
2022-12-29,80
2022-12-30,81
2022-12-31,82
2023-01-01,82
2023-01-02,92
2023-01-03,70
2023-01-04,69
2023-01-05,64
2023-01-06,67
2023-01-07,89
2023-01-08,89
2023-01-09,63
2023-01-10,62
2023-01-11,61
2023-01-12,61
2023-01-13,66
2023-01-14,90
2023-01-15,95
2023-01-16,98
2023-01-17,66
2023-01-18,65
2023-01-19,63
2023-01-20,65
2023-01-21,83
2023-01-22,99
2023-01-23,70
2023-01-24,65
2023-01-25,69
2023-01-26,69
2023-01-27,69
2023-01-28,90
2023-01-29,96
2023-01-30,70
2023-01-31,71
2023-02-01,72
2023-02-02,62
2023-02-03,70
2023-02-04,87
2023-02-05,96
2023-02-06,66
2023-02-07,63
2023-02-08,62
2023-02-09,62
2023-02-10,63
2023-02-11,93
2023-02-12,87
2023-02-13,56
2023-02-14,60
2023-02-15,62
2023-02-16,64
2023-02-17,73
2023-02-18,87
2023-02-19,96
2023-02-20,87
2023-02-21,67
2023-02-22,71
2023-02-23,70
2023-02-24,69
2023-02-25,92
2023-02-26,100
2023-02-27,70
2023-02-28,61
2023-03-01,57
2023-03-02,61
2023-03-03,65
2023-03-04,84
2023-03-05,90
2023-03-06,66
2023-03-07,61
2023-03-08,60
2023-03-09,61
2023-03-10,67
2023-03-11,88
2023-03-12,91
2023-03-13,70
2023-03-14,69
2023-03-15,72
2023-03-16,66
2023-03-17,66
2023-03-18,84
2023-03-19,89
2023-03-20,64
2023-03-21,59
2023-03-22,61
2023-03-23,62
2023-03-24,67
2023-03-25,80
2023-03-26,85
2023-03-27,64
2023-03-28,61
2023-03-29,63
2023-03-30,61
2023-03-31,67
2023-04-01,87
2023-04-02,88
2023-04-03,67
2023-04-04,64
2023-04-05,63
2023-04-06,70
2023-04-07,74
2023-04-08,84
2023-04-09,82
2023-04-10,70
2023-04-11,64
2023-04-12,60
2023-04-13,59
2023-04-14,66
2023-04-15,80
2023-04-16,87
2023-04-17,64
2023-04-18,66
2023-04-19,66
2023-04-20,62
2023-04-21,62
2023-04-22,83
2023-04-23,91
2023-04-24,63
2023-04-25,57
2023-04-26,59
2023-04-27,57
2023-04-28,62
2023-04-29,77
2023-04-30,87
2023-05-01,59
2023-05-02,57
2023-05-03,56
2023-05-04,53
2023-05-05,57
2023-05-06,70
2023-05-07,78
2023-05-08,57
2023-05-09,53
2023-05-10,56
2023-05-11,55
2023-05-12,58
2023-05-13,68
2023-05-14,72
2023-05-15,55
2023-05-16,54
2023-05-17,58
2023-05-18,54
2023-05-19,55
2023-05-20,69
2023-05-21,72
2023-05-22,55
2023-05-23,55
2023-05-24,52
2023-05-25,56
