Time,biden
2022-08-29,32
2022-08-30,36
2022-08-31,31
2022-09-01,41
2022-09-02,98
2022-09-03,50
2022-09-04,33
2022-09-05,30
2022-09-06,28
2022-09-07,25
2022-09-08,28
2022-09-09,25
2022-09-10,18
2022-09-11,18
2022-09-12,23
2022-09-13,23
2022-09-14,24
2022-09-15,24
2022-09-16,23
2022-09-17,19
2022-09-18,22
2022-09-19,43
2022-09-20,35
2022-09-21,29
2022-09-22,25
2022-09-23,23
2022-09-24,23
2022-09-25,22
2022-09-26,20
2022-09-27,20
2022-09-28,29
2022-09-29,36
2022-09-30,29
2022-10-01,21
2022-10-02,19
2022-10-03,21
2022-10-04,23
2022-10-05,28
2022-10-06,53
2022-10-07,55
2022-10-08,33
2022-10-09,24
2022-10-10,25
2022-10-11,27
2022-10-12,34
2022-10-13,37
2022-10-14,31
2022-10-15,29
2022-10-16,24
2022-10-17,33
2022-10-18,30
2022-10-19,26
2022-10-20,25
2022-10-21,23
2022-10-22,23
2022-10-23,20
2022-10-24,24
2022-10-25,24
2022-10-26,24
2022-10-27,24
2022-10-28,24
2022-10-29,20
2022-10-30,23
2022-10-31,23
2022-11-01,21
2022-11-02,33
2022-11-03,35
2022-11-04,28
2022-11-05,24
2022-11-06,21
2022-11-07,24
2022-11-08,28
2022-11-09,34
2022-11-10,24
2022-11-11,24
2022-11-12,17
2022-11-13,20
2022-11-14,20
2022-11-15,22
2022-11-16,33
2022-11-17,28
2022-11-18,30
2022-11-19,37
2022-11-20,41
2022-11-21,26
2022-11-22,27
2022-11-23,25
2022-11-24,22
2022-11-25,15
2022-11-26,14
2022-11-27,13
2022-11-28,13
2022-11-29,18
2022-11-30,18
2022-12-01,19
2022-12-02,26
2022-12-03,32
2022-12-04,22
2022-12-05,19
2022-12-06,21
2022-12-07,22
2022-12-08,25
2022-12-09,21
2022-12-10,17
2022-12-11,15
2022-12-12,16
2022-12-13,19
2022-12-14,18
2022-12-15,16
2022-12-16,17
2022-12-17,13
2022-12-18,12
2022-12-19,14
2022-12-20,14
2022-12-21,16
2022-12-22,17
2022-12-23,13
2022-12-24,12
2022-12-25,12
2022-12-26,13
2022-12-27,12
2022-12-28,14
2022-12-29,14
2022-12-30,15
2022-12-31,12
2023-01-01,12
2023-01-02,12
2023-01-03,12
2023-01-04,15
2023-01-05,19
2023-01-06,21
2023-01-07,15
2023-01-08,17
2023-01-09,20
2023-01-10,31
2023-01-11,29
2023-01-12,43
2023-01-13,37
2023-01-14,28
2023-01-15,28
2023-01-16,27
2023-01-17,26
2023-01-18,23
2023-01-19,23
2023-01-20,20
2023-01-21,17
2023-01-22,28
2023-01-23,19
2023-01-24,17
2023-01-25,18
2023-01-26,17
2023-01-27,16
2023-01-28,12
2023-01-29,14
2023-01-30,17
2023-01-31,21
2023-02-01,19
2023-02-02,20
2023-02-03,22
2023-02-04,23
2023-02-05,17
2023-02-06,22
2023-02-07,27
2023-02-08,100
2023-02-09,46
2023-02-10,28
2023-02-11,23
2023-02-12,20
2023-02-13,21
2023-02-14,20
2023-02-15,21
2023-02-16,25
2023-02-17,24
2023-02-18,20
2023-02-19,18
2023-02-20,29
2023-02-21,34
2023-02-22,33
2023-02-23,26
2023-02-24,21
2023-02-25,19
2023-02-26,16
2023-02-27,18
2023-02-28,23
2023-03-01,23
2023-03-02,23
2023-03-03,21
2023-03-04,21
2023-03-05,15
2023-03-06,17
2023-03-07,19
2023-03-08,18
2023-03-09,24
2023-03-10,21
2023-03-11,14
2023-03-12,13
2023-03-13,24
2023-03-14,29
2023-03-15,24
2023-03-16,23
2023-03-17,22
2023-03-18,18
2023-03-19,15
2023-03-20,16
2023-03-21,19
2023-03-22,18
2023-03-23,19
2023-03-24,19
2023-03-25,14
2023-03-26,14
2023-03-27,20
2023-03-28,34
2023-03-29,26
2023-03-30,22
2023-03-31,24
2023-04-01,23
2023-04-02,16
2023-04-03,19
2023-04-04,29
2023-04-05,28
2023-04-06,22
2023-04-07,18
2023-04-08,16
2023-04-09,15
2023-04-10,17
2023-04-11,21
2023-04-12,23
2023-04-13,22
2023-04-14,22
2023-04-15,21
2023-04-16,16
2023-04-17,14
2023-04-18,15
2023-04-19,18
2023-04-20,26
2023-04-21,32
2023-04-22,27
2023-04-23,23
2023-04-24,28
2023-04-25,55
2023-04-26,44
2023-04-27,32
2023-04-28,27
2023-04-29,20
2023-04-30,26
2023-05-01,27
2023-05-02,25
2023-05-03,24
2023-05-04,23
2023-05-05,23
2023-05-06,29
2023-05-07,24
2023-05-08,22
2023-05-09,25
2023-05-10,38
2023-05-11,29
2023-05-12,23
2023-05-13,19
2023-05-14,21
2023-05-15,23
2023-05-16,23
2023-05-17,18
2023-05-18,21
2023-05-19,21
2023-05-20,15
2023-05-21,18
2023-05-22,18
2023-05-23,18
2023-05-24,17
2023-05-25,18
