Time,spanish to english
2023-04-26,96
2023-04-27,94
2023-04-28,89
2023-04-29,63
2023-04-30,61
2023-05-01,92
2023-05-02,92
2023-05-03,94
2023-05-04,97
2023-05-05,95
2023-05-06,66
2023-05-07,61
2023-05-08,89
2023-05-09,91
2023-05-10,100
2023-05-11,96
2023-05-12,91
2023-05-13,63
2023-05-14,72
2023-05-15,93
2023-05-16,97
2023-05-17,93
2023-05-18,97
2023-05-19,89
2023-05-20,63
2023-05-21,63
2023-05-22,91
2023-05-23,88
2023-05-24,89
2023-05-25,88
2023-05-26,83
2023-05-27,66
2023-05-28,61
2023-05-29,62
2023-05-30,83
2023-05-31,83
2023-06-01,83
2023-06-02,81
2023-06-03,65
2023-06-04,63
2023-06-05,80
2023-06-06,79
2023-06-07,76
2023-06-08,76
2023-06-09,75
2023-06-10,62
2023-06-11,57
2023-06-12,72
2023-06-13,75
2023-06-14,73
2023-06-15,75
2023-06-16,74
2023-06-17,61
2023-06-18,65
2023-06-19,67
2023-06-20,69
2023-06-21,69
2023-06-22,70
2023-06-23,68
2023-06-24,61
2023-06-25,59
2023-06-26,72
2023-06-27,72
2023-06-28,71
2023-06-29,71
2023-06-30,70
2023-07-01,60
2023-07-02,59
2023-07-03,66
2023-07-04,60
2023-07-05,69
2023-07-06,73
2023-07-07,72
2023-07-08,61
2023-07-09,60
2023-07-10,66
2023-07-11,71
2023-07-12,67
2023-07-13,72
2023-07-14,69
2023-07-15,59
2023-07-16,55
2023-07-17,69
2023-07-18,70
2023-07-19,71
2023-07-20,69
2023-07-21,67
2023-07-22,59
2023-07-23,53
2023-07-24,66
2023-07-25,69
2023-07-26,70
2023-07-27,74
2023-07-28,64
2023-07-29,57
2023-07-30,55
2023-07-31,64
2023-08-01,68
2023-08-02,69
2023-08-03,67
2023-08-04,66
2023-08-05,57
2023-08-06,54
2023-08-07,66
2023-08-08,69
2023-08-09,71
2023-08-10,71
2023-08-11,74
2023-08-12,59
2023-08-13,56
2023-08-14,70
2023-08-15,71
2023-08-16,75
2023-08-17,76
2023-08-18,74
2023-08-19,61
2023-08-20,58
2023-08-21,80
2023-08-22,80
2023-08-23,85
2023-08-24,81
2023-08-25,79
2023-08-26,55
2023-08-27,58
2023-08-28,79
2023-08-29,83
2023-08-30,83
2023-08-31,84
2023-09-01,83
2023-09-02,57
2023-09-03,55
2023-09-04,57
2023-09-05,82
2023-09-06,85
2023-09-07,89
2023-09-08,88
2023-09-09,57
2023-09-10,58
2023-09-11,89
2023-09-12,89
2023-09-13,93
2023-09-14,93
2023-09-15,89
2023-09-16,61
2023-09-17,59
2023-09-18,89
2023-09-19,97
2023-09-20,93
2023-09-21,96
2023-09-22,88
2023-09-23,60
2023-09-24,60
2023-09-25,82
2023-09-26,94
2023-09-27,94
2023-09-28,94
2023-09-29,90
2023-09-30,62
2023-10-01,60
2023-10-02,89
2023-10-03,93
2023-10-04,97
2023-10-05,94
2023-10-06,86
2023-10-07,61
2023-10-08,60
2023-10-09,79
2023-10-10,91
2023-10-11,93
2023-10-12,93
2023-10-13,82
2023-10-14,62
2023-10-15,60
2023-10-16,87
2023-10-17,93
2023-10-18,90
2023-10-19,94
2023-10-20,92
2023-10-21,61
2023-10-22,59
2023-10-23,90
2023-10-24,94
2023-10-25,94
2023-10-26,93
2023-10-27,89
2023-10-28,59
2023-10-29,55
2023-10-30,91
2023-10-31,84
2023-11-01,94
2023-11-02,88
2023-11-03,87
2023-11-04,59
2023-11-05,59
2023-11-06,89
2023-11-07,92
2023-11-08,98
2023-11-09,93
2023-11-10,78
2023-11-11,60
2023-11-12,59
2023-11-13,97
2023-11-14,92
2023-11-15,99
2023-11-16,94
2023-11-17,92
2023-11-18,61
2023-11-19,58
2023-11-20,76
2023-11-21,77
2023-11-22,69
2023-11-23,61
2023-11-24,56
2023-11-25,54
2023-11-26,58
2023-11-27,82
2023-11-28,92
2023-11-29,93
2023-11-30,93
2023-12-01,86
2023-12-02,60
2023-12-03,58
2023-12-04,88
2023-12-05,90
2023-12-06,95
2023-12-07,93
2023-12-08,91
2023-12-09,59
2023-12-10,60
2023-12-11,94
2023-12-12,89
2023-12-13,93
2023-12-14,91
2023-12-15,87
2023-12-16,60
2023-12-17,59
2023-12-18,77
2023-12-19,83
2023-12-20,82
2023-12-21,77
2023-12-22,69
2023-12-23,61
2023-12-24,59
2023-12-25,60
2023-12-26,60
2023-12-27,61
2023-12-28,61
2023-12-29,64
2023-12-30,56
2023-12-31,56
2024-01-01,59
2024-01-02,64
2024-01-03,74
2024-01-04,76
2024-01-05,80
2024-01-06,58
2024-01-07,57
2024-01-08,78
2024-01-09,83
2024-01-10,91
2024-01-11,90
2024-01-12,87
2024-01-13,57
2024-01-14,58
2024-01-15,60
2024-01-16,79
2024-01-17,93
2024-01-18,92
2024-01-19,84
2024-01-20,61
