Time,piper rockelle
2022-08-29,42
2022-08-30,47
2022-08-31,34
2022-09-01,40
2022-09-02,46
2022-09-03,63
2022-09-04,67
2022-09-05,69
2022-09-06,33
2022-09-07,34
2022-09-08,44
2022-09-09,31
2022-09-10,58
2022-09-11,64
2022-09-12,38
2022-09-13,37
2022-09-14,39
2022-09-15,33
2022-09-16,42
2022-09-17,43
2022-09-18,60
2022-09-19,30
2022-09-20,30
2022-09-21,36
2022-09-22,35
2022-09-23,41
2022-09-24,46
2022-09-25,67
2022-09-26,43
2022-09-27,29
2022-09-28,33
2022-09-29,38
2022-09-30,35
2022-10-01,54
2022-10-02,53
2022-10-03,43
2022-10-04,39
2022-10-05,35
2022-10-06,37
2022-10-07,42
2022-10-08,57
2022-10-09,57
2022-10-10,61
2022-10-11,45
2022-10-12,54
2022-10-13,43
2022-10-14,50
2022-10-15,60
2022-10-16,66
2022-10-17,58
2022-10-18,46
2022-10-19,54
2022-10-20,49
2022-10-21,40
2022-10-22,44
2022-10-23,59
2022-10-24,36
2022-10-25,32
2022-10-26,35
2022-10-27,38
2022-10-28,40
2022-10-29,54
2022-10-30,54
2022-10-31,35
2022-11-01,35
2022-11-02,35
2022-11-03,40
2022-11-04,33
2022-11-05,58
2022-11-06,63
2022-11-07,39
2022-11-08,51
2022-11-09,30
2022-11-10,38
2022-11-11,37
2022-11-12,56
2022-11-13,58
2022-11-14,40
2022-11-15,31
2022-11-16,34
2022-11-17,34
2022-11-18,35
2022-11-19,49
2022-11-20,57
2022-11-21,34
2022-11-22,43
2022-11-23,54
2022-11-24,42
2022-11-25,50
2022-11-26,52
2022-11-27,58
2022-11-28,43
2022-11-29,40
2022-11-30,22
2022-12-01,35
2022-12-02,34
2022-12-03,40
2022-12-04,54
2022-12-05,29
2022-12-06,38
2022-12-07,34
2022-12-08,29
2022-12-09,27
2022-12-10,47
2022-12-11,47
2022-12-12,33
2022-12-13,35
2022-12-14,37
2022-12-15,40
2022-12-16,46
2022-12-17,47
2022-12-18,58
2022-12-19,55
2022-12-20,50
2022-12-21,48
2022-12-22,47
2022-12-23,50
2022-12-24,59
2022-12-25,61
2022-12-26,61
2022-12-27,63
2022-12-28,70
2022-12-29,70
2022-12-30,69
2022-12-31,71
2023-01-01,59
2023-01-02,61
2023-01-03,48
2023-01-04,58
2023-01-05,30
2023-01-06,38
2023-01-07,43
2023-01-08,53
2023-01-09,46
2023-01-10,39
2023-01-11,43
2023-01-12,42
2023-01-13,37
2023-01-14,58
2023-01-15,50
2023-01-16,70
2023-01-17,40
2023-01-18,41
2023-01-19,40
2023-01-20,42
2023-01-21,58
2023-01-22,53
2023-01-23,30
2023-01-24,39
2023-01-25,36
2023-01-26,41
2023-01-27,35
2023-01-28,58
2023-01-29,54
2023-01-30,46
2023-01-31,49
2023-02-01,44
2023-02-02,46
2023-02-03,49
2023-02-04,73
2023-02-05,74
2023-02-06,46
2023-02-07,36
2023-02-08,44
2023-02-09,35
2023-02-10,38
2023-02-11,47
2023-02-12,47
2023-02-13,36
2023-02-14,34
2023-02-15,31
2023-02-16,27
2023-02-17,40
2023-02-18,44
2023-02-19,51
2023-02-20,61
2023-02-21,65
2023-02-22,44
2023-02-23,58
2023-02-24,48
2023-02-25,65
2023-02-26,73
2023-02-27,43
2023-02-28,39
2023-03-01,36
2023-03-02,29
2023-03-03,37
2023-03-04,46
2023-03-05,59
2023-03-06,37
2023-03-07,27
2023-03-08,31
2023-03-09,31
2023-03-10,37
2023-03-11,41
2023-03-12,52
2023-03-13,43
2023-03-14,36
2023-03-15,36
2023-03-16,30
2023-03-17,32
2023-03-18,34
2023-03-19,39
2023-03-20,23
2023-03-21,25
2023-03-22,31
2023-03-23,28
2023-03-24,31
2023-03-25,44
2023-03-26,36
2023-03-27,29
2023-03-28,23
2023-03-29,29
2023-03-30,24
2023-03-31,27
2023-04-01,34
2023-04-02,43
2023-04-03,29
2023-04-04,26
2023-04-05,30
2023-04-06,27
2023-04-07,37
2023-04-08,47
2023-04-09,49
2023-04-10,38
2023-04-11,34
2023-04-12,33
2023-04-13,40
2023-04-14,38
2023-04-15,53
2023-04-16,58
2023-04-17,100
2023-04-18,86
2023-04-19,35
2023-04-20,40
2023-04-21,54
2023-04-22,54
2023-04-23,66
2023-04-24,42
2023-04-25,28
2023-04-26,29
2023-04-27,28
2023-04-28,26
2023-04-29,41
2023-04-30,52
2023-05-01,27
2023-05-02,25
2023-05-03,51
2023-05-04,33
2023-05-05,32
2023-05-06,39
2023-05-07,38
2023-05-08,30
2023-05-09,46
2023-05-10,27
2023-05-11,29
2023-05-12,33
2023-05-13,63
2023-05-14,88
2023-05-15,47
2023-05-16,40
2023-05-17,43
2023-05-18,35
2023-05-19,33
2023-05-20,53
2023-05-21,62
2023-05-22,48
2023-05-23,34
2023-05-24,29
2023-05-25,38
