Time,piper rockelle
2023-12-22,26
2023-12-23,23
2023-12-24,34
2023-12-25,23
2023-12-26,32
2023-12-27,83
2023-12-28,76
2023-12-29,75
2023-12-30,79
2023-12-31,100
2024-01-01,78
2024-01-02,68
2024-01-03,56
2024-01-04,45
2024-01-05,41
2024-01-06,44
2024-01-07,47
2024-01-08,37
2024-01-09,32
2024-01-10,30
2024-01-11,28
2024-01-12,26
2024-01-13,35
2024-01-14,37
2024-01-15,30
2024-01-16,31
2024-01-17,31
2024-01-18,23
2024-01-19,21
2024-01-20,32
2024-01-21,30
2024-01-22,25
2024-01-23,17
2024-01-24,18
2024-01-25,18
2024-01-26,21
2024-01-27,27
2024-01-28,26
2024-01-29,17
2024-01-30,18
2024-01-31,15
2024-02-01,16
2024-02-02,20
2024-02-03,21
2024-02-04,26
2024-02-05,13
2024-02-06,16
2024-02-07,14
2024-02-08,15
2024-02-09,18
2024-02-10,23
2024-02-11,18
2024-02-12,12
2024-02-13,14
2024-02-14,13
2024-02-15,14
2024-02-16,16
2024-02-17,16
2024-02-18,21
2024-02-19,20
2024-02-20,16
2024-02-21,19
2024-02-22,17
2024-02-23,18
2024-02-24,20
2024-02-25,19
2024-02-26,18
2024-02-27,14
2024-02-28,9
2024-02-29,14
2024-03-01,14
2024-03-02,18
2024-03-03,20
2024-03-04,19
2024-03-05,14
2024-03-06,15
2024-03-07,15
2024-03-08,20
2024-03-09,28
2024-03-10,24
2024-03-11,18
2024-03-12,21
2024-03-13,39
2024-03-14,34
2024-03-15,28
2024-03-16,38
2024-03-17,44
2024-03-18,27
2024-03-19,23
2024-03-20,35
2024-03-21,31
2024-03-22,33
2024-03-23,49
2024-03-24,51
2024-03-25,41
2024-03-26,40
2024-03-27,45
2024-03-28,33
2024-03-29,30
2024-03-30,37
2024-03-31,40
2024-04-01,33
2024-04-02,24
2024-04-03,34
2024-04-04,25
2024-04-05,25
2024-04-06,29
2024-04-07,21
2024-04-08,24
2024-04-09,20
2024-04-10,30
2024-04-11,16
2024-04-12,17
2024-04-13,31
2024-04-14,35
2024-04-15,24
2024-04-16,20
2024-04-17,15
2024-04-18,16
2024-04-19,13
2024-04-20,22
2024-04-21,25
2024-04-22,21
2024-04-23,14
2024-04-24,16
2024-04-25,18
2024-04-26,15
2024-04-27,24
2024-04-28,38
2024-04-29,24
2024-04-30,25
2024-05-01,24
2024-05-02,19
2024-05-03,21
2024-05-04,23
2024-05-05,30
2024-05-06,22
2024-05-07,20
2024-05-08,19
2024-05-09,23
2024-05-10,18
2024-05-11,16
2024-05-12,26
2024-05-13,16
2024-05-14,24
2024-05-15,23
2024-05-16,37
2024-05-17,24
2024-05-18,23
2024-05-19,24
2024-05-20,23
2024-05-21,30
2024-05-22,18
2024-05-23,18
2024-05-24,22
2024-05-25,21
2024-05-26,24
2024-05-27,26
2024-05-28,28
2024-05-29,25
2024-05-30,25
2024-05-31,29
2024-06-01,23
2024-06-02,21
2024-06-03,22
2024-06-04,26
2024-06-05,29
2024-06-06,27
2024-06-07,34
2024-06-08,37
2024-06-09,31
2024-06-10,29
2024-06-11,24
2024-06-12,28
2024-06-13,21
2024-06-14,21
2024-06-15,23
2024-06-16,25
2024-06-17,22
2024-06-18,21
2024-06-19,22
2024-06-20,18
2024-06-21,29
2024-06-22,27
2024-06-23,24
2024-06-24,21
2024-06-25,25
2024-06-26,24
2024-06-27,20
2024-06-28,19
2024-06-29,19
2024-06-30,21
2024-07-01,23
2024-07-02,22
2024-07-03,19
2024-07-04,22
2024-07-05,26
2024-07-06,27
2024-07-07,20
2024-07-08,22
2024-07-09,23
2024-07-10,24
2024-07-11,21
2024-07-12,17
2024-07-13,23
2024-07-14,17
2024-07-15,18
2024-07-16,19
2024-07-17,16
2024-07-18,15
2024-07-19,26
2024-07-20,22
2024-07-21,22
2024-07-22,24
2024-07-23,18
2024-07-24,21
2024-07-25,15
2024-07-26,14
2024-07-27,19
2024-07-28,20
2024-07-29,16
2024-07-30,18
2024-07-31,19
2024-08-01,23
2024-08-02,17
2024-08-03,13
2024-08-04,14
2024-08-05,17
2024-08-06,23
2024-08-07,23
2024-08-08,29
2024-08-09,22
2024-08-10,22
2024-08-11,19
2024-08-12,13
2024-08-13,14
2024-08-14,9
2024-08-15,16
2024-08-16,13
2024-08-17,19
2024-08-18,19
2024-08-19,16
2024-08-20,14
2024-08-21,22
2024-08-22,18
2024-08-23,10
2024-08-24,18
2024-08-25,15
2024-08-26,12
2024-08-27,11
2024-08-28,12
2024-08-29,14
2024-08-30,16
2024-08-31,17
2024-09-01,19
2024-09-02,18
2024-09-03,13
2024-09-04,12
2024-09-05,14
2024-09-06,12
2024-09-07,12
2024-09-08,11
2024-09-09,13
2024-09-10,17
2024-09-11,13
2024-09-12,13
2024-09-13,12
2024-09-14,19
2024-09-15,14
2024-09-16,12
