Time,braves
2023-12-22,9
2023-12-23,8
2023-12-24,7
2023-12-25,8
2023-12-26,8
2023-12-27,8
2023-12-28,8
2023-12-29,7
2023-12-30,13
2023-12-31,10
2024-01-01,9
2024-01-02,8
2024-01-03,9
2024-01-04,8
2024-01-05,8
2024-01-06,8
2024-01-07,8
2024-01-08,6
2024-01-09,7
2024-01-10,9
2024-01-11,7
2024-01-12,7
2024-01-13,7
2024-01-14,7
2024-01-15,8
2024-01-16,7
2024-01-17,7
2024-01-18,7
2024-01-19,7
2024-01-20,7
2024-01-21,7
2024-01-22,7
2024-01-23,7
2024-01-24,8
2024-01-25,7
2024-01-26,8
2024-01-27,10
2024-01-28,8
2024-01-29,6
2024-01-30,7
2024-01-31,7
2024-02-01,7
2024-02-02,8
2024-02-03,7
2024-02-04,7
2024-02-05,7
2024-02-06,7
2024-02-07,7
2024-02-08,6
2024-02-09,6
2024-02-10,7
2024-02-11,7
2024-02-12,7
2024-02-13,8
2024-02-14,8
2024-02-15,8
2024-02-16,9
2024-02-17,9
2024-02-18,9
2024-02-19,9
2024-02-20,9
2024-02-21,9
2024-02-22,9
2024-02-23,10
2024-02-24,18
2024-02-25,18
2024-02-26,14
2024-02-27,13
2024-02-28,13
2024-02-29,13
2024-03-01,12
2024-03-02,14
2024-03-03,15
2024-03-04,13
2024-03-05,12
2024-03-06,10
2024-03-07,13
2024-03-08,12
2024-03-09,13
2024-03-10,14
2024-03-11,11
2024-03-12,11
2024-03-13,12
2024-03-14,15
2024-03-15,12
2024-03-16,14
2024-03-17,15
2024-03-18,14
2024-03-19,13
2024-03-20,15
2024-03-21,14
2024-03-22,13
2024-03-23,15
2024-03-24,17
2024-03-25,15
2024-03-26,16
2024-03-27,19
2024-03-28,28
2024-03-29,79
2024-03-30,81
2024-03-31,81
2024-04-01,61
2024-04-02,41
2024-04-03,58
2024-04-04,29
2024-04-05,40
2024-04-06,86
2024-04-07,100
2024-04-08,38
2024-04-09,65
2024-04-10,57
2024-04-11,61
2024-04-12,30
2024-04-13,61
2024-04-14,52
2024-04-15,26
2024-04-16,54
2024-04-17,72
2024-04-18,29
2024-04-19,39
2024-04-20,83
2024-04-21,82
2024-04-22,57
2024-04-23,46
2024-04-24,48
2024-04-25,47
2024-04-26,32
2024-04-27,61
2024-04-28,93
2024-04-29,31
2024-04-30,47
2024-05-01,65
2024-05-02,28
2024-05-03,27
2024-05-04,72
2024-05-05,87
2024-05-06,29
2024-05-07,29
2024-05-08,48
2024-05-09,37
2024-05-10,35
2024-05-11,75
2024-05-12,50
2024-05-13,55
2024-05-14,52
2024-05-15,46
2024-05-16,36
2024-05-17,31
2024-05-18,66
2024-05-19,91
2024-05-20,81
2024-05-21,39
2024-05-22,47
2024-05-23,54
2024-05-24,34
2024-05-25,66
2024-05-26,55
2024-05-27,60
2024-05-28,34
2024-05-29,43
2024-05-30,48
2024-05-31,41
2024-06-01,64
2024-06-02,51
2024-06-03,23
2024-06-04,30
2024-06-05,52
2024-06-06,29
2024-06-07,39
2024-06-08,53
2024-06-09,49
2024-06-10,24
2024-06-11,30
2024-06-12,39
2024-06-13,50
2024-06-14,33
2024-06-15,61
2024-06-16,56
2024-06-17,32
2024-06-18,40
2024-06-19,58
2024-06-20,25
2024-06-21,38
2024-06-22,69
2024-06-23,75
2024-06-24,29
2024-06-25,42
2024-06-26,67
2024-06-27,50
2024-06-28,31
2024-06-29,70
2024-06-30,66
2024-07-01,25
2024-07-02,27
2024-07-03,41
2024-07-04,57
2024-07-05,60
2024-07-06,79
2024-07-07,83
2024-07-08,30
2024-07-09,50
2024-07-10,48
2024-07-11,48
2024-07-12,44
2024-07-13,54
2024-07-14,63
2024-07-15,26
2024-07-16,20
2024-07-17,19
2024-07-18,19
2024-07-19,28
2024-07-20,84
2024-07-21,70
2024-07-22,31
2024-07-23,41
2024-07-24,65
2024-07-25,37
2024-07-26,48
2024-07-27,62
2024-07-28,53
2024-07-29,33
2024-07-30,58
2024-07-31,60
2024-08-01,32
2024-08-02,43
2024-08-03,54
2024-08-04,66
2024-08-05,22
2024-08-06,25
2024-08-07,39
2024-08-08,56
2024-08-09,27
2024-08-10,45
2024-08-11,67
2024-08-12,26
2024-08-13,38
2024-08-14,41
2024-08-15,61
2024-08-16,27
2024-08-17,47
2024-08-18,68
2024-08-19,26
2024-08-20,29
2024-08-21,51
2024-08-22,52
2024-08-23,54
2024-08-24,65
2024-08-25,89
2024-08-26,26
2024-08-27,51
2024-08-28,50
2024-08-29,52
2024-08-30,44
2024-08-31,53
2024-09-01,69
2024-09-02,64
2024-09-03,27
2024-09-04,41
2024-09-05,40
2024-09-06,40
2024-09-07,52
2024-09-08,66
2024-09-09,29
2024-09-10,35
2024-09-11,39
2024-09-12,32
2024-09-13,31
2024-09-14,72
2024-09-15,74
2024-09-16,56
