Time,dow
2023-04-26,82
2023-04-27,79
2023-04-28,85
2023-04-29,18
2023-04-30,11
2023-05-01,80
2023-05-02,84
2023-05-03,90
2023-05-04,89
2023-05-05,86
2023-05-06,17
2023-05-07,11
2023-05-08,82
2023-05-09,79
2023-05-10,81
2023-05-11,81
2023-05-12,77
2023-05-13,16
2023-05-14,10
2023-05-15,79
2023-05-16,78
2023-05-17,80
2023-05-18,85
2023-05-19,81
2023-05-20,17
2023-05-21,11
2023-05-22,75
2023-05-23,81
2023-05-24,80
2023-05-25,80
2023-05-26,80
2023-05-27,17
2023-05-28,11
2023-05-29,18
2023-05-30,82
2023-05-31,83
2023-06-01,86
2023-06-02,100
2023-06-03,19
2023-06-04,13
2023-06-05,85
2023-06-06,88
2023-06-07,83
2023-06-08,82
2023-06-09,77
2023-06-10,18
2023-06-11,10
2023-06-12,75
2023-06-13,90
2023-06-14,87
2023-06-15,90
2023-06-16,84
2023-06-17,17
2023-06-18,10
2023-06-19,49
2023-06-20,83
2023-06-21,78
2023-06-22,74
2023-06-23,74
2023-06-24,15
2023-06-25,11
2023-06-26,76
2023-06-27,74
2023-06-28,73
2023-06-29,76
2023-06-30,78
2023-07-01,16
2023-07-02,11
2023-07-03,65
2023-07-04,20
2023-07-05,74
2023-07-06,79
2023-07-07,77
2023-07-08,16
2023-07-09,10
2023-07-10,75
2023-07-11,79
2023-07-12,88
2023-07-13,82
2023-07-14,86
2023-07-15,24
2023-07-16,16
2023-07-17,79
2023-07-18,85
2023-07-19,91
2023-07-20,93
2023-07-21,84
2023-07-22,18
2023-07-23,11
2023-07-24,85
2023-07-25,87
2023-07-26,91
2023-07-27,94
2023-07-28,88
2023-07-29,17
2023-07-30,11
2023-07-31,79
2023-08-01,82
2023-08-02,83
2023-08-03,84
2023-08-04,83
2023-08-05,17
2023-08-06,10
2023-08-07,81
2023-08-08,85
2023-08-09,80
2023-08-10,83
2023-08-11,80
2023-08-12,16
2023-08-13,10
2023-08-14,74
2023-08-15,73
2023-08-16,80
2023-08-17,77
2023-08-18,74
2023-08-19,16
2023-08-20,9
2023-08-21,73
2023-08-22,75
2023-08-23,74
2023-08-24,72
2023-08-25,72
2023-08-26,15
2023-08-27,10
2023-08-28,68
2023-08-29,75
2023-08-30,76
2023-08-31,73
2023-09-01,74
2023-09-02,14
2023-09-03,9
2023-09-04,14
2023-09-05,64
2023-09-06,61
2023-09-07,64
2023-09-08,64
2023-09-09,13
2023-09-10,8
2023-09-11,62
2023-09-12,62
2023-09-13,62
2023-09-14,65
2023-09-15,65
2023-09-16,14
2023-09-17,8
2023-09-18,62
2023-09-19,64
2023-09-20,68
2023-09-21,67
2023-09-22,66
2023-09-23,14
2023-09-24,8
2023-09-25,61
2023-09-26,69
2023-09-27,71
2023-09-28,68
2023-09-29,67
2023-09-30,15
2023-10-01,10
2023-10-02,65
2023-10-03,76
2023-10-04,81
2023-10-05,74
2023-10-06,78
2023-10-07,16
2023-10-08,11
2023-10-09,69
2023-10-10,72
2023-10-11,68
2023-10-12,73
2023-10-13,68
2023-10-14,14
2023-10-15,9
2023-10-16,65
2023-10-17,73
2023-10-18,67
2023-10-19,71
2023-10-20,68
2023-10-21,15
2023-10-22,10
2023-10-23,69
2023-10-24,73
2023-10-25,67
2023-10-26,69
2023-10-27,69
2023-10-28,15
2023-10-29,9
2023-10-30,70
2023-10-31,76
2023-11-01,71
2023-11-02,75
2023-11-03,78
2023-11-04,16
2023-11-05,10
2023-11-06,72
2023-11-07,76
2023-11-08,72
2023-11-09,68
2023-11-10,69
2023-11-11,17
2023-11-12,10
2023-11-13,71
2023-11-14,81
2023-11-15,86
2023-11-16,78
2023-11-17,71
2023-11-18,16
2023-11-19,10
2023-11-20,69
2023-11-21,75
2023-11-22,72
2023-11-23,20
2023-11-24,54
2023-11-25,15
2023-11-26,9
2023-11-27,62
2023-11-28,69
2023-11-29,71
2023-11-30,74
2023-12-01,83
2023-12-02,19
2023-12-03,10
2023-12-04,68
2023-12-05,73
2023-12-06,70
2023-12-07,68
2023-12-08,74
2023-12-09,17
2023-12-10,9
2023-12-11,67
2023-12-12,74
2023-12-13,86
2023-12-14,94
2023-12-15,91
2023-12-16,20
2023-12-17,10
2023-12-18,74
2023-12-19,83
2023-12-20,93
2023-12-21,93
2023-12-22,87
2023-12-23,21
2023-12-24,9
2023-12-25,10
2023-12-26,72
2023-12-27,82
2023-12-28,81
2023-12-29,81
2023-12-30,18
2023-12-31,9
2024-01-01,13
2024-01-02,72
2024-01-03,77
2024-01-04,76
2024-01-05,75
2024-01-06,17
2024-01-07,8
2024-01-08,65
2024-01-09,71
2024-01-10,68
2024-01-11,73
2024-01-12,70
2024-01-13,15
2024-01-14,8
2024-01-15,26
2024-01-16,63
2024-01-17,66
2024-01-18,67
2024-01-19,70
2024-01-20,18
