Time,dow
2025-12-11,52
2025-12-12,52
2025-12-13,14
2025-12-14,8
2025-12-15,42
2025-12-16,45
2025-12-17,43
2025-12-18,45
2025-12-19,43
2025-12-20,11
2025-12-21,7
2025-12-22,41
2025-12-23,43
2025-12-24,36
2025-12-25,10
2025-12-26,34
2025-12-27,12
2025-12-28,7
2025-12-29,40
2025-12-30,41
2025-12-31,37
2026-01-01,12
2026-01-02,38
2026-01-03,11
2026-01-04,8
2026-01-05,50
2026-01-06,50
2026-01-07,47
2026-01-08,46
2026-01-09,46
2026-01-10,12
2026-01-11,7
2026-01-12,50
2026-01-13,48
2026-01-14,43
2026-01-15,43
2026-01-16,44
2026-01-17,11
2026-01-18,8
2026-01-19,22
2026-01-20,60
2026-01-21,69
2026-01-22,52
2026-01-23,47
2026-01-24,12
2026-01-25,9
2026-01-26,45
2026-01-27,48
2026-01-28,48
2026-01-29,50
2026-01-30,47
2026-01-31,13
2026-02-01,10
2026-02-02,46
2026-02-03,47
2026-02-04,46
2026-02-05,49
2026-02-06,71
2026-02-07,22
2026-02-08,12
2026-02-09,48
2026-02-10,51
2026-02-11,54
2026-02-12,58
2026-02-13,65
2026-02-14,19
2026-02-15,13
2026-02-16,30
2026-02-17,48
2026-02-18,45
2026-02-19,45
2026-02-20,57
2026-02-21,16
2026-02-22,10
2026-02-23,54
2026-02-24,54
2026-02-25,50
2026-02-26,46
2026-02-27,51
2026-02-28,21
2026-03-01,15
2026-03-02,73
2026-03-03,79
2026-03-04,64
2026-03-05,68
2026-03-06,77
2026-03-07,19
2026-03-08,15
2026-03-09,100
2026-03-10,74
2026-03-11,67
2026-03-12,74
2026-03-13,73
2026-03-14,17
2026-03-15,15
2026-03-16,66
2026-03-17,60
2026-03-18,69
2026-03-19,74
2026-03-20,71
2026-03-21,18
2026-03-22,14
2026-03-23,83
2026-03-24,77
2026-03-25,67
2026-03-26,66
2026-03-27,74
2026-03-28,18
2026-03-29,15
2026-03-30,76
2026-03-31,76
2026-04-01,70
2026-04-02,87
2026-04-03,45
2026-04-04,13
2026-04-05,12
2026-04-06,67
2026-04-07,70
2026-04-08,95
2026-04-09,81
2026-04-10,61
2026-04-11,15
2026-04-12,15
2026-04-13,75
2026-04-14,63
2026-04-15,61
2026-04-16,61
2026-04-17,75
2026-04-18,18
2026-04-19,14
2026-04-20,70
2026-04-21,65
2026-04-22,61
2026-04-23,61
2026-04-24,53
2026-04-25,14
2026-04-26,12
2026-04-27,51
2026-04-28,53
2026-04-29,52
2026-04-30,57
2026-05-01,58
2026-05-02,13
2026-05-03,11
2026-05-04,54
2026-05-05,60
2026-05-06,60
2026-05-07,57
2026-05-08,61
2026-05-09,14
2026-05-10,11
2026-05-11,54
2026-05-12,55
2026-05-13,52
2026-05-14,57
2026-05-15,56
2026-05-16,14
2026-05-17,11
2026-05-18,52
2026-05-19,52
2026-05-20,53
2026-05-21,58
2026-05-22,55
2026-05-23,15
2026-05-24,12
2026-05-25,17
2026-05-26,58
2026-05-27,57
2026-05-28,54
2026-05-29,56
2026-05-30,14
2026-05-31,12
