Time,2020 election map
2023-04-26,12
2023-04-27,0
2023-04-28,15
2023-04-29,15
2023-04-30,12
2023-05-01,13
2023-05-02,10
2023-05-03,13
2023-05-04,13
2023-05-05,9
2023-05-06,0
2023-05-07,0
2023-05-08,16
2023-05-09,0
2023-05-10,14
2023-05-11,11
2023-05-12,0
2023-05-13,10
2023-05-14,11
2023-05-15,8
2023-05-16,9
2023-05-17,14
2023-05-18,11
2023-05-19,15
2023-05-20,10
2023-05-21,0
2023-05-22,10
2023-05-23,13
2023-05-24,0
2023-05-25,0
2023-05-26,9
2023-05-27,16
2023-05-28,0
2023-05-29,15
2023-05-30,12
2023-05-31,15
2023-06-01,0
2023-06-02,10
2023-06-03,0
2023-06-04,10
2023-06-05,14
2023-06-06,9
2023-06-07,9
2023-06-08,14
2023-06-09,0
2023-06-10,13
2023-06-11,17
2023-06-12,11
2023-06-13,13
2023-06-14,9
2023-06-15,0
2023-06-16,13
2023-06-17,12
2023-06-18,11
2023-06-19,0
2023-06-20,11
2023-06-21,15
2023-06-22,0
2023-06-23,0
2023-06-24,0
2023-06-25,17
2023-06-26,13
2023-06-27,11
2023-06-28,0
2023-06-29,11
2023-06-30,10
2023-07-01,0
2023-07-02,15
2023-07-03,14
2023-07-04,0
2023-07-05,13
2023-07-06,11
2023-07-07,12
2023-07-08,0
2023-07-09,16
2023-07-10,10
2023-07-11,9
2023-07-12,16
2023-07-13,0
2023-07-14,11
2023-07-15,0
2023-07-16,15
2023-07-17,11
2023-07-18,20
2023-07-19,10
2023-07-20,12
2023-07-21,0
2023-07-22,0
2023-07-23,17
2023-07-24,0
2023-07-25,0
2023-07-26,0
2023-07-27,0
2023-07-28,11
2023-07-29,10
2023-07-30,10
2023-07-31,12
2023-08-01,0
2023-08-02,19
2023-08-03,19
2023-08-04,16
2023-08-05,21
2023-08-06,19
2023-08-07,15
2023-08-08,13
2023-08-09,22
2023-08-10,16
2023-08-11,16
2023-08-12,13
2023-08-13,11
2023-08-14,14
2023-08-15,23
2023-08-16,10
2023-08-17,20
2023-08-18,14
2023-08-19,11
2023-08-20,12
2023-08-21,17
2023-08-22,19
2023-08-23,12
2023-08-24,13
2023-08-25,16
2023-08-26,10
2023-08-27,23
2023-08-28,19
2023-08-29,13
2023-08-30,22
2023-08-31,13
2023-09-01,0
2023-09-02,0
2023-09-03,16
2023-09-04,0
2023-09-05,10
2023-09-06,15
2023-09-07,15
2023-09-08,10
2023-09-09,0
2023-09-10,15
2023-09-11,14
2023-09-12,14
2023-09-13,0
2023-09-14,0
2023-09-15,15
2023-09-16,0
2023-09-17,10
2023-09-18,9
2023-09-19,8
2023-09-20,9
2023-09-21,10
2023-09-22,15
2023-09-23,10
2023-09-24,19
2023-09-25,12
2023-09-26,15
2023-09-27,9
2023-09-28,10
2023-09-29,0
2023-09-30,18
2023-10-01,0
2023-10-02,10
2023-10-03,11
2023-10-04,10
2023-10-05,9
2023-10-06,0
2023-10-07,17
2023-10-08,0
2023-10-09,0
2023-10-10,0
2023-10-11,12
2023-10-12,15
2023-10-13,0
2023-10-14,0
2023-10-15,11
2023-10-16,27
2023-10-17,12
2023-10-18,10
2023-10-19,12
2023-10-20,13
2023-10-21,0
2023-10-22,0
2023-10-23,13
2023-10-24,0
2023-10-25,18
2023-10-26,8
2023-10-27,12
2023-10-28,0
2023-10-29,0
2023-10-30,13
2023-10-31,0
2023-11-01,14
2023-11-02,0
2023-11-03,0
2023-11-04,12
2023-11-05,0
2023-11-06,18
2023-11-07,19
2023-11-08,37
2023-11-09,17
2023-11-10,0
2023-11-11,17
2023-11-12,11
2023-11-13,16
2023-11-14,9
2023-11-15,17
2023-11-16,12
2023-11-17,0
2023-11-18,0
2023-11-19,0
2023-11-20,9
2023-11-21,11
2023-11-22,0
2023-11-23,0
2023-11-24,0
2023-11-25,0
2023-11-26,0
2023-11-27,0
2023-11-28,0
2023-11-29,0
2023-11-30,0
2023-12-01,13
2023-12-02,0
2023-12-03,16
2023-12-04,0
2023-12-05,10
2023-12-06,13
2023-12-07,0
2023-12-08,12
2023-12-09,0
2023-12-10,0
2023-12-11,10
2023-12-12,9
2023-12-13,13
2023-12-14,0
2023-12-15,0
2023-12-16,12
2023-12-17,0
2023-12-18,0
2023-12-19,28
2023-12-20,100
2023-12-21,21
2023-12-22,15
2023-12-23,16
2023-12-24,0
2023-12-25,0
2023-12-26,0
2023-12-27,11
2023-12-28,0
2023-12-29,62
2023-12-30,21
2023-12-31,0
2024-01-01,10
2024-01-02,0
2024-01-03,16
2024-01-04,14
2024-01-05,0
2024-01-06,20
2024-01-07,10
2024-01-08,17
2024-01-09,12
2024-01-10,22
2024-01-11,18
2024-01-12,13
2024-01-13,11
2024-01-14,12
2024-01-15,13
2024-01-16,33
2024-01-17,29
2024-01-18,23
2024-01-19,19
2024-01-20,18
