Time,jack black
2022-01-01,76
2022-01-02,69
2022-01-03,56
2022-01-04,60
2022-01-05,56
2022-01-06,45
2022-01-07,59
2022-01-08,68
2022-01-09,69
2022-01-10,55
2022-01-11,51
2022-01-12,55
2022-01-13,69
2022-01-14,53
2022-01-15,72
2022-01-16,70
2022-01-17,59
2022-01-18,53
2022-01-19,49
2022-01-20,50
2022-01-21,70
2022-01-22,79
2022-01-23,64
2022-01-24,95
2022-01-25,67
2022-01-26,54
2022-01-27,52
2022-01-28,59
2022-01-29,72
2022-01-30,74
2022-01-31,56
2022-02-01,55
2022-02-02,56
2022-02-03,58
2022-02-04,56
2022-02-05,70
2022-02-06,80
2022-02-07,78
2022-02-08,55
2022-02-09,51
2022-02-10,50
2022-02-11,55
2022-02-12,69
2022-02-13,66
2022-02-14,48
2022-02-15,51
2022-02-16,54
2022-02-17,62
2022-02-18,55
2022-02-19,69
2022-02-20,68
2022-02-21,59
2022-02-22,51
2022-02-23,57
2022-02-24,58
2022-02-25,53
2022-02-26,65
2022-02-27,68
2022-02-28,52
2022-03-01,49
2022-03-02,50
2022-03-03,51
2022-03-04,47
2022-03-05,62
2022-03-06,62
2022-03-07,50
2022-03-08,46
2022-03-09,49
2022-03-10,52
2022-03-11,53
2022-03-12,60
2022-03-13,61
2022-03-14,52
2022-03-15,50
2022-03-16,52
2022-03-17,53
2022-03-18,52
2022-03-19,62
2022-03-20,60
2022-03-21,51
2022-03-22,47
2022-03-23,51
2022-03-24,48
2022-03-25,51
2022-03-26,62
2022-03-27,64
2022-03-28,46
2022-03-29,50
2022-03-30,48
2022-03-31,51
2022-04-01,53
2022-04-02,62
2022-04-03,70
2022-04-04,52
2022-04-05,46
2022-04-06,53
2022-04-07,58
2022-04-08,56
2022-04-09,64
2022-04-10,65
2022-04-11,52
2022-04-12,48
2022-04-13,48
2022-04-14,52
2022-04-15,54
2022-04-16,63
2022-04-17,66
2022-04-18,54
2022-04-19,50
2022-04-20,47
2022-04-21,48
2022-04-22,60
2022-04-23,64
2022-04-24,68
2022-04-25,58
2022-04-26,51
2022-04-27,53
2022-04-28,51
2022-04-29,49
2022-04-30,60
2022-05-01,65
2022-05-02,51
2022-05-03,48
2022-05-04,51
2022-05-05,50
2022-05-06,60
2022-05-07,76
2022-05-08,68
2022-05-09,55
2022-05-10,48
2022-05-11,65
2022-05-12,57
2022-05-13,59
2022-05-14,60
2022-05-15,63
2022-05-16,52
2022-05-17,53
2022-05-18,54
2022-05-19,55
2022-05-20,59
2022-05-21,73
2022-05-22,68
2022-05-23,54
2022-05-24,51
2022-05-25,49
2022-05-26,52
2022-05-27,65
2022-05-28,60
2022-05-29,62
2022-05-30,58
2022-05-31,54
2022-06-01,55
2022-06-02,48
2022-06-03,54
2022-06-04,64
2022-06-05,68
2022-06-06,85
2022-06-07,56
2022-06-08,58
2022-06-09,57
2022-06-10,58
2022-06-11,63
2022-06-12,66
2022-06-13,53
2022-06-14,52
2022-06-15,55
2022-06-16,54
2022-06-17,55
2022-06-18,63
2022-06-19,67
2022-06-20,61
2022-06-21,49
2022-06-22,56
2022-06-23,54
2022-06-24,54
2022-06-25,69
2022-06-26,75
2022-06-27,63
2022-06-28,56
2022-06-29,62
2022-06-30,54
2022-07-01,56
2022-07-02,66
2022-07-03,68
2022-07-04,68
2022-07-05,52
2022-07-06,52
2022-07-07,61
2022-07-08,58
2022-07-09,67
2022-07-10,70
2022-07-11,68
2022-07-12,63
2022-07-13,64
2022-07-14,56
2022-07-15,65
2022-07-16,81
2022-07-17,78
2022-07-18,66
2022-07-19,64
2022-07-20,63
2022-07-21,59
2022-07-22,54
2022-07-23,75
2022-07-24,74
2022-07-25,58
2022-07-26,62
2022-07-27,55
2022-07-28,53
2022-07-29,63
2022-07-30,64
2022-07-31,62
2022-08-01,59
2022-08-02,53
2022-08-03,51
2022-08-04,50
2022-08-05,51
2022-08-06,61
2022-08-07,61
2022-08-08,100
2022-08-09,61
2022-08-10,56
2022-08-11,61
2022-08-12,60
2022-08-13,74
2022-08-14,76
2022-08-15,60
2022-08-16,51
2022-08-17,52
2022-08-18,57
2022-08-19,58
2022-08-20,63
2022-08-21,67
2022-08-22,51
2022-08-23,54
2022-08-24,50
2022-08-25,51
2022-08-26,56
2022-08-27,70
2022-08-28,85
2022-08-29,65
2022-08-30,55
2022-08-31,55
2022-09-01,55
2022-09-02,55
2022-09-03,64
2022-09-04,67
2022-09-05,65
2022-09-06,53
2022-09-07,49
2022-09-08,46
2022-09-09,53
2022-09-10,58
2022-09-11,61
2022-09-12,50
2022-09-13,51
2022-09-14,56
2022-09-15,54
2022-09-16,53
2022-09-17,61
2022-09-18,57
2022-09-19,51
2022-09-20,51
2022-09-21,55
2022-09-22,52
2022-09-23,61
2022-09-24,65
2022-09-25,61
2022-09-26,54
2022-09-27,53
