Time,jack black
2022-08-29,24
2022-08-30,21
2022-08-31,21
2022-09-01,20
2022-09-02,21
2022-09-03,24
2022-09-04,25
2022-09-05,24
2022-09-06,20
2022-09-07,18
2022-09-08,17
2022-09-09,20
2022-09-10,22
2022-09-11,23
2022-09-12,19
2022-09-13,19
2022-09-14,21
2022-09-15,20
2022-09-16,20
2022-09-17,23
2022-09-18,21
2022-09-19,19
2022-09-20,19
2022-09-21,20
2022-09-22,19
2022-09-23,23
2022-09-24,24
2022-09-25,23
2022-09-26,20
2022-09-27,20
2022-09-28,18
2022-09-29,19
2022-09-30,20
2022-10-01,23
2022-10-02,22
2022-10-03,20
2022-10-04,18
2022-10-05,19
2022-10-06,31
2022-10-07,48
2022-10-08,42
2022-10-09,29
2022-10-10,25
2022-10-11,25
2022-10-12,26
2022-10-13,26
2022-10-14,24
2022-10-15,26
2022-10-16,28
2022-10-17,22
2022-10-18,23
2022-10-19,21
2022-10-20,21
2022-10-21,24
2022-10-22,26
2022-10-23,27
2022-10-24,22
2022-10-25,24
2022-10-26,22
2022-10-27,25
2022-10-28,23
2022-10-29,29
2022-10-30,28
2022-10-31,26
2022-11-01,20
2022-11-02,19
2022-11-03,21
2022-11-04,23
2022-11-05,23
2022-11-06,25
2022-11-07,20
2022-11-08,18
2022-11-09,20
2022-11-10,21
2022-11-11,23
2022-11-12,26
2022-11-13,27
2022-11-14,20
2022-11-15,22
2022-11-16,20
2022-11-17,24
2022-11-18,25
2022-11-19,28
2022-11-20,25
2022-11-21,23
2022-11-22,26
2022-11-23,27
2022-11-24,32
2022-11-25,38
2022-11-26,33
2022-11-27,26
2022-11-28,25
2022-11-29,26
2022-11-30,22
2022-12-01,22
2022-12-02,25
2022-12-03,28
2022-12-04,31
2022-12-05,24
2022-12-06,24
2022-12-07,52
2022-12-08,27
2022-12-09,24
2022-12-10,31
2022-12-11,31
2022-12-12,26
2022-12-13,24
2022-12-14,24
2022-12-15,31
2022-12-16,26
2022-12-17,31
2022-12-18,30
2022-12-19,26
2022-12-20,27
2022-12-21,25
2022-12-22,26
2022-12-23,50
2022-12-24,38
2022-12-25,43
2022-12-26,35
2022-12-27,29
2022-12-28,27
2022-12-29,24
2022-12-30,27
2022-12-31,30
2023-01-01,48
2023-01-02,27
2023-01-03,20
2023-01-04,24
2023-01-05,32
2023-01-06,31
2023-01-07,31
2023-01-08,34
2023-01-09,25
2023-01-10,28
2023-01-11,27
2023-01-12,27
2023-01-13,25
2023-01-14,29
2023-01-15,26
2023-01-16,25
2023-01-17,22
2023-01-18,23
2023-01-19,23
2023-01-20,21
2023-01-21,24
2023-01-22,28
2023-01-23,22
2023-01-24,23
2023-01-25,21
2023-01-26,21
2023-01-27,22
2023-01-28,26
2023-01-29,28
2023-01-30,23
2023-01-31,20
2023-02-01,20
2023-02-02,21
2023-02-03,24
2023-02-04,28
2023-02-05,29
2023-02-06,23
2023-02-07,21
2023-02-08,20
2023-02-09,21
2023-02-10,22
2023-02-11,24
2023-02-12,24
2023-02-13,19
2023-02-14,20
2023-02-15,21
2023-02-16,22
2023-02-17,19
2023-02-18,24
2023-02-19,24
2023-02-20,23
2023-02-21,20
2023-02-22,20
2023-02-23,19
2023-02-24,23
2023-02-25,27
2023-02-26,32
2023-02-27,24
2023-02-28,21
2023-03-01,23
2023-03-02,23
2023-03-03,25
2023-03-04,26
2023-03-05,28
2023-03-06,22
2023-03-07,20
2023-03-08,21
2023-03-09,23
2023-03-10,25
2023-03-11,28
2023-03-12,29
2023-03-13,23
2023-03-14,24
2023-03-15,24
2023-03-16,22
2023-03-17,23
2023-03-18,27
2023-03-19,31
2023-03-20,24
2023-03-21,22
2023-03-22,21
2023-03-23,23
2023-03-24,23
2023-03-25,27
2023-03-26,28
2023-03-27,24
2023-03-28,24
2023-03-29,22
2023-03-30,22
2023-03-31,24
2023-04-01,26
2023-04-02,31
2023-04-03,30
2023-04-04,25
2023-04-05,59
2023-04-06,83
2023-04-07,73
2023-04-08,88
2023-04-09,100
2023-04-10,87
2023-04-11,90
2023-04-12,82
2023-04-13,76
2023-04-14,78
2023-04-15,97
2023-04-16,95
2023-04-17,72
2023-04-18,73
2023-04-19,68
2023-04-20,64
2023-04-21,67
2023-04-22,81
2023-04-23,79
2023-04-24,60
2023-04-25,53
2023-04-26,55
2023-04-27,48
2023-04-28,51
2023-04-29,66
2023-04-30,60
2023-05-01,46
2023-05-02,43
2023-05-03,41
2023-05-04,39
2023-05-05,40
2023-05-06,48
2023-05-07,45
2023-05-08,38
2023-05-09,39
2023-05-10,36
2023-05-11,37
2023-05-12,40
2023-05-13,49
2023-05-14,57
2023-05-15,44
2023-05-16,47
2023-05-17,61
2023-05-18,55
2023-05-19,59
2023-05-20,66
2023-05-21,60
2023-05-22,45
2023-05-23,41
2023-05-24,39
2023-05-25,39
