Time,eli lilly
2022-01-01,14
2022-01-02,10
2022-01-03,19
2022-01-04,25
2022-01-05,28
2022-01-06,18
2022-01-07,24
2022-01-08,13
2022-01-09,9
2022-01-10,22
2022-01-11,25
2022-01-12,33
2022-01-13,21
2022-01-14,28
2022-01-15,10
2022-01-16,16
2022-01-17,13
2022-01-18,17
2022-01-19,23
2022-01-20,23
2022-01-21,23
2022-01-22,16
2022-01-23,9
2022-01-24,31
2022-01-25,39
2022-01-26,33
2022-01-27,26
2022-01-28,39
2022-01-29,18
2022-01-30,12
2022-01-31,30
2022-02-01,27
2022-02-02,20
2022-02-03,27
2022-02-04,24
2022-02-05,17
2022-02-06,9
2022-02-07,26
2022-02-08,28
2022-02-09,20
2022-02-10,22
2022-02-11,30
2022-02-12,17
2022-02-13,10
2022-02-14,26
2022-02-15,27
2022-02-16,25
2022-02-17,25
2022-02-18,22
2022-02-19,7
2022-02-20,10
2022-02-21,18
2022-02-22,27
2022-02-23,26
2022-02-24,25
2022-02-25,21
2022-02-26,14
2022-02-27,6
2022-02-28,22
2022-03-01,21
2022-03-02,20
2022-03-03,20
2022-03-04,26
2022-03-05,10
2022-03-06,10
2022-03-07,24
2022-03-08,21
2022-03-09,20
2022-03-10,22
2022-03-11,21
2022-03-12,13
2022-03-13,8
2022-03-14,22
2022-03-15,25
2022-03-16,24
2022-03-17,21
2022-03-18,26
2022-03-19,9
2022-03-20,11
2022-03-21,20
2022-03-22,21
2022-03-23,19
2022-03-24,20
2022-03-25,20
2022-03-26,10
2022-03-27,11
2022-03-28,19
2022-03-29,27
2022-03-30,24
2022-03-31,22
2022-04-01,23
2022-04-02,10
2022-04-03,11
2022-04-04,23
2022-04-05,25
2022-04-06,30
2022-04-07,27
2022-04-08,26
2022-04-09,17
2022-04-10,11
2022-04-11,23
2022-04-12,18
2022-04-13,20
2022-04-14,24
2022-04-15,15
2022-04-16,9
2022-04-17,7
2022-04-18,21
2022-04-19,21
2022-04-20,26
2022-04-21,20
2022-04-22,21
2022-04-23,12
2022-04-24,10
2022-04-25,19
2022-04-26,18
2022-04-27,17
2022-04-28,55
2022-04-29,100
2022-04-30,57
2022-05-01,19
2022-05-02,24
2022-05-03,26
2022-05-04,29
2022-05-05,19
2022-05-06,21
2022-05-07,12
2022-05-08,11
2022-05-09,23
2022-05-10,22
2022-05-11,33
2022-05-12,25
2022-05-13,22
2022-05-14,16
2022-05-15,11
2022-05-16,39
2022-05-17,30
2022-05-18,25
2022-05-19,26
2022-05-20,21
2022-05-21,10
2022-05-22,10
2022-05-23,26
2022-05-24,27
2022-05-25,27
2022-05-26,24
2022-05-27,20
2022-05-28,15
2022-05-29,10
2022-05-30,16
2022-05-31,20
2022-06-01,23
2022-06-02,21
2022-06-03,18
2022-06-04,13
2022-06-05,13
2022-06-06,49
2022-06-07,41
2022-06-08,37
2022-06-09,26
2022-06-10,26
2022-06-11,14
2022-06-12,8
2022-06-13,28
2022-06-14,43
2022-06-15,40
2022-06-16,31
2022-06-17,22
2022-06-18,14
2022-06-19,15
2022-06-20,21
2022-06-21,23
2022-06-22,31
2022-06-23,25
2022-06-24,24
2022-06-25,15
2022-06-26,14
2022-06-27,26
2022-06-28,27
2022-06-29,21
2022-06-30,21
2022-07-01,22
2022-07-02,12
2022-07-03,13
2022-07-04,7
2022-07-05,19
2022-07-06,24
2022-07-07,22
2022-07-08,21
2022-07-09,13
2022-07-10,9
2022-07-11,23
2022-07-12,25
2022-07-13,21
2022-07-14,28
2022-07-15,20
2022-07-16,13
2022-07-17,13
2022-07-18,22
2022-07-19,28
2022-07-20,23
2022-07-21,24
2022-07-22,17
2022-07-23,12
2022-07-24,11
2022-07-25,27
2022-07-26,21
2022-07-27,22
2022-07-28,24
2022-07-29,18
2022-07-30,7
2022-07-31,8
2022-08-01,22
2022-08-02,23
2022-08-03,28
2022-08-04,40
2022-08-05,27
2022-08-06,55
2022-08-07,73
2022-08-08,41
2022-08-09,31
2022-08-10,32
2022-08-11,31
2022-08-12,26
2022-08-13,18
2022-08-14,25
2022-08-15,29
2022-08-16,33
2022-08-17,28
2022-08-18,27
2022-08-19,24
2022-08-20,13
2022-08-21,13
2022-08-22,24
2022-08-23,27
2022-08-24,25
2022-08-25,28
2022-08-26,23
2022-08-27,9
2022-08-28,9
2022-08-29,26
2022-08-30,26
2022-08-31,22
2022-09-01,18
2022-09-02,20
2022-09-03,15
2022-09-04,9
2022-09-05,8
2022-09-06,28
2022-09-07,27
2022-09-08,25
2022-09-09,33
2022-09-10,23
2022-09-11,18
2022-09-12,28
2022-09-13,28
2022-09-14,29
2022-09-15,30
2022-09-16,23
2022-09-17,11
2022-09-18,9
2022-09-19,29
2022-09-20,24
2022-09-21,29
2022-09-22,54
2022-09-23,37
2022-09-24,16
2022-09-25,18
2022-09-26,26
2022-09-27,33
