Time,eli lilly
2023-12-22,16
2023-12-23,10
2023-12-24,10
2023-12-25,8
2023-12-26,15
2023-12-27,17
2023-12-28,18
2023-12-29,15
2023-12-30,9
2023-12-31,7
2024-01-01,8
2024-01-02,19
2024-01-03,23
2024-01-04,66
2024-01-05,77
2024-01-06,35
2024-01-07,19
2024-01-08,28
2024-01-09,30
2024-01-10,31
2024-01-11,30
2024-01-12,29
2024-01-13,17
2024-01-14,14
2024-01-15,16
2024-01-16,25
2024-01-17,25
2024-01-18,23
2024-01-19,23
2024-01-20,13
2024-01-21,13
2024-01-22,25
2024-01-23,29
2024-01-24,23
2024-01-25,25
2024-01-26,29
2024-01-27,16
2024-01-28,13
2024-01-29,24
2024-01-30,23
2024-01-31,27
2024-02-01,29
2024-02-02,26
2024-02-03,18
2024-02-04,14
2024-02-05,42
2024-02-06,61
2024-02-07,45
2024-02-08,41
2024-02-09,35
2024-02-10,17
2024-02-11,17
2024-02-12,26
2024-02-13,31
2024-02-14,28
2024-02-15,28
2024-02-16,34
2024-02-17,18
2024-02-18,15
2024-02-19,20
2024-02-20,29
2024-02-21,29
2024-02-22,33
2024-02-23,26
2024-02-24,14
2024-02-25,19
2024-02-26,31
2024-02-27,35
2024-02-28,31
2024-02-29,32
2024-03-01,36
2024-03-02,23
2024-03-03,18
2024-03-04,33
2024-03-05,36
2024-03-06,38
2024-03-07,36
2024-03-08,44
2024-03-09,18
2024-03-10,19
2024-03-11,29
2024-03-12,30
2024-03-13,40
2024-03-14,36
2024-03-15,30
2024-03-16,14
2024-03-17,16
2024-03-18,28
2024-03-19,36
2024-03-20,33
2024-03-21,31
2024-03-22,25
2024-03-23,16
2024-03-24,14
2024-03-25,27
2024-03-26,25
2024-03-27,32
2024-03-28,27
2024-03-29,22
2024-03-30,19
2024-03-31,15
2024-04-01,31
2024-04-02,28
2024-04-03,32
2024-04-04,29
2024-04-05,23
2024-04-06,12
2024-04-07,12
2024-04-08,22
2024-04-09,26
2024-04-10,24
2024-04-11,26
2024-04-12,26
2024-04-13,13
2024-04-14,12
2024-04-15,22
2024-04-16,23
2024-04-17,28
2024-04-18,100
2024-04-19,42
2024-04-20,23
2024-04-21,14
2024-04-22,26
2024-04-23,25
2024-04-24,28
2024-04-25,25
2024-04-26,25
2024-04-27,12
2024-04-28,12
2024-04-29,27
2024-04-30,46
2024-05-01,28
2024-05-02,28
2024-05-03,25
2024-05-04,15
2024-05-05,12
2024-05-06,27
2024-05-07,22
2024-05-08,21
2024-05-09,24
2024-05-10,23
2024-05-11,11
2024-05-12,11
2024-05-13,23
2024-05-14,22
2024-05-15,29
2024-05-16,24
2024-05-17,22
2024-05-18,13
2024-05-19,12
2024-05-20,24
2024-05-21,28
2024-05-22,28
2024-05-23,26
2024-05-24,28
2024-05-25,14
2024-05-26,11
2024-05-27,12
2024-05-28,28
2024-05-29,24
2024-05-30,27
2024-05-31,24
2024-06-01,15
2024-06-02,13
2024-06-03,24
2024-06-04,23
2024-06-05,37
2024-06-06,41
2024-06-07,31
2024-06-08,16
2024-06-09,15
2024-06-10,40
2024-06-11,51
2024-06-12,42
2024-06-13,32
2024-06-14,56
2024-06-15,33
2024-06-16,26
2024-06-17,36
2024-06-18,32
2024-06-19,25
2024-06-20,34
2024-06-21,28
2024-06-22,17
2024-06-23,14
2024-06-24,30
2024-06-25,32
2024-06-26,34
2024-06-27,28
2024-06-28,26
2024-06-29,15
2024-06-30,12
2024-07-01,31
2024-07-02,55
2024-07-03,53
2024-07-04,20
2024-07-05,28
2024-07-06,15
2024-07-07,15
2024-07-08,43
2024-07-09,37
2024-07-10,39
2024-07-11,34
2024-07-12,28
2024-07-13,17
2024-07-14,13
2024-07-15,34
2024-07-16,33
2024-07-17,32
2024-07-18,37
2024-07-19,32
2024-07-20,15
2024-07-21,14
2024-07-22,28
2024-07-23,31
2024-07-24,28
2024-07-25,32
2024-07-26,32
2024-07-27,17
2024-07-28,18
2024-07-29,31
2024-07-30,31
2024-07-31,27
2024-08-01,29
2024-08-02,31
2024-08-03,14
2024-08-04,15
2024-08-05,33
2024-08-06,29
2024-08-07,36
2024-08-08,63
2024-08-09,42
2024-08-10,18
2024-08-11,14
2024-08-12,34
2024-08-13,32
2024-08-14,36
2024-08-15,35
2024-08-16,29
2024-08-17,13
2024-08-18,12
2024-08-19,32
2024-08-20,46
2024-08-21,38
2024-08-22,29
2024-08-23,31
2024-08-24,14
2024-08-25,13
2024-08-26,28
2024-08-27,78
2024-08-28,64
2024-08-29,39
2024-08-30,33
2024-08-31,23
2024-09-01,16
2024-09-02,17
2024-09-03,33
2024-09-04,32
2024-09-05,35
2024-09-06,24
2024-09-07,12
2024-09-08,12
2024-09-09,32
2024-09-10,32
2024-09-11,27
2024-09-12,31
2024-09-13,27
2024-09-14,14
2024-09-15,11
2024-09-16,27
