Time,bts
2022-01-01,50.0
2022-01-02,21.0
2022-01-03,19.0
2022-01-04,22.0
2022-01-05,19.0
2022-01-06,16.0
2022-01-07,19.0
2022-01-08,22.0
2022-01-09,22.0
2022-01-10,17.0
2022-01-11,17.0
2022-01-12,17.0
2022-01-13,20.0
2022-01-14,15.0
2022-01-15,22.0
2022-01-16,20.0
2022-01-17,17.0
2022-01-18,17.0
2022-01-19,16.0
2022-01-20,16.0
2022-01-21,16.0
2022-01-22,22.0
2022-01-23,21.0
2022-01-24,21.0
2022-01-25,14.0
2022-01-26,15.0
2022-01-27,16.0
2022-01-28,17.0
2022-01-29,19.0
2022-01-30,19.0
2022-01-31,18.0
2022-02-01,16.0
2022-02-02,16.0
2022-02-03,16.0
2022-02-04,16.0
2022-02-05,19.0
2022-02-06,19.0
2022-02-07,16.0
2022-02-08,15.0
2022-02-09,15.0
2022-02-10,13.0
2022-02-11,17.0
2022-02-12,18.0
2022-02-13,18.0
2022-02-14,16.0
2022-02-15,16.0
2022-02-16,18.0
2022-02-17,17.0
2022-02-18,16.0
2022-02-19,19.0
2022-02-20,20.0
2022-02-21,18.0
2022-02-22,20.0
2022-02-23,32.0
2022-02-24,19.0
2022-02-25,21.0
2022-02-26,22.0
2022-02-27,19.0
2022-02-28,18.0
2022-03-01,17.0
2022-03-02,21.0
2022-03-03,26.0
2022-03-04,19.0
2022-03-05,20.0
2022-03-06,20.0
2022-03-07,17.0
2022-03-08,18.0
2022-03-09,20.0
2022-03-10,21.0
2022-03-11,20.0
2022-03-12,25.0
2022-03-13,28.0
2022-03-14,19.0
2022-03-15,18.0
2022-03-16,17.0
2022-03-17,17.0
2022-03-18,18.0
2022-03-19,19.0
2022-03-20,19.0
2022-03-21,17.0
2022-03-22,18.0
2022-03-23,17.0
2022-03-24,19.0
2022-03-25,18.0
2022-03-26,20.0
2022-03-27,21.0
2022-03-28,21.0
2022-03-29,21.0
2022-03-30,18.0
2022-03-31,18.0
2022-04-01,20.0
2022-04-02,22.0
2022-04-03,37.0
2022-04-04,100.0
2022-04-05,35.0
2022-04-06,27.0
2022-04-07,27.0
2022-04-08,33.0
2022-04-09,42.0
2022-04-10,38.0
2022-04-11,26.0
2022-04-12,23.0
2022-04-13,21.0
2022-04-14,24.0
2022-04-15,26.0
2022-04-16,34.0
2022-04-17,41.0
2022-04-18,27.0
2022-04-19,23.0
2022-04-20,21.0
2022-04-21,19.0
2022-04-22,19.0
2022-04-23,22.0
2022-04-24,21.0
2022-04-25,18.0
2022-04-26,18.0
2022-04-27,18.0
2022-04-28,18.0
2022-04-29,18.0
2022-04-30,21.0
2022-05-01,20.0
2022-05-02,17.0
2022-05-03,17.0
2022-05-04,18.0
2022-05-05,21.0
2022-05-06,19.0
2022-05-07,18.0
2022-05-08,21.0
2022-05-09,20.0
2022-05-10,18.0
2022-05-11,17.0
2022-05-12,18.0
2022-05-13,17.0
2022-05-14,18.0
2022-05-15,20.0
2022-05-16,21.0
2022-05-17,18.0
2022-05-18,17.0
2022-05-19,17.0
2022-05-20,17.0
2022-05-21,17.0
2022-05-22,18.0
2022-05-23,17.0
2022-05-24,17.0
2022-05-25,16.0
2022-05-26,18.0
2022-05-27,18.0
2022-05-28,18.0
2022-05-29,21.0
2022-05-30,21.0
2022-05-31,30.0
2022-06-01,35.0
2022-06-02,22.0
2022-06-03,19.0
2022-06-04,23.0
2022-06-05,21.0
2022-06-06,19.0
2022-06-07,19.0
2022-06-08,19.0
2022-06-09,19.0
2022-06-10,50.0
2022-06-11,29.0
2022-06-12,27.0
2022-06-13,24.0
2022-06-14,54.0
2022-06-15,51.0
2022-06-16,30.0
2022-06-17,24.0
2022-06-18,22.0
2022-06-19,21.0
2022-06-20,20.0
2022-06-21,19.0
2022-06-22,18.0
2022-06-23,19.0
2022-06-24,20.0
2022-06-25,19.0
2022-06-26,19.0
2022-06-27,17.0
2022-06-28,17.0
2022-06-29,18.0
2022-06-30,16.0
2022-07-01,17.0
2022-07-02,17.0
2022-07-03,17.0
2022-07-04,17.0
2022-07-05,15.0
2022-07-06,15.0
2022-07-07,15.0
2022-07-08,39.0
2022-07-09,50.0
2022-07-10,24.0
2022-07-11,18.0
2022-07-12,17.0
2022-07-13,17.0
2022-07-14,16.0
2022-07-15,17.0
2022-07-16,16.0
2022-07-17,16.0
2022-07-18,14.0
2022-07-19,15.0
2022-07-20,14.0
2022-07-21,14.0
2022-07-22,15.0
2022-07-23,15.0
2022-07-24,15.0
2022-07-25,14.0
2022-07-26,16.0
2022-07-27,14.0
2022-07-28,15.0
2022-07-29,16.0
2022-07-30,16.0
2022-07-31,18.0
2022-08-01,18.0
2022-08-02,15.0
2022-08-03,15.0
2022-08-04,14.0
2022-08-05,17.0
2022-08-06,17.0
2022-08-07,18.0
2022-08-08,14.0
2022-08-09,15.0
2022-08-10,14.0
2022-08-11,14.0
2022-08-12,19.0
2022-08-13,16.0
2022-08-14,15.0
2022-08-15,14.0
2022-08-16,14.0
2022-08-17,13.0
2022-08-18,13.0
2022-08-19,14.0
2022-08-20,16.0
2022-08-21,15.0
2022-08-22,13.0
2022-08-23,14.0
2022-08-24,14.0
2022-08-25,15.0
2022-08-26,14.0
2022-08-27,15.0
2022-08-28,17.0
2022-08-29,18.92857142857143
2022-08-30,12.928571428571427
2022-08-31,13.142857142857142
2022-09-01,13.142857142857142
2022-09-02,13.642857142857142
2022-09-03,14.785714285714285
2022-09-04,14.285714285714285
2022-09-05,14.071428571428571
2022-09-06,11.785714285714285
2022-09-07,12.214285714285714
