Time,ulta
2022-08-29,24
2022-08-30,22
2022-08-31,24
2022-09-01,24
2022-09-02,27
2022-09-03,30
2022-09-04,32
2022-09-05,32
2022-09-06,21
2022-09-07,20
2022-09-08,20
2022-09-09,24
2022-09-10,29
2022-09-11,30
2022-09-12,21
2022-09-13,21
2022-09-14,22
2022-09-15,22
2022-09-16,25
2022-09-17,31
2022-09-18,29
2022-09-19,18
2022-09-20,20
2022-09-21,18
2022-09-22,19
2022-09-23,23
2022-09-24,26
2022-09-25,26
2022-09-26,19
2022-09-27,19
2022-09-28,19
2022-09-29,21
2022-09-30,24
2022-10-01,29
2022-10-02,30
2022-10-03,23
2022-10-04,23
2022-10-05,22
2022-10-06,21
2022-10-07,25
2022-10-08,31
2022-10-09,30
2022-10-10,23
2022-10-11,22
2022-10-12,22
2022-10-13,21
2022-10-14,25
2022-10-15,27
2022-10-16,27
2022-10-17,22
2022-10-18,21
2022-10-19,25
2022-10-20,21
2022-10-21,24
2022-10-22,29
2022-10-23,30
2022-10-24,21
2022-10-25,20
2022-10-26,22
2022-10-27,23
2022-10-28,24
2022-10-29,30
2022-10-30,28
2022-10-31,20
2022-11-01,19
2022-11-02,21
2022-11-03,24
2022-11-04,27
2022-11-05,31
2022-11-06,30
2022-11-07,23
2022-11-08,21
2022-11-09,20
2022-11-10,24
2022-11-11,29
2022-11-12,32
2022-11-13,33
2022-11-14,26
2022-11-15,26
2022-11-16,25
2022-11-17,28
2022-11-18,29
2022-11-19,37
2022-11-20,54
2022-11-21,37
2022-11-22,37
2022-11-23,43
2022-11-24,46
2022-11-25,100
2022-11-26,63
2022-11-27,48
2022-11-28,49
2022-11-29,38
2022-11-30,29
2022-12-01,32
2022-12-02,33
2022-12-03,37
2022-12-04,41
2022-12-05,32
2022-12-06,31
2022-12-07,30
2022-12-08,34
2022-12-09,34
2022-12-10,43
2022-12-11,47
2022-12-12,34
2022-12-13,33
2022-12-14,33
2022-12-15,36
2022-12-16,43
2022-12-17,49
2022-12-18,50
2022-12-19,46
2022-12-20,47
2022-12-21,49
2022-12-22,54
2022-12-23,56
2022-12-24,62
2022-12-25,34
2022-12-26,56
2022-12-27,47
2022-12-28,43
2022-12-29,43
2022-12-30,45
2022-12-31,45
2023-01-01,39
2023-01-02,40
2023-01-03,30
2023-01-04,29
2023-01-05,29
2023-01-06,30
2023-01-07,38
2023-01-08,37
2023-01-09,26
2023-01-10,24
2023-01-11,25
2023-01-12,24
2023-01-13,28
2023-01-14,35
2023-01-15,35
2023-01-16,32
2023-01-17,24
2023-01-18,23
2023-01-19,23
2023-01-20,26
2023-01-21,32
2023-01-22,33
2023-01-23,24
2023-01-24,19
2023-01-25,21
2023-01-26,22
2023-01-27,26
2023-01-28,33
2023-01-29,32
2023-01-30,22
2023-01-31,22
2023-02-01,23
2023-02-02,24
2023-02-03,25
2023-02-04,35
2023-02-05,33
2023-02-06,22
2023-02-07,21
2023-02-08,21
2023-02-09,23
2023-02-10,26
2023-02-11,34
2023-02-12,32
2023-02-13,21
2023-02-14,24
2023-02-15,21
2023-02-16,25
2023-02-17,27
2023-02-18,35
2023-02-19,35
2023-02-20,29
2023-02-21,22
2023-02-22,21
2023-02-23,25
2023-02-24,27
2023-02-25,32
2023-02-26,33
2023-02-27,23
2023-02-28,21
2023-03-01,23
2023-03-02,24
2023-03-03,25
2023-03-04,33
2023-03-05,35
2023-03-06,24
2023-03-07,24
2023-03-08,28
2023-03-09,28
2023-03-10,28
2023-03-11,37
2023-03-12,39
2023-03-13,30
2023-03-14,27
2023-03-15,29
2023-03-16,28
2023-03-17,30
2023-03-18,37
2023-03-19,41
2023-03-20,27
2023-03-21,25
2023-03-22,23
2023-03-23,25
2023-03-24,29
2023-03-25,37
2023-03-26,36
2023-03-27,24
2023-03-28,24
2023-03-29,25
2023-03-30,25
2023-03-31,29
2023-04-01,36
2023-04-02,37
2023-04-03,24
2023-04-04,22
2023-04-05,22
2023-04-06,25
2023-04-07,31
2023-04-08,34
2023-04-09,34
2023-04-10,26
2023-04-11,24
2023-04-12,25
2023-04-13,25
2023-04-14,29
2023-04-15,33
2023-04-16,34
2023-04-17,21
2023-04-18,22
2023-04-19,22
2023-04-20,27
2023-04-21,26
2023-04-22,32
2023-04-23,31
2023-04-24,22
2023-04-25,21
2023-04-26,22
2023-04-27,22
2023-04-28,25
2023-04-29,31
2023-04-30,32
2023-05-01,24
2023-05-02,22
2023-05-03,22
2023-05-04,25
2023-05-05,26
2023-05-06,30
2023-05-07,31
2023-05-08,23
2023-05-09,23
2023-05-10,23
2023-05-11,27
2023-05-12,29
2023-05-13,35
2023-05-14,34
2023-05-15,24
2023-05-16,23
2023-05-17,24
2023-05-18,25
2023-05-19,28
2023-05-20,33
2023-05-21,30
2023-05-22,21
2023-05-23,22
2023-05-24,21
2023-05-25,24
