Time,linkedin
2022-01-01,23
2022-01-02,25
2022-01-03,55
2022-01-04,79
2022-01-05,74
2022-01-06,59
2022-01-07,66
2022-01-08,34
2022-01-09,30
2022-01-10,64
2022-01-11,75
2022-01-12,75
2022-01-13,79
2022-01-14,54
2022-01-15,35
2022-01-16,28
2022-01-17,45
2022-01-18,63
2022-01-19,68
2022-01-20,68
2022-01-21,62
2022-01-22,31
2022-01-23,31
2022-01-24,87
2022-01-25,69
2022-01-26,68
2022-01-27,67
2022-01-28,66
2022-01-29,36
2022-01-30,28
2022-01-31,65
2022-02-01,73
2022-02-02,73
2022-02-03,70
2022-02-04,66
2022-02-05,33
2022-02-06,30
2022-02-07,67
2022-02-08,83
2022-02-09,73
2022-02-10,65
2022-02-11,67
2022-02-12,34
2022-02-13,28
2022-02-14,61
2022-02-15,78
2022-02-16,77
2022-02-17,73
2022-02-18,69
2022-02-19,37
2022-02-20,32
2022-02-21,61
2022-02-22,74
2022-02-23,77
2022-02-24,69
2022-02-25,64
2022-02-26,39
2022-02-27,35
2022-02-28,68
2022-03-01,74
2022-03-02,72
2022-03-03,72
2022-03-04,65
2022-03-05,37
2022-03-06,32
2022-03-07,67
2022-03-08,79
2022-03-09,76
2022-03-10,76
2022-03-11,65
2022-03-12,37
2022-03-13,35
2022-03-14,67
2022-03-15,73
2022-03-16,72
2022-03-17,71
2022-03-18,63
2022-03-19,34
2022-03-20,32
2022-03-21,69
2022-03-22,78
2022-03-23,77
2022-03-24,73
2022-03-25,67
2022-03-26,39
2022-03-27,36
2022-03-28,69
2022-03-29,82
2022-03-30,76
2022-03-31,78
2022-04-01,68
2022-04-02,38
2022-04-03,39
2022-04-04,76
2022-04-05,84
2022-04-06,88
2022-04-07,77
2022-04-08,71
2022-04-09,40
2022-04-10,37
2022-04-11,76
2022-04-12,75
2022-04-13,83
2022-04-14,77
2022-04-15,62
2022-04-16,36
2022-04-17,33
2022-04-18,76
2022-04-19,80
2022-04-20,83
2022-04-21,75
2022-04-22,72
2022-04-23,38
2022-04-24,38
2022-04-25,73
2022-04-26,80
2022-04-27,78
2022-04-28,80
2022-04-29,72
2022-04-30,38
2022-05-01,33
2022-05-02,74
2022-05-03,89
2022-05-04,79
2022-05-05,79
2022-05-06,66
2022-05-07,40
2022-05-08,33
2022-05-09,73
2022-05-10,81
2022-05-11,83
2022-05-12,76
2022-05-13,67
2022-05-14,34
2022-05-15,31
2022-05-16,71
2022-05-17,79
2022-05-18,77
2022-05-19,80
2022-05-20,68
2022-05-21,33
2022-05-22,31
2022-05-23,75
2022-05-24,81
2022-05-25,76
2022-05-26,77
2022-05-27,62
2022-05-28,27
2022-05-29,25
2022-05-30,32
2022-05-31,74
2022-06-01,78
2022-06-02,79
2022-06-03,71
2022-06-04,33
2022-06-05,34
2022-06-06,78
2022-06-07,85
2022-06-08,82
2022-06-09,82
2022-06-10,71
2022-06-11,33
2022-06-12,32
2022-06-13,76
2022-06-14,82
2022-06-15,80
2022-06-16,80
2022-06-17,68
2022-06-18,32
2022-06-19,28
2022-06-20,61
2022-06-21,82
2022-06-22,83
2022-06-23,79
2022-06-24,65
2022-06-25,31
2022-06-26,28
2022-06-27,73
2022-06-28,82
2022-06-29,82
2022-06-30,76
2022-07-01,62
2022-07-02,31
2022-07-03,26
2022-07-04,31
2022-07-05,70
2022-07-06,80
2022-07-07,78
2022-07-08,67
2022-07-09,37
2022-07-10,55
2022-07-11,95
2022-07-12,97
2022-07-13,100
2022-07-14,94
2022-07-15,86
2022-07-16,48
2022-07-17,47
2022-07-18,91
2022-07-19,95
2022-07-20,96
2022-07-21,94
2022-07-22,81
2022-07-23,33
2022-07-24,30
2022-07-25,73
2022-07-26,84
2022-07-27,80
2022-07-28,80
2022-07-29,71
2022-07-30,31
2022-07-31,30
2022-08-01,77
2022-08-02,84
2022-08-03,80
2022-08-04,77
2022-08-05,69
2022-08-06,33
2022-08-07,34
2022-08-08,74
2022-08-09,84
2022-08-10,84
2022-08-11,81
2022-08-12,68
2022-08-13,34
2022-08-14,32
2022-08-15,77
2022-08-16,85
2022-08-17,81
2022-08-18,78
2022-08-19,71
2022-08-20,33
2022-08-21,36
2022-08-22,78
2022-08-23,87
2022-08-24,81
2022-08-25,79
2022-08-26,66
2022-08-27,34
2022-08-28,32
2022-08-29,75
2022-08-30,79
2022-08-31,80
2022-09-01,75
2022-09-02,62
2022-09-03,29
2022-09-04,27
2022-09-05,38
2022-09-06,76
2022-09-07,79
2022-09-08,75
2022-09-09,64
2022-09-10,30
2022-09-11,30
2022-09-12,77
2022-09-13,80
2022-09-14,79
2022-09-15,82
2022-09-16,66
2022-09-17,34
2022-09-18,31
2022-09-19,74
2022-09-20,81
2022-09-21,84
2022-09-22,79
2022-09-23,69
2022-09-24,30
2022-09-25,30
2022-09-26,71
2022-09-27,77
