Time,linkedin
2024-08-18,33
2024-08-19,78
2024-08-20,84
2024-08-21,84
2024-08-22,84
2024-08-23,71
2024-08-24,36
2024-08-25,34
2024-08-26,79
2024-08-27,82
2024-08-28,84
2024-08-29,81
2024-08-30,70
2024-08-31,30
2024-09-01,32
2024-09-02,39
2024-09-03,81
2024-09-04,88
2024-09-05,82
2024-09-06,71
2024-09-07,34
2024-09-08,36
2024-09-09,81
2024-09-10,89
2024-09-11,82
2024-09-12,85
2024-09-13,73
2024-09-14,36
2024-09-15,33
2024-09-16,79
2024-09-17,88
2024-09-18,87
2024-09-19,85
2024-09-20,76
2024-09-21,38
2024-09-22,36
2024-09-23,82
2024-09-24,86
2024-09-25,86
2024-09-26,82
2024-09-27,71
2024-09-28,35
2024-09-29,35
2024-09-30,77
2024-10-01,84
2024-10-02,84
2024-10-03,85
2024-10-04,73
2024-10-05,35
2024-10-06,35
2024-10-07,82
2024-10-08,91
2024-10-09,80
2024-10-10,80
2024-10-11,72
2024-10-12,35
2024-10-13,33
2024-10-14,73
2024-10-15,80
2024-10-16,87
2024-10-17,81
2024-10-18,74
2024-10-19,34
2024-10-20,34
2024-10-21,82
2024-10-22,92
2024-10-23,85
2024-10-24,84
2024-10-25,75
2024-10-26,33
2024-10-27,33
2024-10-28,79
2024-10-29,82
2024-10-30,79
2024-10-31,83
2024-11-01,73
2024-11-02,34
2024-11-03,33
2024-11-04,78
2024-11-05,73
2024-11-06,56
2024-11-07,79
2024-11-08,70
2024-11-09,36
2024-11-10,32
2024-11-11,75
2024-11-12,85
2024-11-13,86
2024-11-14,82
2024-11-15,73
2024-11-16,34
2024-11-17,34
2024-11-18,80
2024-11-19,82
2024-11-20,82
2024-11-21,81
2024-11-22,73
2024-11-23,33
2024-11-24,29
2024-11-25,69
2024-11-26,72
2024-11-27,58
2024-11-28,32
2024-11-29,30
2024-11-30,27
2024-12-01,29
2024-12-02,71
2024-12-03,81
2024-12-04,79
2024-12-05,78
2024-12-06,75
2024-12-07,36
2024-12-08,33
2024-12-09,80
2024-12-10,81
2024-12-11,82
2024-12-12,80
2024-12-13,67
2024-12-14,36
2024-12-15,29
2024-12-16,73
2024-12-17,77
2024-12-18,79
2024-12-19,76
2024-12-20,67
2024-12-21,31
2024-12-22,31
2024-12-23,56
2024-12-24,39
2024-12-25,25
2024-12-26,42
2024-12-27,47
2024-12-28,31
2024-12-29,29
2024-12-30,56
2024-12-31,49
2025-01-01,32
2025-01-02,73
2025-01-03,71
2025-01-04,41
2025-01-05,36
2025-01-06,85
2025-01-07,89
2025-01-08,91
2025-01-09,92
2025-01-10,88
2025-01-11,42
2025-01-12,37
2025-01-13,86
2025-01-14,91
2025-01-15,93
2025-01-16,94
2025-01-17,81
2025-01-18,42
2025-01-19,34
2025-01-20,59
2025-01-21,90
2025-01-22,96
2025-01-23,90
2025-01-24,82
2025-01-25,44
2025-01-26,38
2025-01-27,82
2025-01-28,94
2025-01-29,95
2025-01-30,90
2025-01-31,79
2025-02-01,45
2025-02-02,45
2025-02-03,82
2025-02-04,94
2025-02-05,93
2025-02-06,94
2025-02-07,80
2025-02-08,45
2025-02-09,38
2025-02-10,83
2025-02-11,93
2025-02-12,92
2025-02-13,92
2025-02-14,81
2025-02-15,43
2025-02-16,41
2025-02-17,72
2025-02-18,93
2025-02-19,96
2025-02-20,96
2025-02-21,85
2025-02-22,47
2025-02-23,48
2025-02-24,95
2025-02-25,97
2025-02-26,96
2025-02-27,100
2025-02-28,89
2025-03-01,46
2025-03-02,44
2025-03-03,83
2025-03-04,95
2025-03-05,92
2025-03-06,94
2025-03-07,89
2025-03-08,46
2025-03-09,41
2025-03-10,85
2025-03-11,94
2025-03-12,95
2025-03-13,94
2025-03-14,76
2025-03-15,41
2025-03-16,42
2025-03-17,85
2025-03-18,93
2025-03-19,95
2025-03-20,88
2025-03-21,77
2025-03-22,41
2025-03-23,39
2025-03-24,82
2025-03-25,91
2025-03-26,93
2025-03-27,86
2025-03-28,79
2025-03-29,39
2025-03-30,41
2025-03-31,83
2025-04-01,83
2025-04-02,87
2025-04-03,88
2025-04-04,82
2025-04-05,42
2025-04-06,40
2025-04-07,85
2025-04-08,90
2025-04-09,94
2025-04-10,89
2025-04-11,78
2025-04-12,44
2025-04-13,36
2025-04-14,78
2025-04-15,93
2025-04-16,89
2025-04-17,87
2025-04-18,76
2025-04-19,38
2025-04-20,38
2025-04-21,94
2025-04-22,94
2025-04-23,96
2025-04-24,88
2025-04-25,74
2025-04-26,37
2025-04-27,40
2025-04-28,79
2025-04-29,88
2025-04-30,88
2025-05-01,85
2025-05-02,77
2025-05-03,49
2025-05-04,43
2025-05-05,81
2025-05-06,83
2025-05-07,85
2025-05-08,84
2025-05-09,82
2025-05-10,39
2025-05-11,44
2025-05-12,83
2025-05-13,94
2025-05-14,84
