Time,ian
2024-08-18,50
2024-08-19,47
2024-08-20,54
2024-08-21,55
2024-08-22,46
2024-08-23,52
2024-08-24,47
2024-08-25,48
2024-08-26,44
2024-08-27,45
2024-08-28,58
2024-08-29,46
2024-08-30,39
2024-08-31,42
2024-09-01,46
2024-09-02,49
2024-09-03,46
2024-09-04,44
2024-09-05,40
2024-09-06,40
2024-09-07,44
2024-09-08,41
2024-09-09,38
2024-09-10,38
2024-09-11,37
2024-09-12,37
2024-09-13,40
2024-09-14,40
2024-09-15,39
2024-09-16,38
2024-09-17,35
2024-09-18,38
2024-09-19,39
2024-09-20,39
2024-09-21,37
2024-09-22,37
2024-09-23,44
2024-09-24,50
2024-09-25,53
2024-09-26,57
2024-09-27,56
2024-09-28,51
2024-09-29,49
2024-09-30,44
2024-10-01,43
2024-10-02,38
2024-10-03,39
2024-10-04,39
2024-10-05,44
2024-10-06,70
2024-10-07,90
2024-10-08,100
2024-10-09,100
2024-10-10,61
2024-10-11,41
2024-10-12,43
2024-10-13,45
2024-10-14,38
2024-10-15,40
2024-10-16,37
2024-10-17,38
2024-10-18,40
2024-10-19,37
2024-10-20,40
2024-10-21,37
2024-10-22,38
2024-10-23,40
2024-10-24,37
2024-10-25,38
2024-10-26,40
2024-10-27,37
2024-10-28,38
2024-10-29,39
2024-10-30,35
2024-10-31,38
2024-11-01,36
2024-11-02,36
2024-11-03,36
2024-11-04,34
2024-11-05,36
2024-11-06,24
2024-11-07,32
2024-11-08,34
2024-11-09,34
2024-11-10,34
2024-11-11,36
2024-11-12,36
2024-11-13,37
2024-11-14,38
2024-11-15,38
2024-11-16,38
2024-11-17,42
2024-11-18,38
2024-11-19,41
2024-11-20,43
2024-11-21,37
2024-11-22,36
2024-11-23,38
2024-11-24,37
2024-11-25,37
2024-11-26,36
2024-11-27,35
2024-11-28,36
2024-11-29,36
2024-11-30,39
2024-12-01,41
2024-12-02,37
2024-12-03,41
2024-12-04,45
2024-12-05,42
2024-12-06,42
2024-12-07,49
2024-12-08,90
2024-12-09,44
2024-12-10,42
2024-12-11,39
2024-12-12,37
2024-12-13,36
2024-12-14,38
2024-12-15,39
2024-12-16,42
2024-12-17,40
2024-12-18,38
2024-12-19,33
2024-12-20,37
2024-12-21,37
2024-12-22,37
2024-12-23,34
2024-12-24,33
2024-12-25,41
2024-12-26,39
2024-12-27,39
2024-12-28,37
2024-12-29,38
2024-12-30,39
2024-12-31,41
2025-01-01,39
2025-01-02,40
2025-01-03,37
2025-01-04,39
2025-01-05,50
2025-01-06,41
2025-01-07,42
2025-01-08,36
2025-01-09,35
2025-01-10,37
2025-01-11,41
2025-01-12,40
2025-01-13,37
2025-01-14,36
2025-01-15,37
2025-01-16,39
2025-01-17,36
2025-01-18,34
2025-01-19,35
2025-01-20,33
2025-01-21,35
2025-01-22,37
2025-01-23,35
2025-01-24,36
2025-01-25,39
2025-01-26,38
2025-01-27,34
2025-01-28,38
2025-01-29,39
2025-01-30,41
2025-01-31,51
2025-02-01,46
2025-02-02,42
2025-02-03,37
2025-02-04,42
2025-02-05,44
2025-02-06,40
2025-02-07,37
2025-02-08,36
2025-02-09,38
2025-02-10,34
2025-02-11,35
2025-02-12,37
2025-02-13,36
2025-02-14,37
2025-02-15,41
2025-02-16,81
2025-02-17,45
2025-02-18,41
2025-02-19,37
2025-02-20,38
2025-02-21,41
2025-02-22,41
2025-02-23,43
2025-02-24,38
2025-02-25,40
2025-02-26,37
2025-02-27,46
2025-02-28,46
2025-03-01,36
2025-03-02,40
2025-03-03,37
2025-03-04,38
2025-03-05,54
2025-03-06,59
2025-03-07,45
2025-03-08,43
2025-03-09,42
2025-03-10,51
2025-03-11,44
2025-03-12,42
2025-03-13,39
2025-03-14,38
2025-03-15,39
2025-03-16,39
2025-03-17,37
2025-03-18,36
2025-03-19,40
2025-03-20,40
2025-03-21,36
2025-03-22,36
2025-03-23,43
2025-03-24,39
2025-03-25,38
2025-03-26,62
2025-03-27,56
2025-03-28,43
2025-03-29,42
2025-03-30,43
2025-03-31,40
2025-04-01,38
2025-04-02,36
2025-04-03,36
2025-04-04,37
2025-04-05,40
2025-04-06,41
2025-04-07,42
2025-04-08,42
2025-04-09,37
2025-04-10,38
2025-04-11,37
2025-04-12,38
2025-04-13,39
2025-04-14,36
2025-04-15,38
2025-04-16,40
2025-04-17,40
2025-04-18,39
2025-04-19,38
2025-04-20,40
2025-04-21,39
2025-04-22,45
2025-04-23,42
2025-04-24,42
2025-04-25,41
2025-04-26,49
2025-04-27,86
2025-04-28,46
2025-04-29,44
2025-04-30,39
2025-05-01,40
2025-05-02,39
2025-05-03,39
2025-05-04,38
2025-05-05,36
2025-05-06,37
2025-05-07,35
2025-05-08,34
2025-05-09,34
2025-05-10,34
2025-05-11,38
2025-05-12,38
2025-05-13,39
2025-05-14,37
