Time,stock market
2022-01-01,11
2022-01-02,10
2022-01-03,21
2022-01-04,25
2022-01-05,27
2022-01-06,24
2022-01-07,21
2022-01-08,10
2022-01-09,8
2022-01-10,23
2022-01-11,22
2022-01-12,20
2022-01-13,25
2022-01-14,20
2022-01-15,10
2022-01-16,11
2022-01-17,32
2022-01-18,22
2022-01-19,26
2022-01-20,29
2022-01-21,45
2022-01-22,24
2022-01-23,15
2022-01-24,85
2022-01-25,44
2022-01-26,36
2022-01-27,36
2022-01-28,32
2022-01-29,13
2022-01-30,10
2022-01-31,24
2022-02-01,24
2022-02-02,23
2022-02-03,26
2022-02-04,26
2022-02-05,11
2022-02-06,9
2022-02-07,22
2022-02-08,21
2022-02-09,20
2022-02-10,22
2022-02-11,27
2022-02-12,13
2022-02-13,10
2022-02-14,25
2022-02-15,24
2022-02-16,22
2022-02-17,27
2022-02-18,32
2022-02-19,13
2022-02-20,14
2022-02-21,41
2022-02-22,43
2022-02-23,35
2022-02-24,100
2022-02-25,53
2022-02-26,19
2022-02-27,16
2022-02-28,51
2022-03-01,37
2022-03-02,35
2022-03-03,31
2022-03-04,34
2022-03-05,14
2022-03-06,12
2022-03-07,42
2022-03-08,44
2022-03-09,37
2022-03-10,34
2022-03-11,30
2022-03-12,13
2022-03-13,12
2022-03-14,31
2022-03-15,29
2022-03-16,30
2022-03-17,28
2022-03-18,25
2022-03-19,10
2022-03-20,10
2022-03-21,27
2022-03-22,22
2022-03-23,22
2022-03-24,24
2022-03-25,21
2022-03-26,9
2022-03-27,9
2022-03-28,22
2022-03-29,24
2022-03-30,23
2022-03-31,24
2022-04-01,23
2022-04-02,9
2022-04-03,8
2022-04-04,23
2022-04-05,24
2022-04-06,26
2022-04-07,22
2022-04-08,19
2022-04-09,9
2022-04-10,9
2022-04-11,25
2022-04-12,23
2022-04-13,22
2022-04-14,29
2022-04-15,42
2022-04-16,10
2022-04-17,9
2022-04-18,23
2022-04-19,22
2022-04-20,22
2022-04-21,26
2022-04-22,29
2022-04-23,15
2022-04-24,11
2022-04-25,30
2022-04-26,37
2022-04-27,32
2022-04-28,27
2022-04-29,33
2022-04-30,17
2022-05-01,12
2022-05-02,31
2022-05-03,27
2022-05-04,29
2022-05-05,47
2022-05-06,48
2022-05-07,15
2022-05-08,11
2022-05-09,52
2022-05-10,49
2022-05-11,46
2022-05-12,48
2022-05-13,36
2022-05-14,13
2022-05-15,10
2022-05-16,28
2022-05-17,28
2022-05-18,45
2022-05-19,45
2022-05-20,41
2022-05-21,14
2022-05-22,12
2022-05-23,33
2022-05-24,33
2022-05-25,29
2022-05-26,25
2022-05-27,26
2022-05-28,10
2022-05-29,9
2022-05-30,15
2022-05-31,24
2022-06-01,24
2022-06-02,21
2022-06-03,23
2022-06-04,9
2022-06-05,8
2022-06-06,22
2022-06-07,22
2022-06-08,20
2022-06-09,21
2022-06-10,33
2022-06-11,13
2022-06-12,10
2022-06-13,61
2022-06-14,56
2022-06-15,48
2022-06-16,53
2022-06-17,43
2022-06-18,18
2022-06-19,16
2022-06-20,55
2022-06-21,31
2022-06-22,30
2022-06-23,25
2022-06-24,25
2022-06-25,11
2022-06-26,12
2022-06-27,23
2022-06-28,22
2022-06-29,21
2022-06-30,24
2022-07-01,22
2022-07-02,9
2022-07-03,7
2022-07-04,11
2022-07-05,22
2022-07-06,20
2022-07-07,18
2022-07-08,19
2022-07-09,8
2022-07-10,7
2022-07-11,20
2022-07-12,18
2022-07-13,21
2022-07-14,19
2022-07-15,20
2022-07-16,9
2022-07-17,7
2022-07-18,20
2022-07-19,22
2022-07-20,20
2022-07-21,18
2022-07-22,18
2022-07-23,8
2022-07-24,7
2022-07-25,20
2022-07-26,20
2022-07-27,22
2022-07-28,24
2022-07-29,20
2022-07-30,9
2022-07-31,7
2022-08-01,18
2022-08-02,19
2022-08-03,19
2022-08-04,21
2022-08-05,19
2022-08-06,8
2022-08-07,7
2022-08-08,19
2022-08-09,18
2022-08-10,20
2022-08-11,19
2022-08-12,17
2022-08-13,8
2022-08-14,7
2022-08-15,19
2022-08-16,18
2022-08-17,19
2022-08-18,17
2022-08-19,19
2022-08-20,7
2022-08-21,7
2022-08-22,20
2022-08-23,20
2022-08-24,17
2022-08-25,17
2022-08-26,23
2022-08-27,12
2022-08-28,8
2022-08-29,22
2022-08-30,24
2022-08-31,19
2022-09-01,21
2022-09-02,19
2022-09-03,8
2022-09-04,7
2022-09-05,13
2022-09-06,19
2022-09-07,18
2022-09-08,18
2022-09-09,17
2022-09-10,7
2022-09-11,6
2022-09-12,17
2022-09-13,39
2022-09-14,38
2022-09-15,26
2022-09-16,24
2022-09-17,10
2022-09-18,8
2022-09-19,21
2022-09-20,24
2022-09-21,31
2022-09-22,28
2022-09-23,37
2022-09-24,14
2022-09-25,10
2022-09-26,32
2022-09-27,30
