Time,stock market
2025-12-11,49
2025-12-12,50
2025-12-13,25
2025-12-14,19
2025-12-15,40
2025-12-16,38
2025-12-17,50
2025-12-18,47
2025-12-19,40
2025-12-20,23
2025-12-21,21
2025-12-22,43
2025-12-23,51
2025-12-24,84
2025-12-25,31
2025-12-26,60
2025-12-27,25
2025-12-28,23
2025-12-29,44
2025-12-30,50
2025-12-31,80
2026-01-01,34
2026-01-02,47
2026-01-03,31
2026-01-04,27
2026-01-05,46
2026-01-06,45
2026-01-07,48
2026-01-08,42
2026-01-09,40
2026-01-10,24
2026-01-11,22
2026-01-12,48
2026-01-13,45
2026-01-14,47
2026-01-15,45
2026-01-16,39
2026-01-17,26
2026-01-18,30
2026-01-19,76
2026-01-20,78
2026-01-21,81
2026-01-22,54
2026-01-23,42
2026-01-24,23
2026-01-25,24
2026-01-26,45
2026-01-27,40
2026-01-28,47
2026-01-29,65
2026-01-30,68
2026-01-31,34
2026-02-01,34
2026-02-02,61
2026-02-03,64
2026-02-04,67
2026-02-05,83
2026-02-06,74
2026-02-07,32
2026-02-08,28
2026-02-09,48
2026-02-10,49
2026-02-11,53
2026-02-12,65
2026-02-13,62
2026-02-14,33
2026-02-15,34
2026-02-16,81
2026-02-17,56
2026-02-18,42
2026-02-19,44
2026-02-20,56
2026-02-21,32
2026-02-22,27
2026-02-23,70
2026-02-24,60
2026-02-25,53
2026-02-26,54
2026-02-27,57
2026-02-28,33
2026-03-01,40
2026-03-02,99
2026-03-03,96
2026-03-04,74
2026-03-05,86
2026-03-06,79
2026-03-07,37
2026-03-08,37
2026-03-09,99
2026-03-10,70
2026-03-11,62
2026-03-12,67
2026-03-13,68
2026-03-14,36
2026-03-15,34
2026-03-16,66
2026-03-17,62
2026-03-18,68
2026-03-19,81
2026-03-20,80
2026-03-21,37
2026-03-22,33
2026-03-23,74
2026-03-24,59
2026-03-25,58
2026-03-26,65
2026-03-27,79
2026-03-28,37
2026-03-29,37
2026-03-30,99
2026-03-31,96
2026-04-01,70
2026-04-02,83
2026-04-03,100
2026-04-04,27
2026-04-05,54
2026-04-06,85
2026-04-07,75
2026-04-08,78
2026-04-09,60
2026-04-10,48
2026-04-11,24
2026-04-12,29
2026-04-13,60
2026-04-14,64
2026-04-15,62
2026-04-16,59
2026-04-17,90
2026-04-18,33
2026-04-19,34
2026-04-20,62
2026-04-21,58
2026-04-22,58
2026-04-23,60
2026-04-24,69
2026-04-25,33
2026-04-26,29
2026-04-27,61
2026-04-28,54
2026-04-29,59
2026-04-30,66
2026-05-01,53
2026-05-02,25
2026-05-03,30
2026-05-04,48
2026-05-05,52
2026-05-06,61
2026-05-07,60
2026-05-08,56
2026-05-09,31
2026-05-10,27
2026-05-11,58
2026-05-12,65
2026-05-13,53
2026-05-14,64
2026-05-15,63
2026-05-16,30
2026-05-17,29
2026-05-18,53
2026-05-19,51
2026-05-20,52
2026-05-21,53
2026-05-22,63
2026-05-23,36
2026-05-24,30
2026-05-25,42
2026-05-26,55
2026-05-27,59
2026-05-28,59
2026-05-29,61
2026-05-30,31
2026-05-31,34
