Time,suns
2022-01-01,4.0
2022-01-02,4.0
2022-01-03,6.0
2022-01-04,5.0
2022-01-05,8.0
2022-01-06,4.0
2022-01-07,10.0
2022-01-08,5.0
2022-01-09,9.0
2022-01-10,3.0
2022-01-11,4.0
2022-01-12,7.0
2022-01-13,4.0
2022-01-14,4.0
2022-01-15,7.0
2022-01-16,6.0
2022-01-17,4.0
2022-01-18,6.0
2022-01-19,3.0
2022-01-20,5.0
2022-01-21,9.0
2022-01-22,5.0
2022-01-23,7.0
2022-01-24,6.0
2022-01-25,8.0
2022-01-26,4.0
2022-01-27,9.0
2022-01-28,5.0
2022-01-29,10.0
2022-01-30,5.0
2022-01-31,8.0
2022-02-01,6.0
2022-02-02,12.0
2022-02-03,6.0
2022-02-04,10.0
2022-02-05,6.0
2022-02-06,9.0
2022-02-07,5.0
2022-02-08,12.0
2022-02-09,11.0
2022-02-10,6.0
2022-02-11,14.0
2022-02-12,6.0
2022-02-13,8.0
2022-02-14,3.0
2022-02-15,5.0
2022-02-16,11.0
2022-02-17,10.0
2022-02-18,4.0
2022-02-19,3.0
2022-02-20,3.0
2022-02-21,3.0
2022-02-22,3.0
2022-02-23,3.0
2022-02-24,4.0
2022-02-25,8.0
2022-02-26,9.0
2022-02-27,10.0
2022-02-28,6.0
2022-03-01,4.0
2022-03-02,5.0
2022-03-03,9.0
2022-03-04,6.0
2022-03-05,14.0
2022-03-06,12.0
2022-03-07,5.0
2022-03-08,5.0
2022-03-09,8.0
2022-03-10,9.0
2022-03-11,5.0
2022-03-12,8.0
2022-03-13,7.0
2022-03-14,16.0
2022-03-15,6.0
2022-03-16,9.0
2022-03-17,7.0
2022-03-18,4.0
2022-03-19,9.0
2022-03-20,7.0
2022-03-21,7.0
2022-03-22,4.0
2022-03-23,5.0
2022-03-24,11.0
2022-03-25,11.0
2022-03-26,6.0
2022-03-27,10.0
2022-03-28,8.0
2022-03-29,4.0
2022-03-30,6.0
2022-03-31,15.0
2022-04-01,10.0
2022-04-02,12.0
2022-04-03,7.0
2022-04-04,7.0
