Time,where's my refund
2023-12-22,1
2023-12-23,1
2023-12-24,1
2023-12-25,0
2023-12-26,1
2023-12-27,1
2023-12-28,1
2023-12-29,1
2023-12-30,1
2023-12-31,1
2024-01-01,1
2024-01-02,1
2024-01-03,2
2024-01-04,1
2024-01-05,1
2024-01-06,1
2024-01-07,1
2024-01-08,1
2024-01-09,1
2024-01-10,1
2024-01-11,1
2024-01-12,1
2024-01-13,1
2024-01-14,1
2024-01-15,1
2024-01-16,2
2024-01-17,2
2024-01-18,2
2024-01-19,3
2024-01-20,3
2024-01-21,3
2024-01-22,5
2024-01-23,8
2024-01-24,9
2024-01-25,10
2024-01-26,9
2024-01-27,9
2024-01-28,8
2024-01-29,17
2024-01-30,21
2024-01-31,25
2024-02-01,28
2024-02-02,34
2024-02-03,34
2024-02-04,29
2024-02-05,42
2024-02-06,49
2024-02-07,52
2024-02-08,55
2024-02-09,60
2024-02-10,53
2024-02-11,39
2024-02-12,59
2024-02-13,68
2024-02-14,70
2024-02-15,100
2024-02-16,98
2024-02-17,87
2024-02-18,49
2024-02-19,63
2024-02-20,73
2024-02-21,78
2024-02-22,65
2024-02-23,54
2024-02-24,43
2024-02-25,29
2024-02-26,45
2024-02-27,45
2024-02-28,44
2024-02-29,40
2024-03-01,37
2024-03-02,34
2024-03-03,23
2024-03-04,36
2024-03-05,35
2024-03-06,33
2024-03-07,32
2024-03-08,30
2024-03-09,24
2024-03-10,17
2024-03-11,28
2024-03-12,30
2024-03-13,27
2024-03-14,26
2024-03-15,23
2024-03-16,20
2024-03-17,17
2024-03-18,24
2024-03-19,25
2024-03-20,22
2024-03-21,20
2024-03-22,19
2024-03-23,17
2024-03-24,13
2024-03-25,19
2024-03-26,18
2024-03-27,18
2024-03-28,18
2024-03-29,16
2024-03-30,14
2024-03-31,10
2024-04-01,17
2024-04-02,16
2024-04-03,15
2024-04-04,14
2024-04-05,16
2024-04-06,12
2024-04-07,10
2024-04-08,16
2024-04-09,17
2024-04-10,15
2024-04-11,15
2024-04-12,15
2024-04-13,13
2024-04-14,10
2024-04-15,18
2024-04-16,18
2024-04-17,17
2024-04-18,16
2024-04-19,16
2024-04-20,13
2024-04-21,10
2024-04-22,16
2024-04-23,15
2024-04-24,14
2024-04-25,13
2024-04-26,12
2024-04-27,10
2024-04-28,8
2024-04-29,13
2024-04-30,12
2024-05-01,11
2024-05-02,10
2024-05-03,9
2024-05-04,7
2024-05-05,5
2024-05-06,9
2024-05-07,9
2024-05-08,8
2024-05-09,8
2024-05-10,8
2024-05-11,5
2024-05-12,4
2024-05-13,8
2024-05-14,8
2024-05-15,7
2024-05-16,6
2024-05-17,6
2024-05-18,5
2024-05-19,4
2024-05-20,7
2024-05-21,7
2024-05-22,7
2024-05-23,6
2024-05-24,6
2024-05-25,4
2024-05-26,3
2024-05-27,4
2024-05-28,6
2024-05-29,6
2024-05-30,5
2024-05-31,5
2024-06-01,4
2024-06-02,3
2024-06-03,5
2024-06-04,5
2024-06-05,5
2024-06-06,5
2024-06-07,4
2024-06-08,4
2024-06-09,3
2024-06-10,5
2024-06-11,5
2024-06-12,5
2024-06-13,4
2024-06-14,4
2024-06-15,3
2024-06-16,2
2024-06-17,5
2024-06-18,5
2024-06-19,4
2024-06-20,4
2024-06-21,4
2024-06-22,3
2024-06-23,3
2024-06-24,4
2024-06-25,4
2024-06-26,3
2024-06-27,3
2024-06-28,3
2024-06-29,3
2024-06-30,2
2024-07-01,4
2024-07-02,3
2024-07-03,3
2024-07-04,2
2024-07-05,3
2024-07-06,2
2024-07-07,2
2024-07-08,3
2024-07-09,3
2024-07-10,3
2024-07-11,5
2024-07-12,3
2024-07-13,2
2024-07-14,2
2024-07-15,4
2024-07-16,3
2024-07-17,3
2024-07-18,3
2024-07-19,3
2024-07-20,2
2024-07-21,2
2024-07-22,3
2024-07-23,3
2024-07-24,3
2024-07-25,3
2024-07-26,2
2024-07-27,2
2024-07-28,1
2024-07-29,3
2024-07-30,3
2024-07-31,3
2024-08-01,3
2024-08-02,3
2024-08-03,2
2024-08-04,1
2024-08-05,3
2024-08-06,2
2024-08-07,2
2024-08-08,2
2024-08-09,2
2024-08-10,2
2024-08-11,1
2024-08-12,2
2024-08-13,2
2024-08-14,2
2024-08-15,2
2024-08-16,2
2024-08-17,2
2024-08-18,1
2024-08-19,2
2024-08-20,2
2024-08-21,2
2024-08-22,2
2024-08-23,2
2024-08-24,1
2024-08-25,1
2024-08-26,2
2024-08-27,2
2024-08-28,2
2024-08-29,2
2024-08-30,2
2024-08-31,1
2024-09-01,1
2024-09-02,1
2024-09-03,2
2024-09-04,2
2024-09-05,2
2024-09-06,2
2024-09-07,1
2024-09-08,1
2024-09-09,2
2024-09-10,2
2024-09-11,2
2024-09-12,2
2024-09-13,2
2024-09-14,1
2024-09-15,1
2024-09-16,2
