Time,bank of america
2022-01-01,42.0
2022-01-02,40.0
2022-01-03,80.0
2022-01-04,87.0
2022-01-05,79.0
2022-01-06,61.0
2022-01-07,70.0
2022-01-08,60.0
2022-01-09,39.0
2022-01-10,66.0
2022-01-11,70.0
2022-01-12,70.0
2022-01-13,72.0
2022-01-14,62.0
2022-01-15,58.0
2022-01-16,32.0
2022-01-17,48.0
2022-01-18,62.0
2022-01-19,64.0
2022-01-20,61.0
2022-01-21,69.0
2022-01-22,58.0
2022-01-23,37.0
2022-01-24,79.0
2022-01-25,58.0
2022-01-26,57.0
2022-01-27,61.0
2022-01-28,71.0
2022-01-29,59.0
2022-01-30,37.0
2022-01-31,68.0
2022-02-01,79.0
2022-02-02,70.0
2022-02-03,69.0
2022-02-04,76.0
2022-02-05,61.0
2022-02-06,41.0
2022-02-07,71.0
2022-02-08,68.0
2022-02-09,62.0
2022-02-10,58.0
2022-02-11,72.0
2022-02-12,59.0
2022-02-13,37.0
2022-02-14,60.0
2022-02-15,72.0
2022-02-16,68.0
2022-02-17,62.0
2022-02-18,67.0
2022-02-19,60.0
2022-02-20,40.0
2022-02-21,56.0
2022-02-22,71.0
2022-02-23,68.0
2022-02-24,68.0
2022-02-25,71.0
2022-02-26,60.0
2022-02-27,42.0
2022-02-28,75.0
2022-03-01,80.0
2022-03-02,74.0
2022-03-03,72.0
2022-03-04,76.0
2022-03-05,63.0
2022-03-06,43.0
2022-03-07,68.0
2022-03-08,66.0
2022-03-09,64.0
2022-03-10,69.0
2022-03-11,71.0
2022-03-12,56.0
2022-03-13,38.0
2022-03-14,66.0
2022-03-15,66.0
2022-03-16,66.0
2022-03-17,62.0
2022-03-18,70.0
2022-03-19,58.0
2022-03-20,39.0
2022-03-21,64.0
2022-03-22,66.0
2022-03-23,60.0
2022-03-24,62.0
2022-03-25,65.0
2022-03-26,59.0
2022-03-27,38.0
2022-03-28,59.0
2022-03-29,60.0
2022-03-30,60.0
2022-03-31,64.0
2022-04-01,77.0
2022-04-02,67.0
2022-04-03,48.0
2022-04-04,68.0
2022-04-05,65.0
2022-04-06,64.0
2022-04-07,64.0
2022-04-08,70.0
2022-04-09,58.0
2022-04-10,40.0
2022-04-11,70.0
2022-04-12,64.0
2022-04-13,62.0
2022-04-14,66.0
2022-04-15,80.0
