Time,world_cup_2022
2022-01-01,2.0
2022-01-02,2.0
2022-01-03,2.0
2022-01-04,2.0
2022-01-05,2.0
2022-01-06,1.0
2022-01-07,1.0
2022-01-08,2.0
2022-01-09,2.0
2022-01-10,2.0
2022-01-11,2.0
2022-01-12,2.0
2022-01-13,2.0
2022-01-14,1.0
2022-01-15,2.0
2022-01-16,2.0
2022-01-17,2.0
2022-01-18,2.0
2022-01-19,3.0
2022-01-20,2.0
2022-01-21,3.0
2022-01-22,3.0
2022-01-23,4.0
2022-01-24,3.0
2022-01-25,2.0
2022-01-26,3.0
2022-01-27,6.0
2022-01-28,12.0
2022-01-29,8.0
2022-01-30,8.0
2022-01-31,6.0
2022-02-01,6.0
2022-02-02,8.0
2022-02-03,11.0
2022-02-04,4.0
2022-02-05,7.0
2022-02-06,6.0
2022-02-07,4.0
2022-02-08,4.0
2022-02-09,4.0
2022-02-10,2.0
2022-02-11,3.0
2022-02-12,5.0
2022-02-13,3.0
2022-02-14,7.0
2022-02-15,3.0
2022-02-16,3.0
2022-02-17,2.0
2022-02-18,2.0
2022-02-19,3.0
2022-02-20,3.0
2022-02-21,3.0
2022-02-22,2.0
2022-02-23,2.0
2022-02-24,2.0
2022-02-25,2.0
2022-02-26,3.0
2022-02-27,3.0
2022-02-28,4.0
2022-03-01,2.0
2022-03-02,2.0
2022-03-03,2.0
2022-03-04,2.0
2022-03-05,2.0
2022-03-06,3.0
2022-03-07,2.0
2022-03-08,2.0
2022-03-09,2.0
2022-03-10,2.0
2022-03-11,2.0
2022-03-12,3.0
2022-03-13,3.0
2022-03-14,2.0
2022-03-15,2.0
2022-03-16,3.0
2022-03-17,3.0
2022-03-18,3.0
2022-03-19,3.0
2022-03-20,4.0
2022-03-21,4.0
2022-03-22,5.0
2022-03-23,5.0
2022-03-24,13.0
2022-03-25,18.0
2022-03-26,11.0
2022-03-27,14.0
2022-03-28,14.0
2022-03-29,17.0
2022-03-30,20.0
2022-03-31,35.0
2022-04-01,100.0
2022-04-02,46.0
2022-04-03,18.0
2022-04-04,12.0
2022-04-05,9.0
2022-04-06,7.0
2022-04-07,6.0
2022-04-08,5.0
2022-04-09,6.0
2022-04-10,6.0
2022-04-11,4.0
2022-04-12,4.0
2022-04-13,3.0
2022-04-14,3.0
2022-04-15,3.0
2022-04-16,4.0
2022-04-17,4.0
2022-04-18,3.0
2022-04-19,3.0
2022-04-20,2.0
2022-04-21,3.0
2022-04-22,2.0
2022-04-23,3.0
2022-04-24,4.0
2022-04-25,3.0
2022-04-26,3.0
