Time,severe thunderstorm warning
2024-08-18,25
2024-08-19,14
2024-08-20,3
2024-08-21,2
2024-08-22,5
2024-08-23,4
2024-08-24,2
2024-08-25,1
2024-08-26,10
2024-08-27,58
2024-08-28,13
2024-08-29,15
2024-08-30,14
2024-08-31,8
2024-09-01,4
2024-09-02,1
2024-09-03,1
2024-09-04,1
2024-09-05,1
2024-09-06,4
2024-09-07,1
2024-09-08,5
2024-09-09,2
2024-09-10,1
2024-09-11,0
2024-09-12,0
2024-09-13,1
2024-09-14,0
2024-09-15,3
2024-09-16,2
2024-09-17,8
2024-09-18,3
2024-09-19,2
2024-09-20,2
2024-09-21,6
2024-09-22,4
2024-09-23,0
2024-09-24,13
2024-09-25,11
2024-09-26,2
2024-09-27,3
2024-09-28,0
2024-09-29,0
2024-09-30,0
2024-10-01,0
2024-10-02,0
2024-10-03,0
2024-10-04,0
2024-10-05,0
2024-10-06,7
2024-10-07,2
2024-10-08,0
2024-10-09,0
2024-10-10,0
2024-10-11,0
2024-10-12,0
2024-10-13,0
2024-10-14,0
2024-10-15,0
2024-10-16,0
2024-10-17,0
2024-10-18,0
2024-10-19,0
2024-10-20,0
2024-10-21,0
2024-10-22,0
2024-10-23,0
2024-10-24,0
2024-10-25,6
2024-10-26,0
2024-10-27,0
2024-10-28,0
2024-10-29,0
2024-10-30,4
2024-10-31,12
2024-11-01,0
2024-11-02,1
2024-11-03,12
2024-11-04,6
2024-11-05,4
2024-11-06,0
2024-11-07,1
2024-11-08,1
2024-11-09,0
2024-11-10,1
2024-11-11,4
2024-11-12,0
2024-11-13,0
2024-11-14,0
2024-11-15,0
2024-11-16,0
2024-11-17,0
2024-11-18,8
2024-11-19,1
2024-11-20,7
2024-11-21,0
2024-11-22,0
2024-11-23,0
2024-11-24,0
2024-11-25,0
2024-11-26,0
2024-11-27,0
2024-11-28,0
2024-11-29,0
2024-11-30,0
2024-12-01,0
2024-12-02,0
2024-12-03,0
2024-12-04,0
2024-12-05,0
2024-12-06,0
2024-12-07,0
2024-12-08,0
2024-12-09,0
2024-12-10,0
2024-12-11,2
2024-12-12,0
2024-12-13,0
2024-12-14,1
2024-12-15,0
2024-12-16,1
2024-12-17,0
2024-12-18,0
2024-12-19,1
2024-12-20,0
2024-12-21,0
2024-12-22,0
2024-12-23,0
2024-12-24,2
2024-12-25,3
2024-12-26,2
2024-12-27,1
2024-12-28,9
2024-12-29,40
2024-12-30,2
2024-12-31,10
2025-01-01,3
2025-01-02,1
2025-01-03,1
2025-01-04,1
2025-01-05,4
2025-01-06,1
2025-01-07,0
2025-01-08,0
2025-01-09,0
2025-01-10,1
2025-01-11,0
2025-01-12,0
2025-01-13,0
2025-01-14,0
2025-01-15,0
2025-01-16,0
2025-01-17,0
2025-01-18,0
2025-01-19,6
2025-01-20,0
2025-01-21,0
2025-01-22,0
2025-01-23,0
2025-01-24,0
2025-01-25,0
2025-01-26,0
2025-01-27,0
2025-01-28,0
2025-01-29,0
2025-01-30,0
2025-01-31,0
2025-02-01,0
2025-02-02,0
2025-02-03,0
2025-02-04,2
2025-02-05,2
2025-02-06,1
2025-02-07,3
2025-02-08,0
2025-02-09,0
2025-02-10,0
2025-02-11,0
2025-02-12,0
2025-02-13,1
2025-02-14,12
2025-02-15,1
2025-02-16,57
2025-02-17,2
2025-02-18,1
2025-02-19,1
2025-02-20,1
2025-02-21,1
2025-02-22,1
2025-02-23,0
2025-02-24,0
2025-02-25,4
2025-02-26,0
2025-02-27,0
2025-02-28,1
2025-03-01,0
2025-03-02,1
2025-03-03,0
2025-03-04,32
2025-03-05,43
2025-03-06,2
2025-03-07,1
2025-03-08,7
2025-03-09,4
2025-03-10,4
2025-03-11,1
2025-03-12,3
2025-03-13,6
2025-03-14,17
2025-03-15,82
2025-03-16,73
2025-03-17,8
2025-03-18,3
2025-03-19,21
2025-03-20,15
2025-03-21,2
2025-03-22,2
2025-03-23,6
2025-03-24,16
2025-03-25,5
2025-03-26,9
2025-03-27,4
2025-03-28,2
2025-03-29,2
2025-03-30,100
2025-03-31,78
2025-04-01,13
2025-04-02,38
2025-04-03,58
2025-04-04,8
2025-04-05,8
2025-04-06,15
2025-04-07,7
2025-04-08,1
2025-04-09,1
2025-04-10,16
2025-04-11,13
2025-04-12,1
2025-04-13,1
2025-04-14,5
2025-04-15,14
2025-04-16,1
2025-04-17,2
2025-04-18,14
2025-04-19,21
2025-04-20,20
2025-04-21,11
2025-04-22,8
2025-04-23,10
2025-04-24,5
2025-04-25,5
2025-04-26,6
2025-04-27,2
2025-04-28,5
2025-04-29,50
2025-04-30,20
2025-05-01,12
2025-05-02,31
2025-05-03,43
2025-05-04,18
2025-05-05,21
2025-05-06,18
2025-05-07,3
2025-05-08,15
2025-05-09,12
2025-05-10,6
2025-05-11,9
2025-05-12,3
2025-05-13,3
2025-05-14,4
