Time,movies_near_me
2022-01-01,48.0
2022-01-02,45.0
2022-01-03,25.0
2022-01-04,24.0
2022-01-05,19.0
2022-01-06,14.0
2022-01-07,26.0
2022-01-08,46.0
2022-01-09,36.0
2022-01-10,16.0
2022-01-11,15.0
2022-01-12,16.0
2022-01-13,15.0
2022-01-14,23.0
2022-01-15,45.0
2022-01-16,31.0
2022-01-17,24.0
2022-01-18,14.0
2022-01-19,16.0
2022-01-20,21.0
2022-01-21,30.0
2022-01-22,47.0
2022-01-23,32.0
2022-01-24,18.0
2022-01-25,12.0
2022-01-26,13.0
2022-01-27,15.0
2022-01-28,22.0
2022-01-29,51.0
2022-01-30,32.0
2022-01-31,15.0
2022-02-01,14.0
2022-02-02,14.0
2022-02-03,15.0
2022-02-04,27.0
2022-02-05,52.0
2022-02-06,40.0
2022-02-07,17.0
2022-02-08,16.0
2022-02-09,15.0
2022-02-10,14.0
2022-02-11,27.0
2022-02-12,51.0
2022-02-13,34.0
2022-02-14,27.0
2022-02-15,25.0
2022-02-16,17.0
2022-02-17,19.0
2022-02-18,31.0
2022-02-19,57.0
2022-02-20,47.0
2022-02-21,31.0
2022-02-22,21.0
2022-02-23,17.0
2022-02-24,17.0
2022-02-25,28.0
2022-02-26,47.0
2022-02-27,44.0
2022-02-28,18.0
2022-03-01,17.0
2022-03-02,15.0
2022-03-03,18.0
2022-03-04,30.0
2022-03-05,47.0
2022-03-06,43.0
2022-03-07,22.0
2022-03-08,19.0
2022-03-09,17.0
2022-03-10,19.0
2022-03-11,30.0
2022-03-12,48.0
2022-03-13,40.0
2022-03-14,21.0
2022-03-15,22.0
2022-03-16,19.0
2022-03-17,20.0
2022-03-18,34.0
2022-03-19,50.0
2022-03-20,40.0
2022-03-21,20.0
2022-03-22,20.0
2022-03-23,18.0
2022-03-24,21.0
2022-03-25,32.0
2022-03-26,46.0
2022-03-27,37.0
2022-03-28,18.0
2022-03-29,16.0
2022-03-30,17.0
2022-03-31,17.0
2022-04-01,28.0
2022-04-02,53.0
2022-04-03,40.0
2022-04-04,18.0
2022-04-05,17.0
2022-04-06,18.0
2022-04-07,19.0
2022-04-08,32.0
2022-04-09,57.0
2022-04-10,42.0
2022-04-11,22.0
2022-04-12,20.0
2022-04-13,18.0
2022-04-14,23.0
2022-04-15,35.0
2022-04-16,48.0
2022-04-17,47.0
2022-04-18,23.0
2022-04-19,19.0
2022-04-20,18.0
2022-04-21,19.0
2022-04-22,29.0
2022-04-23,47.0
2022-04-24,41.0
2022-04-25,17.0
2022-04-26,16.0
2022-04-27,14.0
2022-04-28,15.0
2022-04-29,26.0
2022-04-30,48.0
2022-05-01,41.0
2022-05-02,17.0
2022-05-03,17.0
2022-05-04,15.0
2022-05-05,20.0
2022-05-06,34.0
2022-05-07,57.0
2022-05-08,52.0
2022-05-09,21.0
2022-05-10,16.0
2022-05-11,16.0
2022-05-12,18.0
2022-05-13,29.0
2022-05-14,51.0
2022-05-15,42.0
2022-05-16,18.0
2022-05-17,18.0
2022-05-18,16.0
2022-05-19,19.0
2022-05-20,30.0
2022-05-21,56.0
2022-05-22,43.0
2022-05-23,22.0
2022-05-24,22.0
2022-05-25,20.0
2022-05-26,25.0
2022-05-27,42.0
2022-05-28,60.0
2022-05-29,64.0
2022-05-30,56.0
2022-05-31,30.0
2022-06-01,25.0
2022-06-02,25.0
2022-06-03,37.0
2022-06-04,57.0
2022-06-05,52.0
2022-06-06,29.0
2022-06-07,27.0
2022-06-08,25.0
2022-06-09,27.0
2022-06-10,42.0
2022-06-11,64.0
2022-06-12,63.0
2022-06-13,31.0
2022-06-14,30.0
2022-06-15,28.0
2022-06-16,29.0
2022-06-17,40.0
2022-06-18,65.0
2022-06-19,64.0
2022-06-20,39.0
2022-06-21,30.0
2022-06-22,29.0
2022-06-23,29.0
2022-06-24,42.0
2022-06-25,64.0
2022-06-26,62.0
2022-06-27,35.0
2022-06-28,30.0
