Time,crumbl_cookies
2022-01-01,25.0
2022-01-02,25.0
2022-01-03,27.0
2022-01-04,27.0
2022-01-05,25.0
2022-01-06,21.0
2022-01-07,29.0
2022-01-08,41.0
2022-01-09,35.0
2022-01-10,28.0
2022-01-11,26.0
2022-01-12,27.0
2022-01-13,27.0
2022-01-14,24.0
2022-01-15,41.0
2022-01-16,30.0
2022-01-17,33.0
2022-01-18,26.0
2022-01-19,24.0
2022-01-20,25.0
2022-01-21,29.0
2022-01-22,45.0
2022-01-23,36.0
2022-01-24,36.0
2022-01-25,24.0
2022-01-26,24.0
2022-01-27,29.0
2022-01-28,36.0
2022-01-29,52.0
2022-01-30,41.0
2022-01-31,37.0
2022-02-01,33.0
2022-02-02,30.0
2022-02-03,30.0
2022-02-04,37.0
2022-02-05,55.0
2022-02-06,50.0
2022-02-07,42.0
2022-02-08,37.0
2022-02-09,39.0
2022-02-10,37.0
2022-02-11,47.0
2022-02-12,65.0
2022-02-13,49.0
2022-02-14,52.0
2022-02-15,35.0
2022-02-16,28.0
2022-02-17,24.0
2022-02-18,30.0
2022-02-19,45.0
2022-02-20,43.0
2022-02-21,43.0
2022-02-22,32.0
2022-02-23,31.0
2022-02-24,33.0
2022-02-25,38.0
2022-02-26,56.0
2022-02-27,53.0
2022-02-28,41.0
2022-03-01,37.0
2022-03-02,36.0
2022-03-03,43.0
2022-03-04,43.0
2022-03-05,59.0
2022-03-06,51.0
2022-03-07,46.0
2022-03-08,46.0
2022-03-09,40.0
2022-03-10,39.0
2022-03-11,44.0
2022-03-12,59.0
2022-03-13,57.0
2022-03-14,51.0
2022-03-15,43.0
2022-03-16,39.0
2022-03-17,40.0
2022-03-18,43.0
2022-03-19,61.0
2022-03-20,53.0
2022-03-21,47.0
2022-03-22,42.0
2022-03-23,40.0
2022-03-24,41.0
2022-03-25,45.0
2022-03-26,65.0
2022-03-27,53.0
2022-03-28,42.0
2022-03-29,41.0
2022-03-30,40.0
2022-03-31,39.0
2022-04-01,45.0
2022-04-02,62.0
2022-04-03,50.0
2022-04-04,47.0
2022-04-05,44.0
2022-04-06,44.0
2022-04-07,42.0
2022-04-08,48.0
2022-04-09,69.0
2022-04-10,57.0
2022-04-11,54.0
2022-04-12,49.0
2022-04-13,43.0
2022-04-14,44.0
2022-04-15,61.0
2022-04-16,59.0
2022-04-17,45.0
2022-04-18,45.0
2022-04-19,40.0
2022-04-20,39.0
2022-04-21,39.0
2022-04-22,43.0
2022-04-23,60.0
2022-04-24,55.0
2022-04-25,51.0
2022-04-26,46.0
2022-04-27,42.0
2022-04-28,41.0
2022-04-29,43.0
2022-04-30,58.0
2022-05-01,59.0
2022-05-02,52.0
2022-05-03,47.0
2022-05-04,44.0
2022-05-05,52.0
2022-05-06,58.0
2022-05-07,74.0
2022-05-08,66.0
2022-05-09,48.0
2022-05-10,44.0
2022-05-11,38.0
2022-05-12,44.0
2022-05-13,46.0
2022-05-14,61.0
2022-05-15,54.0
2022-05-16,50.0
2022-05-17,46.0
2022-05-18,43.0
2022-05-19,43.0
2022-05-20,46.0
2022-05-21,67.0
2022-05-22,59.0
2022-05-23,56.0
2022-05-24,55.0
2022-05-25,48.0
2022-05-26,50.0
2022-05-27,54.0
2022-05-28,65.0
2022-05-29,56.0
2022-05-30,80.0
2022-05-31,56.0
2022-06-01,52.0
2022-06-02,57.0
2022-06-03,61.0
2022-06-04,74.0
2022-06-05,65.0
2022-06-06,62.0
2022-06-07,55.0
2022-06-08,54.0
2022-06-09,51.0
2022-06-10,56.0
2022-06-11,66.0
2022-06-12,64.0
2022-06-13,61.0
2022-06-14,61.0
2022-06-15,55.0
2022-06-16,53.0
2022-06-17,58.0
2022-06-18,72.0
