Time,the boys
2023-12-22,33
2023-12-23,36
2023-12-24,36
2023-12-25,45
2023-12-26,52
2023-12-27,48
2023-12-28,43
2023-12-29,45
2023-12-30,46
2023-12-31,43
2024-01-01,42
2024-01-02,34
2024-01-03,33
2024-01-04,30
2024-01-05,31
2024-01-06,38
2024-01-07,36
2024-01-08,27
2024-01-09,24
2024-01-10,24
2024-01-11,23
2024-01-12,24
2024-01-13,29
2024-01-14,27
2024-01-15,26
2024-01-16,25
2024-01-17,27
2024-01-18,23
2024-01-19,26
2024-01-20,35
2024-01-21,32
2024-01-22,24
2024-01-23,20
2024-01-24,21
2024-01-25,18
2024-01-26,21
2024-01-27,29
2024-01-28,28
2024-01-29,20
2024-01-30,19
2024-01-31,18
2024-02-01,18
2024-02-02,20
2024-02-03,22
2024-02-04,24
2024-02-05,19
2024-02-06,17
2024-02-07,17
2024-02-08,15
2024-02-09,17
2024-02-10,22
2024-02-11,20
2024-02-12,15
2024-02-13,18
2024-02-14,16
2024-02-15,17
2024-02-16,17
2024-02-17,20
2024-02-18,21
2024-02-19,18
2024-02-20,17
2024-02-21,17
2024-02-22,16
2024-02-23,16
2024-02-24,19
2024-02-25,19
2024-02-26,16
2024-02-27,16
2024-02-28,17
2024-02-29,15
2024-03-01,16
2024-03-02,18
2024-03-03,21
2024-03-04,18
2024-03-05,17
2024-03-06,16
2024-03-07,15
2024-03-08,17
2024-03-09,20
2024-03-10,19
2024-03-11,16
2024-03-12,15
2024-03-13,17
2024-03-14,15
2024-03-15,15
2024-03-16,18
2024-03-17,19
2024-03-18,16
2024-03-19,15
2024-03-20,16
2024-03-21,14
2024-03-22,15
2024-03-23,16
2024-03-24,18
2024-03-25,16
2024-03-26,15
2024-03-27,14
2024-03-28,15
2024-03-29,14
2024-03-30,18
2024-03-31,19
2024-04-01,16
2024-04-02,15
2024-04-03,17
2024-04-04,15
2024-04-05,15
2024-04-06,17
2024-04-07,18
2024-04-08,15
2024-04-09,15
2024-04-10,14
2024-04-11,15
2024-04-12,15
2024-04-13,16
2024-04-14,17
2024-04-15,15
2024-04-16,14
2024-04-17,16
2024-04-18,18
2024-04-19,15
2024-04-20,17
2024-04-21,18
2024-04-22,16
2024-04-23,15
2024-04-24,15
2024-04-25,15
2024-04-26,16
2024-04-27,16
2024-04-28,18
2024-04-29,16
2024-04-30,16
2024-05-01,15
2024-05-02,16
2024-05-03,16
2024-05-04,20
2024-05-05,21
2024-05-06,19
2024-05-07,16
2024-05-08,17
2024-05-09,16
2024-05-10,17
2024-05-11,19
2024-05-12,18
2024-05-13,17
2024-05-14,18
2024-05-15,17
2024-05-16,17
2024-05-17,15
2024-05-18,17
2024-05-19,19
2024-05-20,17
2024-05-21,15
2024-05-22,16
2024-05-23,17
2024-05-24,17
2024-05-25,21
2024-05-26,21
2024-05-27,20
2024-05-28,20
2024-05-29,21
2024-05-30,20
2024-05-31,21
2024-06-01,25
2024-06-02,30
2024-06-03,22
2024-06-04,23
2024-06-05,22
2024-06-06,25
2024-06-07,28
2024-06-08,32
2024-06-09,38
2024-06-10,34
2024-06-11,37
2024-06-12,43
2024-06-13,90
2024-06-14,100
2024-06-15,89
2024-06-16,90
2024-06-17,72
2024-06-18,61
2024-06-19,67
2024-06-20,75
2024-06-21,67
2024-06-22,67
2024-06-23,67
2024-06-24,55
2024-06-25,50
2024-06-26,56
2024-06-27,69
2024-06-28,57
2024-06-29,54
2024-06-30,54
2024-07-01,44
2024-07-02,41
2024-07-03,44
2024-07-04,77
2024-07-05,63
2024-07-06,58
2024-07-07,59
2024-07-08,45
2024-07-09,43
2024-07-10,43
2024-07-11,65
2024-07-12,60
2024-07-13,53
2024-07-14,49
2024-07-15,42
2024-07-16,39
2024-07-17,43
2024-07-18,95
2024-07-19,88
2024-07-20,69
2024-07-21,63
2024-07-22,48
2024-07-23,42
2024-07-24,41
2024-07-25,39
2024-07-26,39
2024-07-27,41
2024-07-28,41
2024-07-29,33
2024-07-30,29
2024-07-31,28
2024-08-01,28
2024-08-02,25
2024-08-03,31
2024-08-04,30
2024-08-05,23
2024-08-06,21
2024-08-07,23
2024-08-08,21
2024-08-09,21
2024-08-10,23
2024-08-11,23
2024-08-12,20
2024-08-13,21
2024-08-14,19
2024-08-15,20
2024-08-16,19
2024-08-17,22
2024-08-18,23
2024-08-19,18
2024-08-20,19
2024-08-21,17
2024-08-22,16
2024-08-23,17
2024-08-24,21
2024-08-25,22
2024-08-26,16
2024-08-27,16
2024-08-28,16
2024-08-29,16
2024-08-30,17
2024-08-31,18
2024-09-01,20
2024-09-02,20
2024-09-03,15
2024-09-04,16
2024-09-05,15
2024-09-06,15
2024-09-07,18
2024-09-08,18
2024-09-09,15
2024-09-10,15
2024-09-11,15
2024-09-12,16
2024-09-13,15
2024-09-14,16
2024-09-15,16
2024-09-16,15
