Time,spectrum
2024-08-18,50
2024-08-19,59
2024-08-20,62
2024-08-21,60
2024-08-22,63
2024-08-23,60
2024-08-24,57
2024-08-25,58
2024-08-26,58
2024-08-27,62
2024-08-28,59
2024-08-29,61
2024-08-30,65
2024-08-31,63
2024-09-01,54
2024-09-02,57
2024-09-03,62
2024-09-04,61
2024-09-05,65
2024-09-06,65
2024-09-07,66
2024-09-08,68
2024-09-09,62
2024-09-10,64
2024-09-11,61
2024-09-12,64
2024-09-13,65
2024-09-14,61
2024-09-15,55
2024-09-16,62
2024-09-17,65
2024-09-18,68
2024-09-19,63
2024-09-20,62
2024-09-21,71
2024-09-22,55
2024-09-23,60
2024-09-24,61
2024-09-25,62
2024-09-26,64
2024-09-27,89
2024-09-28,100
2024-09-29,72
2024-09-30,69
2024-10-01,68
2024-10-02,71
2024-10-03,67
2024-10-04,68
2024-10-05,66
2024-10-06,65
2024-10-07,68
2024-10-08,62
2024-10-09,65
2024-10-10,78
2024-10-11,73
2024-10-12,65
2024-10-13,62
2024-10-14,68
2024-10-15,65
2024-10-16,64
2024-10-17,68
2024-10-18,64
2024-10-19,57
2024-10-20,52
2024-10-21,62
2024-10-22,66
2024-10-23,60
2024-10-24,62
2024-10-25,61
2024-10-26,58
2024-10-27,55
2024-10-28,58
2024-10-29,61
2024-10-30,59
2024-10-31,56
2024-11-01,62
2024-11-02,59
2024-11-03,51
2024-11-04,58
2024-11-05,58
2024-11-06,46
2024-11-07,58
2024-11-08,59
2024-11-09,55
2024-11-10,54
2024-11-11,57
2024-11-12,59
2024-11-13,61
2024-11-14,57
2024-11-15,58
2024-11-16,54
2024-11-17,50
2024-11-18,54
2024-11-19,56
2024-11-20,58
2024-11-21,56
2024-11-22,56
2024-11-23,55
2024-11-24,50
2024-11-25,54
2024-11-26,55
2024-11-27,56
2024-11-28,45
2024-11-29,63
2024-11-30,58
2024-12-01,56
2024-12-02,57
2024-12-03,60
2024-12-04,58
2024-12-05,55
2024-12-06,62
2024-12-07,55
2024-12-08,50
2024-12-09,52
2024-12-10,54
2024-12-11,55
2024-12-12,57
2024-12-13,54
2024-12-14,52
2024-12-15,48
2024-12-16,52
2024-12-17,52
2024-12-18,53
2024-12-19,54
2024-12-20,55
2024-12-21,53
2024-12-22,52
2024-12-23,51
2024-12-24,46
2024-12-25,37
2024-12-26,55
2024-12-27,60
2024-12-28,56
2024-12-29,49
2024-12-30,59
2024-12-31,56
2025-01-01,54
2025-01-02,58
2025-01-03,59
2025-01-04,55
2025-01-05,49
2025-01-06,54
2025-01-07,54
2025-01-08,58
2025-01-09,56
2025-01-10,58
2025-01-11,52
2025-01-12,50
2025-01-13,51
2025-01-14,56
2025-01-15,55
2025-01-16,58
2025-01-17,56
2025-01-18,55
2025-01-19,51
2025-01-20,56
2025-01-21,56
2025-01-22,58
2025-01-23,55
2025-01-24,55
2025-01-25,52
2025-01-26,49
2025-01-27,55
2025-01-28,52
2025-01-29,52
2025-01-30,55
2025-01-31,56
2025-02-01,53
2025-02-02,50
2025-02-03,55
2025-02-04,54
2025-02-05,55
2025-02-06,52
2025-02-07,56
2025-02-08,54
2025-02-09,53
2025-02-10,51
2025-02-11,57
2025-02-12,54
2025-02-13,57
2025-02-14,55
2025-02-15,54
2025-02-16,55
2025-02-17,55
2025-02-18,55
2025-02-19,56
2025-02-20,59
2025-02-21,62
2025-02-22,56
2025-02-23,55
2025-02-24,55
2025-02-25,55
2025-02-26,58
2025-02-27,56
2025-02-28,61
2025-03-01,57
2025-03-02,55
2025-03-03,59
2025-03-04,60
2025-03-05,64
2025-03-06,65
2025-03-07,55
2025-03-08,53
2025-03-09,51
2025-03-10,55
2025-03-11,56
2025-03-12,57
2025-03-13,57
2025-03-14,58
2025-03-15,54
2025-03-16,54
2025-03-17,58
2025-03-18,59
2025-03-19,56
2025-03-20,63
2025-03-21,59
2025-03-22,52
2025-03-23,53
2025-03-24,53
2025-03-25,54
2025-03-26,53
2025-03-27,59
2025-03-28,57
2025-03-29,57
2025-03-30,54
2025-03-31,58
2025-04-01,59
2025-04-02,63
2025-04-03,77
2025-04-04,86
2025-04-05,92
2025-04-06,88
2025-04-07,77
2025-04-08,78
2025-04-09,77
2025-04-10,76
2025-04-11,77
2025-04-12,79
2025-04-13,70
2025-04-14,69
2025-04-15,76
2025-04-16,72
2025-04-17,69
2025-04-18,72
2025-04-19,68
2025-04-20,63
2025-04-21,67
2025-04-22,64
2025-04-23,69
2025-04-24,69
2025-04-25,63
2025-04-26,62
2025-04-27,60
2025-04-28,63
2025-04-29,64
2025-04-30,64
2025-05-01,65
2025-05-02,66
2025-05-03,63
2025-05-04,57
2025-05-05,61
2025-05-06,62
2025-05-07,58
2025-05-08,60
2025-05-09,62
2025-05-10,58
2025-05-11,52
2025-05-12,62
2025-05-13,61
2025-05-14,60
