Time,harrison ford
2022-01-01,42
2022-01-02,39
2022-01-03,20
2022-01-04,19
2022-01-05,20
2022-01-06,16
2022-01-07,22
2022-01-08,30
2022-01-09,28
2022-01-10,28
2022-01-11,20
2022-01-12,26
2022-01-13,18
2022-01-14,17
2022-01-15,24
2022-01-16,27
2022-01-17,30
2022-01-18,25
2022-01-19,16
2022-01-20,15
2022-01-21,20
2022-01-22,31
2022-01-23,25
2022-01-24,22
2022-01-25,18
2022-01-26,17
2022-01-27,20
2022-01-28,25
2022-01-29,30
2022-01-30,33
2022-01-31,20
2022-02-01,20
2022-02-02,17
2022-02-03,19
2022-02-04,21
2022-02-05,23
2022-02-06,28
2022-02-07,22
2022-02-08,20
2022-02-09,23
2022-02-10,21
2022-02-11,20
2022-02-12,20
2022-02-13,22
2022-02-14,20
2022-02-15,15
2022-02-16,17
2022-02-17,14
2022-02-18,26
2022-02-19,24
2022-02-20,28
2022-02-21,23
2022-02-22,18
2022-02-23,19
2022-02-24,14
2022-02-25,16
2022-02-26,22
2022-02-27,35
2022-02-28,25
2022-03-01,20
2022-03-02,14
2022-03-03,14
2022-03-04,20
2022-03-05,22
2022-03-06,22
2022-03-07,17
2022-03-08,14
2022-03-09,14
2022-03-10,16
2022-03-11,18
2022-03-12,25
2022-03-13,27
2022-03-14,18
2022-03-15,17
2022-03-16,14
2022-03-17,14
2022-03-18,21
2022-03-19,26
2022-03-20,32
2022-03-21,21
2022-03-22,20
2022-03-23,18
2022-03-24,21
2022-03-25,22
2022-03-26,34
2022-03-27,37
2022-03-28,23
2022-03-29,21
2022-03-30,21
2022-03-31,21
2022-04-01,22
2022-04-02,30
2022-04-03,32
2022-04-04,24
2022-04-05,28
2022-04-06,25
2022-04-07,26
2022-04-08,30
2022-04-09,33
2022-04-10,37
2022-04-11,26
2022-04-12,21
2022-04-13,21
2022-04-14,25
2022-04-15,27
2022-04-16,41
2022-04-17,43
2022-04-18,31
2022-04-19,25
2022-04-20,21
2022-04-21,22
2022-04-22,20
2022-04-23,27
2022-04-24,30
2022-04-25,23
2022-04-26,20
2022-04-27,19
2022-04-28,18
2022-04-29,17
2022-04-30,24
2022-05-01,31
2022-05-02,24
2022-05-03,19
2022-05-04,27
2022-05-05,24
2022-05-06,22
2022-05-07,29
2022-05-08,31
2022-05-09,21
2022-05-10,25
2022-05-11,22
2022-05-12,23
2022-05-13,21
2022-05-14,33
2022-05-15,43
2022-05-16,21
2022-05-17,25
2022-05-18,48
2022-05-19,31
2022-05-20,22
2022-05-21,27
2022-05-22,44
2022-05-23,24
2022-05-24,19
2022-05-25,19
2022-05-26,30
2022-05-27,51
2022-05-28,52
2022-05-29,41
2022-05-30,42
2022-05-31,30
2022-06-01,23
2022-06-02,19
2022-06-03,19
2022-06-04,27
2022-06-05,31
2022-06-06,22
2022-06-07,20
2022-06-08,22
2022-06-09,24
2022-06-10,25
2022-06-11,38
2022-06-12,51
2022-06-13,33
2022-06-14,33
2022-06-15,29
2022-06-16,27
2022-06-17,26
2022-06-18,31
2022-06-19,35
2022-06-20,32
2022-06-21,32
2022-06-22,32
2022-06-23,41
2022-06-24,52
2022-06-25,55
2022-06-26,59
2022-06-27,39
2022-06-28,36
2022-06-29,33
2022-06-30,32
2022-07-01,36
2022-07-02,50
2022-07-03,56
2022-07-04,85
2022-07-05,43
2022-07-06,37
2022-07-07,32
2022-07-08,28
2022-07-09,35
2022-07-10,38
2022-07-11,26
2022-07-12,29
2022-07-13,85
2022-07-14,95
2022-07-15,48
2022-07-16,60
2022-07-17,50
2022-07-18,34
2022-07-19,29
2022-07-20,25
2022-07-21,29
2022-07-22,26
2022-07-23,34
2022-07-24,37
2022-07-25,31
2022-07-26,28
2022-07-27,24
2022-07-28,22
2022-07-29,23
2022-07-30,34
2022-07-31,48
2022-08-01,35
2022-08-02,27
2022-08-03,28
2022-08-04,26
2022-08-05,33
2022-08-06,47
2022-08-07,51
2022-08-08,43
2022-08-09,35
2022-08-10,29
2022-08-11,30
2022-08-12,74
2022-08-13,83
2022-08-14,64
2022-08-15,42
2022-08-16,31
2022-08-17,33
2022-08-18,26
2022-08-19,24
2022-08-20,33
2022-08-21,35
2022-08-22,24
2022-08-23,22
2022-08-24,22
2022-08-25,28
2022-08-26,23
2022-08-27,26
2022-08-28,31
2022-08-29,27
2022-08-30,26
2022-08-31,21
2022-09-01,21
2022-09-02,20
2022-09-03,26
2022-09-04,36
2022-09-05,35
2022-09-06,29
2022-09-07,21
2022-09-08,18
2022-09-09,18
2022-09-10,41
2022-09-11,100
2022-09-12,61
2022-09-13,33
2022-09-14,24
2022-09-15,22
2022-09-16,24
2022-09-17,28
2022-09-18,27
2022-09-19,18
2022-09-20,23
2022-09-21,19
2022-09-22,20
2022-09-23,18
2022-09-24,23
2022-09-25,27
2022-09-26,18
2022-09-27,15
