Time,harrison ford
2022-08-29,5
2022-08-30,5
2022-08-31,4
2022-09-01,4
2022-09-02,4
2022-09-03,5
2022-09-04,7
2022-09-05,7
2022-09-06,6
2022-09-07,4
2022-09-08,4
2022-09-09,4
2022-09-10,8
2022-09-11,20
2022-09-12,12
2022-09-13,7
2022-09-14,5
2022-09-15,4
2022-09-16,5
2022-09-17,6
2022-09-18,5
2022-09-19,4
2022-09-20,5
2022-09-21,4
2022-09-22,4
2022-09-23,4
2022-09-24,5
2022-09-25,5
2022-09-26,4
2022-09-27,3
2022-09-28,4
2022-09-29,5
2022-09-30,5
2022-10-01,6
2022-10-02,6
2022-10-03,4
2022-10-04,3
2022-10-05,3
2022-10-06,4
2022-10-07,3
2022-10-08,4
2022-10-09,4
2022-10-10,3
2022-10-11,3
2022-10-12,3
2022-10-13,4
2022-10-14,14
2022-10-15,10
2022-10-16,6
2022-10-17,9
2022-10-18,9
2022-10-19,7
2022-10-20,5
2022-10-21,5
2022-10-22,6
2022-10-23,5
2022-10-24,4
2022-10-25,3
2022-10-26,3
2022-10-27,3
2022-10-28,4
2022-10-29,5
2022-10-30,5
2022-10-31,4
2022-11-01,3
2022-11-02,4
2022-11-03,4
2022-11-04,4
2022-11-05,4
2022-11-06,4
2022-11-07,4
2022-11-08,4
2022-11-09,4
2022-11-10,3
2022-11-11,3
2022-11-12,8
2022-11-13,11
2022-11-14,9
2022-11-15,6
2022-11-16,4
2022-11-17,4
2022-11-18,6
2022-11-19,13
2022-11-20,14
2022-11-21,10
2022-11-22,10
2022-11-23,8
2022-11-24,12
2022-11-25,10
2022-11-26,7
2022-11-27,8
2022-11-28,7
2022-11-29,6
2022-11-30,5
2022-12-01,8
2022-12-02,21
2022-12-03,16
2022-12-04,14
2022-12-05,9
2022-12-06,8
2022-12-07,7
2022-12-08,8
2022-12-09,7
2022-12-10,10
2022-12-11,12
2022-12-12,10
2022-12-13,7
2022-12-14,8
2022-12-15,8
2022-12-16,10
2022-12-17,12
2022-12-18,18
2022-12-19,43
2022-12-20,23
2022-12-21,16
2022-12-22,12
2022-12-23,14
2022-12-24,18
2022-12-25,18
2022-12-26,20
2022-12-27,15
2022-12-28,12
2022-12-29,11
2022-12-30,10
2022-12-31,14
2023-01-01,18
2023-01-02,35
2023-01-03,16
2023-01-04,12
2023-01-05,10
2023-01-06,10
2023-01-07,15
2023-01-08,17
2023-01-09,11
2023-01-10,8
2023-01-11,9
2023-01-12,8
2023-01-13,8
2023-01-14,11
2023-01-15,14
2023-01-16,11
2023-01-17,7
2023-01-18,7
2023-01-19,7
2023-01-20,8
2023-01-21,11
2023-01-22,40
2023-01-23,12
2023-01-24,10
2023-01-25,9
2023-01-26,9
2023-01-27,10
2023-01-28,24
2023-01-29,20
2023-01-30,12
2023-01-31,10
2023-02-01,9
2023-02-02,19
2023-02-03,35
2023-02-04,21
2023-02-05,22
2023-02-06,14
2023-02-07,11
2023-02-08,9
2023-02-09,13
2023-02-10,14
2023-02-11,25
2023-02-12,19
2023-02-13,57
2023-02-14,14
2023-02-15,11
2023-02-16,9
2023-02-17,10
2023-02-18,15
2023-02-19,17
2023-02-20,15
2023-02-21,11
2023-02-22,10
2023-02-23,8
2023-02-24,9
2023-02-25,15
2023-02-26,17
2023-02-27,13
2023-02-28,10
2023-03-01,9
2023-03-02,8
2023-03-03,8
2023-03-04,13
2023-03-05,13
2023-03-06,8
2023-03-07,7
2023-03-08,8
2023-03-09,8
2023-03-10,9
2023-03-11,11
2023-03-12,12
2023-03-13,100
2023-03-14,32
2023-03-15,16
2023-03-16,13
2023-03-17,13
2023-03-18,14
2023-03-19,15
2023-03-20,9
2023-03-21,9
2023-03-22,8
2023-03-23,7
2023-03-24,10
2023-03-25,12
2023-03-26,15
2023-03-27,9
2023-03-28,8
2023-03-29,7
2023-03-30,9
2023-03-31,8
2023-04-01,9
2023-04-02,8
2023-04-03,7
2023-04-04,6
2023-04-05,7
2023-04-06,6
2023-04-07,17
2023-04-08,13
2023-04-09,12
2023-04-10,7
2023-04-11,7
2023-04-12,6
2023-04-13,5
2023-04-14,5
2023-04-15,8
2023-04-16,10
2023-04-17,6
2023-04-18,5
2023-04-19,6
2023-04-20,5
2023-04-21,5
2023-04-22,8
2023-04-23,10
2023-04-24,5
2023-04-25,6
2023-04-26,6
2023-04-27,5
2023-04-28,5
2023-04-29,7
2023-04-30,9
2023-05-01,5
2023-05-02,5
2023-05-03,6
2023-05-04,8
2023-05-05,9
2023-05-06,9
2023-05-07,10
2023-05-08,6
2023-05-09,5
2023-05-10,5
2023-05-11,6
2023-05-12,5
2023-05-13,7
2023-05-14,7
2023-05-15,6
2023-05-16,6
2023-05-17,6
2023-05-18,9
2023-05-19,41
2023-05-20,32
2023-05-21,38
2023-05-22,40
2023-05-23,13
2023-05-24,8
2023-05-25,9
