Time,nba
2023-12-22,19
2023-12-23,24
2023-12-24,21
2023-12-25,28
2023-12-26,22
2023-12-27,22
2023-12-28,17
2023-12-29,24
2023-12-30,21
2023-12-31,20
2024-01-01,18
2024-01-02,16
2024-01-03,18
2024-01-04,20
2024-01-05,18
2024-01-06,23
2024-01-07,17
2024-01-08,16
2024-01-09,16
2024-01-10,18
2024-01-11,19
2024-01-12,19
2024-01-13,19
2024-01-14,19
2024-01-15,17
2024-01-16,17
2024-01-17,18
2024-01-18,18
2024-01-19,17
2024-01-20,20
2024-01-21,17
2024-01-22,15
2024-01-23,20
2024-01-24,19
2024-01-25,18
2024-01-26,21
2024-01-27,23
2024-01-28,24
2024-01-29,13
2024-01-30,19
2024-01-31,18
2024-02-01,17
2024-02-02,19
2024-02-03,19
2024-02-04,23
2024-02-05,15
2024-02-06,17
2024-02-07,21
2024-02-08,25
2024-02-09,21
2024-02-10,23
2024-02-11,21
2024-02-12,11
2024-02-13,18
2024-02-14,17
2024-02-15,21
2024-02-16,21
2024-02-17,23
2024-02-18,26
2024-02-19,28
2024-02-20,9
2024-02-21,8
2024-02-22,9
2024-02-23,18
2024-02-24,22
2024-02-25,20
2024-02-26,16
2024-02-27,13
2024-02-28,17
2024-02-29,17
2024-03-01,18
2024-03-02,20
2024-03-03,26
2024-03-04,16
2024-03-05,17
2024-03-06,16
2024-03-07,18
2024-03-08,17
2024-03-09,20
2024-03-10,22
2024-03-11,15
2024-03-12,14
2024-03-13,15
2024-03-14,16
2024-03-15,15
2024-03-16,16
2024-03-17,24
2024-03-18,14
2024-03-19,16
2024-03-20,14
2024-03-21,16
2024-03-22,15
2024-03-23,19
2024-03-24,19
2024-03-25,16
2024-03-26,16
2024-03-27,18
2024-03-28,20
2024-03-29,15
2024-03-30,20
2024-03-31,20
2024-04-01,18
2024-04-02,15
2024-04-03,20
2024-04-04,18
2024-04-05,19
2024-04-06,22
2024-04-07,23
2024-04-08,18
2024-04-09,16
2024-04-10,24
2024-04-11,21
2024-04-12,21
2024-04-13,29
2024-04-14,36
2024-04-15,22
2024-04-16,21
2024-04-17,38
2024-04-18,31
2024-04-19,20
2024-04-20,100
2024-04-21,73
2024-04-22,34
2024-04-23,38
2024-04-24,37
2024-04-25,33
2024-04-26,38
2024-04-27,49
2024-04-28,60
2024-04-29,40
2024-04-30,48
2024-05-01,37
2024-05-02,36
2024-05-03,40
2024-05-04,45
2024-05-05,47
2024-05-06,24
2024-05-07,40
2024-05-08,34
2024-05-09,34
2024-05-10,37
2024-05-11,49
2024-05-12,56
2024-05-13,38
2024-05-14,36
2024-05-15,42
2024-05-16,37
2024-05-17,41
2024-05-18,45
2024-05-19,66
2024-05-20,46
2024-05-21,22
2024-05-22,34
2024-05-23,36
2024-05-24,30
2024-05-25,42
2024-05-26,42
2024-05-27,45
2024-05-28,36
2024-05-29,39
2024-05-30,19
2024-05-31,39
2024-06-01,16
2024-06-02,15
2024-06-03,13
2024-06-04,12
2024-06-05,13
2024-06-06,23
2024-06-07,44
2024-06-08,18
2024-06-09,28
2024-06-10,38
2024-06-11,16
2024-06-12,23
2024-06-13,44
2024-06-14,19
2024-06-15,46
2024-06-16,22
2024-06-17,22
2024-06-18,50
2024-06-19,10
2024-06-20,8
2024-06-21,8
2024-06-22,8
2024-06-23,8
2024-06-24,8
2024-06-25,10
2024-06-26,23
2024-06-27,60
2024-06-28,17
2024-06-29,10
2024-06-30,11
2024-07-01,14
2024-07-02,10
2024-07-03,9
2024-07-04,7
2024-07-05,6
2024-07-06,9
2024-07-07,10
2024-07-08,7
2024-07-09,7
2024-07-10,7
2024-07-11,7
2024-07-12,6
2024-07-13,7
2024-07-14,6
2024-07-15,6
2024-07-16,5
2024-07-17,6
2024-07-18,6
2024-07-19,6
2024-07-20,6
2024-07-21,6
2024-07-22,4
2024-07-23,4
2024-07-24,4
2024-07-25,4
2024-07-26,4
2024-07-27,4
2024-07-28,6
2024-07-29,4
2024-07-30,4
2024-07-31,4
2024-08-01,4
2024-08-02,3
2024-08-03,4
2024-08-04,4
2024-08-05,3
2024-08-06,4
2024-08-07,3
2024-08-08,5
2024-08-09,4
2024-08-10,8
2024-08-11,5
2024-08-12,4
2024-08-13,4
2024-08-14,4
2024-08-15,4
2024-08-16,3
2024-08-17,4
2024-08-18,4
2024-08-19,3
2024-08-20,3
2024-08-21,4
2024-08-22,3
2024-08-23,3
2024-08-24,3
2024-08-25,3
2024-08-26,3
2024-08-27,4
2024-08-28,3
2024-08-29,3
2024-08-30,3
2024-08-31,3
2024-09-01,4
2024-09-02,4
2024-09-03,4
2024-09-04,4
2024-09-05,4
2024-09-06,4
2024-09-07,4
2024-09-08,4
2024-09-09,3
2024-09-10,3
2024-09-11,3
2024-09-12,4
2024-09-13,3
2024-09-14,3
2024-09-15,3
2024-09-16,3
