Time,you people
2023-04-26,91
2023-04-27,90
2023-04-28,84
2023-04-29,65
2023-04-30,66
2023-05-01,93
2023-05-02,89
2023-05-03,89
2023-05-04,97
2023-05-05,84
2023-05-06,62
2023-05-07,61
2023-05-08,94
2023-05-09,91
2023-05-10,85
2023-05-11,86
2023-05-12,82
2023-05-13,59
2023-05-14,61
2023-05-15,80
2023-05-16,83
2023-05-17,83
2023-05-18,85
2023-05-19,76
2023-05-20,61
2023-05-21,65
2023-05-22,79
2023-05-23,77
2023-05-24,77
2023-05-25,74
2023-05-26,61
2023-05-27,57
2023-05-28,62
2023-05-29,63
2023-05-30,67
2023-05-31,71
2023-06-01,68
2023-06-02,64
2023-06-03,61
2023-06-04,60
2023-06-05,68
2023-06-06,66
2023-06-07,68
2023-06-08,67
2023-06-09,62
2023-06-10,61
2023-06-11,64
2023-06-12,67
2023-06-13,62
2023-06-14,65
2023-06-15,63
2023-06-16,60
2023-06-17,57
2023-06-18,60
2023-06-19,66
2023-06-20,64
2023-06-21,63
2023-06-22,65
2023-06-23,61
2023-06-24,59
2023-06-25,64
2023-06-26,63
2023-06-27,65
2023-06-28,62
2023-06-29,66
2023-06-30,58
2023-07-01,57
2023-07-02,67
2023-07-03,57
2023-07-04,57
2023-07-05,60
2023-07-06,62
2023-07-07,62
2023-07-08,62
2023-07-09,67
2023-07-10,63
2023-07-11,62
2023-07-12,57
2023-07-13,61
2023-07-14,61
2023-07-15,65
2023-07-16,65
2023-07-17,62
2023-07-18,64
2023-07-19,61
2023-07-20,60
2023-07-21,57
2023-07-22,58
2023-07-23,65
2023-07-24,62
2023-07-25,66
2023-07-26,61
2023-07-27,65
2023-07-28,59
2023-07-29,58
2023-07-30,60
2023-07-31,60
2023-08-01,58
2023-08-02,56
2023-08-03,62
2023-08-04,58
2023-08-05,56
2023-08-06,59
2023-08-07,60
2023-08-08,61
2023-08-09,61
2023-08-10,61
2023-08-11,61
2023-08-12,57
2023-08-13,64
2023-08-14,63
2023-08-15,61
2023-08-16,65
2023-08-17,66
2023-08-18,64
2023-08-19,57
2023-08-20,61
2023-08-21,66
2023-08-22,67
2023-08-23,72
2023-08-24,74
2023-08-25,72
2023-08-26,57
2023-08-27,67
2023-08-28,78
2023-08-29,79
2023-08-30,80
2023-08-31,75
2023-09-01,72
2023-09-02,58
2023-09-03,63
2023-09-04,68
2023-09-05,78
2023-09-06,81
2023-09-07,83
2023-09-08,75
2023-09-09,62
2023-09-10,66
2023-09-11,91
2023-09-12,83
2023-09-13,87
2023-09-14,92
2023-09-15,78
2023-09-16,63
2023-09-17,61
2023-09-18,95
2023-09-19,92
2023-09-20,94
2023-09-21,96
2023-09-22,84
2023-09-23,66
2023-09-24,69
2023-09-25,94
2023-09-26,94
2023-09-27,93
2023-09-28,96
2023-09-29,82
2023-09-30,60
2023-10-01,65
2023-10-02,90
2023-10-03,91
2023-10-04,95
2023-10-05,90
2023-10-06,80
2023-10-07,64
2023-10-08,61
2023-10-09,91
2023-10-10,86
2023-10-11,87
2023-10-12,88
2023-10-13,76
2023-10-14,61
2023-10-15,67
2023-10-16,89
2023-10-17,92
2023-10-18,90
2023-10-19,98
2023-10-20,85
2023-10-21,65
2023-10-22,62
2023-10-23,96
2023-10-24,93
2023-10-25,90
2023-10-26,92
2023-10-27,84
2023-10-28,57
2023-10-29,62
2023-10-30,96
2023-10-31,89
2023-11-01,88
2023-11-02,95
2023-11-03,86
2023-11-04,61
2023-11-05,67
2023-11-06,99
2023-11-07,96
2023-11-08,93
2023-11-09,89
2023-11-10,75
2023-11-11,64
2023-11-12,62
2023-11-13,96
2023-11-14,97
2023-11-15,99
2023-11-16,97
2023-11-17,92
2023-11-18,63
2023-11-19,61
2023-11-20,82
2023-11-21,70
2023-11-22,62
2023-11-23,57
2023-11-24,54
2023-11-25,57
2023-11-26,65
2023-11-27,86
2023-11-28,95
2023-11-29,100
2023-11-30,97
2023-12-01,84
2023-12-02,61
2023-12-03,65
2023-12-04,99
2023-12-05,96
2023-12-06,96
2023-12-07,97
2023-12-08,91
2023-12-09,59
2023-12-10,66
2023-12-11,89
2023-12-12,91
2023-12-13,91
2023-12-14,97
2023-12-15,82
2023-12-16,61
2023-12-17,66
2023-12-18,70
2023-12-19,74
2023-12-20,69
2023-12-21,64
2023-12-22,63
2023-12-23,64
2023-12-24,60
2023-12-25,55
2023-12-26,56
2023-12-27,59
2023-12-28,60
2023-12-29,63
2023-12-30,62
2023-12-31,62
2024-01-01,60
2024-01-02,59
2024-01-03,65
2024-01-04,75
2024-01-05,71
2024-01-06,58
2024-01-07,62
2024-01-08,74
2024-01-09,74
2024-01-10,88
2024-01-11,96
2024-01-12,82
2024-01-13,64
2024-01-14,60
2024-01-15,61
2024-01-16,76
2024-01-17,83
2024-01-18,90
2024-01-19,83
2024-01-20,67
