Time,you people
2024-08-18,50
2024-08-19,54
2024-08-20,59
2024-08-21,55
2024-08-22,57
2024-08-23,56
2024-08-24,51
2024-08-25,55
2024-08-26,65
2024-08-27,67
2024-08-28,68
2024-08-29,66
2024-08-30,64
2024-08-31,53
2024-09-01,55
2024-09-02,57
2024-09-03,65
2024-09-04,67
2024-09-05,71
2024-09-06,68
2024-09-07,49
2024-09-08,57
2024-09-09,76
2024-09-10,76
2024-09-11,74
2024-09-12,75
2024-09-13,70
2024-09-14,52
2024-09-15,52
2024-09-16,80
2024-09-17,77
2024-09-18,83
2024-09-19,76
2024-09-20,69
2024-09-21,53
2024-09-22,55
2024-09-23,79
2024-09-24,77
2024-09-25,73
2024-09-26,72
2024-09-27,69
2024-09-28,53
2024-09-29,52
2024-09-30,77
2024-10-01,80
2024-10-02,77
2024-10-03,77
2024-10-04,71
2024-10-05,54
2024-10-06,55
2024-10-07,75
2024-10-08,72
2024-10-09,73
2024-10-10,72
2024-10-11,59
2024-10-12,54
2024-10-13,55
2024-10-14,74
2024-10-15,75
2024-10-16,75
2024-10-17,77
2024-10-18,70
2024-10-19,53
2024-10-20,55
2024-10-21,82
2024-10-22,81
2024-10-23,81
2024-10-24,80
2024-10-25,73
2024-10-26,56
2024-10-27,66
2024-10-28,83
2024-10-29,83
2024-10-30,82
2024-10-31,75
2024-11-01,67
2024-11-02,54
2024-11-03,56
2024-11-04,81
2024-11-05,72
2024-11-06,68
2024-11-07,81
2024-11-08,71
2024-11-09,54
2024-11-10,55
2024-11-11,78
2024-11-12,81
2024-11-13,86
2024-11-14,79
2024-11-15,75
2024-11-16,48
2024-11-17,60
2024-11-18,83
2024-11-19,81
2024-11-20,82
2024-11-21,81
2024-11-22,71
2024-11-23,54
2024-11-24,56
2024-11-25,69
2024-11-26,64
2024-11-27,54
2024-11-28,52
2024-11-29,47
2024-11-30,50
2024-12-01,54
2024-12-02,76
2024-12-03,79
2024-12-04,79
2024-12-05,76
2024-12-06,77
2024-12-07,57
2024-12-08,59
2024-12-09,83
2024-12-10,82
2024-12-11,83
2024-12-12,86
2024-12-13,72
2024-12-14,54
2024-12-15,55
2024-12-16,77
2024-12-17,74
2024-12-18,74
2024-12-19,69
2024-12-20,57
2024-12-21,51
2024-12-22,50
2024-12-23,52
2024-12-24,53
2024-12-25,50
2024-12-26,52
2024-12-27,53
2024-12-28,54
2024-12-29,54
2024-12-30,57
2024-12-31,58
2025-01-01,53
2025-01-02,54
2025-01-03,57
2025-01-04,54
2025-01-05,56
2025-01-06,63
2025-01-07,65
2025-01-08,74
2025-01-09,73
2025-01-10,69
2025-01-11,56
2025-01-12,59
2025-01-13,79
2025-01-14,79
2025-01-15,80
2025-01-16,81
2025-01-17,77
2025-01-18,56
2025-01-19,55
2025-01-20,63
2025-01-21,77
2025-01-22,82
2025-01-23,84
2025-01-24,84
2025-01-25,61
2025-01-26,64
2025-01-27,86
2025-01-28,85
2025-01-29,82
2025-01-30,90
2025-01-31,84
2025-02-01,62
2025-02-02,67
2025-02-03,88
2025-02-04,85
2025-02-05,88
2025-02-06,87
2025-02-07,84
2025-02-08,60
2025-02-09,59
2025-02-10,78
2025-02-11,83
2025-02-12,86
2025-02-13,83
2025-02-14,75
2025-02-15,64
2025-02-16,65
2025-02-17,68
2025-02-18,84
2025-02-19,86
2025-02-20,84
2025-02-21,82
2025-02-22,63
2025-02-23,69
2025-02-24,100
2025-02-25,97
2025-02-26,91
2025-02-27,88
2025-02-28,92
2025-03-01,61
2025-03-02,62
2025-03-03,86
2025-03-04,89
2025-03-05,82
2025-03-06,87
2025-03-07,80
2025-03-08,62
2025-03-09,61
2025-03-10,80
2025-03-11,82
2025-03-12,84
2025-03-13,86
2025-03-14,76
2025-03-15,64
2025-03-16,67
2025-03-17,82
2025-03-18,83
2025-03-19,84
2025-03-20,80
2025-03-21,67
2025-03-22,56
2025-03-23,58
2025-03-24,80
2025-03-25,80
2025-03-26,84
2025-03-27,87
2025-03-28,75
2025-03-29,59
2025-03-30,65
2025-03-31,83
2025-04-01,80
2025-04-02,79
2025-04-03,83
2025-04-04,77
2025-04-05,57
2025-04-06,62
2025-04-07,87
2025-04-08,81
2025-04-09,83
2025-04-10,86
2025-04-11,84
2025-04-12,57
2025-04-13,65
2025-04-14,87
2025-04-15,83
2025-04-16,82
2025-04-17,80
2025-04-18,70
2025-04-19,60
2025-04-20,59
2025-04-21,79
2025-04-22,83
2025-04-23,81
2025-04-24,82
2025-04-25,79
2025-04-26,58
2025-04-27,64
2025-04-28,87
2025-04-29,83
2025-04-30,88
2025-05-01,85
2025-05-02,80
2025-05-03,60
2025-05-04,63
2025-05-05,86
2025-05-06,81
2025-05-07,79
2025-05-08,81
2025-05-09,85
2025-05-10,55
2025-05-11,64
2025-05-12,86
2025-05-13,85
2025-05-14,87
