Time,ryan grantham
2024-08-18,0
2024-08-19,15
2024-08-20,0
2024-08-21,20
2024-08-22,19
2024-08-23,36
2024-08-24,40
2024-08-25,44
2024-08-26,27
2024-08-27,0
2024-08-28,25
2024-08-29,0
2024-08-30,13
2024-08-31,23
2024-09-01,20
2024-09-02,24
2024-09-03,0
2024-09-04,15
2024-09-05,21
2024-09-06,26
2024-09-07,30
2024-09-08,31
2024-09-09,27
2024-09-10,30
2024-09-11,24
2024-09-12,35
2024-09-13,26
2024-09-14,32
2024-09-15,29
2024-09-16,30
2024-09-17,23
2024-09-18,25
2024-09-19,39
2024-09-20,23
2024-09-21,21
2024-09-22,17
2024-09-23,23
2024-09-24,29
2024-09-25,32
2024-09-26,21
2024-09-27,27
2024-09-28,26
2024-09-29,0
2024-09-30,29
2024-10-01,0
2024-10-02,35
2024-10-03,15
2024-10-04,0
2024-10-05,18
2024-10-06,0
2024-10-07,16
2024-10-08,0
2024-10-09,15
2024-10-10,0
2024-10-11,0
2024-10-12,14
2024-10-13,19
2024-10-14,16
2024-10-15,12
2024-10-16,18
2024-10-17,17
2024-10-18,0
2024-10-19,30
2024-10-20,29
2024-10-21,44
2024-10-22,33
2024-10-23,17
2024-10-24,19
2024-10-25,26
2024-10-26,28
2024-10-27,15
2024-10-28,18
2024-10-29,18
2024-10-30,0
2024-10-31,0
2024-11-01,0
2024-11-02,0
2024-11-03,0
2024-11-04,22
2024-11-05,0
2024-11-06,0
2024-11-07,0
2024-11-08,0
2024-11-09,0
2024-11-10,0
2024-11-11,0
2024-11-12,0
2024-11-13,14
2024-11-14,0
2024-11-15,12
2024-11-16,0
2024-11-17,28
2024-11-18,42
2024-11-19,27
2024-11-20,28
2024-11-21,87
2024-11-22,58
2024-11-23,34
2024-11-24,51
2024-11-25,67
2024-11-26,80
2024-11-27,100
2024-11-28,57
2024-11-29,41
2024-11-30,20
2024-12-01,26
2024-12-02,0
2024-12-03,12
2024-12-04,19
2024-12-05,16
2024-12-06,20
2024-12-07,20
2024-12-08,25
2024-12-09,24
2024-12-10,13
2024-12-11,24
2024-12-12,22
2024-12-13,14
2024-12-14,20
2024-12-15,31
2024-12-16,22
2024-12-17,20
2024-12-18,0
2024-12-19,13
2024-12-20,0
2024-12-21,0
2024-12-22,0
2024-12-23,14
2024-12-24,19
2024-12-25,0
2024-12-26,0
2024-12-27,0
2024-12-28,0
2024-12-29,0
2024-12-30,0
2024-12-31,0
2025-01-01,20
2025-01-02,15
2025-01-03,0
2025-01-04,24
2025-01-05,27
2025-01-06,18
2025-01-07,19
2025-01-08,14
2025-01-09,23
2025-01-10,0
2025-01-11,18
2025-01-12,22
2025-01-13,14
2025-01-14,30
2025-01-15,0
2025-01-16,18
2025-01-17,0
2025-01-18,14
2025-01-19,22
2025-01-20,24
2025-01-21,15
2025-01-22,0
2025-01-23,13
2025-01-24,0
2025-01-25,0
2025-01-26,0
2025-01-27,19
2025-01-28,12
2025-01-29,14
2025-01-30,12
2025-01-31,0
2025-02-01,19
2025-02-02,0
2025-02-03,0
2025-02-04,0
2025-02-05,0
2025-02-06,0
2025-02-07,13
2025-02-08,0
2025-02-09,0
2025-02-10,14
2025-02-11,13
2025-02-12,13
2025-02-13,0
2025-02-14,0
2025-02-15,16
2025-02-16,0
2025-02-17,0
2025-02-18,14
2025-02-19,19
2025-02-20,0
2025-02-21,0
2025-02-22,14
2025-02-23,16
2025-02-24,0
2025-02-25,11
2025-02-26,18
2025-02-27,15
2025-02-28,14
2025-03-01,0
2025-03-02,56
2025-03-03,18
2025-03-04,19
2025-03-05,16
2025-03-06,18
2025-03-07,14
2025-03-08,0
2025-03-09,0
2025-03-10,48
2025-03-11,33
2025-03-12,21
2025-03-13,21
2025-03-14,87
2025-03-15,100
2025-03-16,57
2025-03-17,32
2025-03-18,37
2025-03-19,26
2025-03-20,28
2025-03-21,53
2025-03-22,41
2025-03-23,50
2025-03-24,75
2025-03-25,70
2025-03-26,29
2025-03-27,21
2025-03-28,35
2025-03-29,21
2025-03-30,0
2025-03-31,30
2025-04-01,21
2025-04-02,0
2025-04-03,0
2025-04-04,17
2025-04-05,33
2025-04-06,34
2025-04-07,0
2025-04-08,13
2025-04-09,0
2025-04-10,0
2025-04-11,15
2025-04-12,0
2025-04-13,0
2025-04-14,0
2025-04-15,0
2025-04-16,13
2025-04-17,0
2025-04-18,0
2025-04-19,0
2025-04-20,25
2025-04-21,26
2025-04-22,14
2025-04-23,0
2025-04-24,32
2025-04-25,20
2025-04-26,22
2025-04-27,26
2025-04-28,19
2025-04-29,0
2025-04-30,0
2025-05-01,0
2025-05-02,21
2025-05-03,17
2025-05-04,20
2025-05-05,16
2025-05-06,13
2025-05-07,12
2025-05-08,0
2025-05-09,13
2025-05-10,18
2025-05-11,33
2025-05-12,18
2025-05-13,0
2025-05-14,0
