Time,krill
2022-01-01,40
2022-01-02,47
2022-01-03,50
2022-01-04,70
2022-01-05,75
2022-01-06,41
2022-01-07,60
2022-01-08,54
2022-01-09,65
2022-01-10,44
2022-01-11,58
2022-01-12,61
2022-01-13,89
2022-01-14,52
2022-01-15,63
2022-01-16,55
2022-01-17,35
2022-01-18,48
2022-01-19,55
2022-01-20,62
2022-01-21,57
2022-01-22,52
2022-01-23,58
2022-01-24,67
2022-01-25,57
2022-01-26,52
2022-01-27,57
2022-01-28,58
2022-01-29,51
2022-01-30,61
2022-01-31,48
2022-02-01,63
2022-02-02,69
2022-02-03,55
2022-02-04,60
2022-02-05,60
2022-02-06,59
2022-02-07,71
2022-02-08,57
2022-02-09,56
2022-02-10,61
2022-02-11,59
2022-02-12,57
2022-02-13,54
2022-02-14,47
2022-02-15,49
2022-02-16,68
2022-02-17,60
2022-02-18,66
2022-02-19,59
2022-02-20,60
2022-02-21,52
2022-02-22,59
2022-02-23,57
2022-02-24,55
2022-02-25,73
2022-02-26,69
2022-02-27,60
2022-02-28,58
2022-03-01,61
2022-03-02,58
2022-03-03,57
2022-03-04,54
2022-03-05,61
2022-03-06,66
2022-03-07,62
2022-03-08,68
2022-03-09,64
2022-03-10,52
2022-03-11,55
2022-03-12,60
2022-03-13,61
2022-03-14,55
2022-03-15,47
2022-03-16,61
2022-03-17,60
2022-03-18,47
2022-03-19,59
2022-03-20,55
2022-03-21,56
2022-03-22,59
2022-03-23,57
2022-03-24,56
2022-03-25,60
2022-03-26,58
2022-03-27,100
2022-03-28,72
2022-03-29,91
2022-03-30,79
2022-03-31,72
2022-04-01,68
2022-04-02,54
2022-04-03,57
2022-04-04,66
2022-04-05,57
2022-04-06,64
2022-04-07,66
2022-04-08,56
2022-04-09,59
2022-04-10,64
2022-04-11,54
2022-04-12,66
2022-04-13,54
2022-04-14,65
2022-04-15,56
2022-04-16,57
2022-04-17,52
2022-04-18,65
2022-04-19,71
2022-04-20,60
2022-04-21,56
2022-04-22,60
2022-04-23,48
2022-04-24,46
2022-04-25,60
2022-04-26,60
2022-04-27,72
2022-04-28,69
2022-04-29,72
2022-04-30,52
2022-05-01,48
2022-05-02,76
2022-05-03,67
2022-05-04,67
2022-05-05,73
2022-05-06,64
2022-05-07,59
2022-05-08,67
2022-05-09,67
2022-05-10,63
2022-05-11,73
2022-05-12,59
2022-05-13,58
2022-05-14,50
2022-05-15,43
2022-05-16,53
2022-05-17,61
2022-05-18,57
2022-05-19,54
2022-05-20,50
2022-05-21,47
2022-05-22,58
2022-05-23,61
2022-05-24,65
2022-05-25,53
2022-05-26,56
2022-05-27,53
2022-05-28,57
2022-05-29,61
2022-05-30,52
2022-05-31,57
2022-06-01,68
2022-06-02,63
2022-06-03,55
2022-06-04,57
2022-06-05,49
2022-06-06,61
2022-06-07,51
2022-06-08,53
2022-06-09,59
2022-06-10,59
2022-06-11,56
2022-06-12,63
2022-06-13,44
2022-06-14,46
2022-06-15,51
2022-06-16,50
2022-06-17,46
2022-06-18,54
2022-06-19,52
2022-06-20,48
2022-06-21,48
2022-06-22,45
2022-06-23,55
2022-06-24,52
2022-06-25,62
2022-06-26,50
2022-06-27,53
2022-06-28,54
2022-06-29,42
2022-06-30,52
2022-07-01,48
2022-07-02,46
2022-07-03,53
2022-07-04,55
2022-07-05,50
2022-07-06,55
2022-07-07,49
2022-07-08,55
2022-07-09,47
2022-07-10,41
2022-07-11,52
2022-07-12,55
2022-07-13,49
2022-07-14,51
2022-07-15,53
2022-07-16,55
2022-07-17,61
2022-07-18,55
2022-07-19,52
2022-07-20,54
2022-07-21,47
2022-07-22,63
2022-07-23,58
2022-07-24,61
2022-07-25,46
2022-07-26,59
2022-07-27,47
2022-07-28,64
2022-07-29,73
2022-07-30,65
2022-07-31,67
2022-08-01,63
2022-08-02,57
2022-08-03,56
2022-08-04,54
2022-08-05,56
2022-08-06,68
2022-08-07,54
2022-08-08,57
2022-08-09,50
2022-08-10,58
2022-08-11,63
2022-08-12,56
2022-08-13,56
2022-08-14,52
2022-08-15,49
2022-08-16,64
2022-08-17,61
2022-08-18,55
2022-08-19,48
2022-08-20,62
2022-08-21,64
2022-08-22,53
2022-08-23,57
2022-08-24,57
2022-08-25,53
2022-08-26,44
2022-08-27,55
2022-08-28,61
2022-08-29,54
2022-08-30,54
2022-08-31,60
2022-09-01,49
2022-09-02,52
2022-09-03,47
2022-09-04,56
2022-09-05,64
2022-09-06,47
2022-09-07,61
2022-09-08,48
2022-09-09,54
2022-09-10,55
2022-09-11,48
2022-09-12,54
2022-09-13,54
2022-09-14,49
2022-09-15,45
2022-09-16,49
2022-09-17,49
2022-09-18,50
2022-09-19,50
2022-09-20,50
2022-09-21,60
2022-09-22,53
2022-09-23,53
2022-09-24,45
2022-09-25,49
2022-09-26,53
2022-09-27,50
