Time,new york yankees
2023-12-22,28
2023-12-23,23
2023-12-24,19
2023-12-25,17
2023-12-26,19
2023-12-27,19
2023-12-28,21
2023-12-29,18
2023-12-30,20
2023-12-31,17
2024-01-01,18
2024-01-02,17
2024-01-03,18
2024-01-04,19
2024-01-05,20
2024-01-06,18
2024-01-07,19
2024-01-08,18
2024-01-09,19
2024-01-10,17
2024-01-11,19
2024-01-12,25
2024-01-13,18
2024-01-14,19
2024-01-15,19
2024-01-16,18
2024-01-17,24
2024-01-18,16
2024-01-19,18
2024-01-20,17
2024-01-21,16
2024-01-22,16
2024-01-23,18
2024-01-24,18
2024-01-25,18
2024-01-26,16
2024-01-27,16
2024-01-28,16
2024-01-29,14
2024-01-30,18
2024-01-31,15
2024-02-01,13
2024-02-02,17
2024-02-03,19
2024-02-04,15
2024-02-05,17
2024-02-06,16
2024-02-07,16
2024-02-08,14
2024-02-09,15
2024-02-10,16
2024-02-11,17
2024-02-12,14
2024-02-13,17
2024-02-14,16
2024-02-15,17
2024-02-16,18
2024-02-17,18
2024-02-18,20
2024-02-19,19
2024-02-20,20
2024-02-21,20
2024-02-22,20
2024-02-23,22
2024-02-24,29
2024-02-25,36
2024-02-26,24
2024-02-27,26
2024-02-28,22
2024-02-29,23
2024-03-01,23
2024-03-02,30
2024-03-03,24
2024-03-04,19
2024-03-05,25
2024-03-06,23
2024-03-07,19
2024-03-08,21
2024-03-09,21
2024-03-10,22
2024-03-11,21
2024-03-12,26
2024-03-13,23
2024-03-14,24
2024-03-15,19
2024-03-16,25
2024-03-17,24
2024-03-18,23
2024-03-19,21
2024-03-20,22
2024-03-21,24
2024-03-22,23
2024-03-23,25
2024-03-24,30
2024-03-25,23
2024-03-26,25
2024-03-27,26
2024-03-28,59
2024-03-29,45
2024-03-30,83
2024-03-31,97
2024-04-01,48
2024-04-02,60
2024-04-03,71
2024-04-04,40
2024-04-05,58
2024-04-06,46
2024-04-07,86
2024-04-08,45
2024-04-09,45
2024-04-10,62
2024-04-11,50
2024-04-12,33
2024-04-13,69
2024-04-14,70
2024-04-15,34
2024-04-16,42
2024-04-17,54
2024-04-18,34
2024-04-19,34
2024-04-20,74
2024-04-21,59
2024-04-22,44
2024-04-23,34
2024-04-24,49
2024-04-25,48
2024-04-26,38
2024-04-27,57
2024-04-28,81
2024-04-29,37
2024-04-30,38
2024-05-01,42
2024-05-02,50
2024-05-03,31
2024-05-04,66
2024-05-05,65
2024-05-06,28
2024-05-07,32
2024-05-08,43
2024-05-09,63
2024-05-10,38
2024-05-11,63
2024-05-12,61
2024-05-13,30
2024-05-14,34
2024-05-15,50
2024-05-16,59
2024-05-17,39
2024-05-18,71
2024-05-19,60
2024-05-20,39
2024-05-21,48
2024-05-22,47
2024-05-23,63
2024-05-24,35
2024-05-25,66
2024-05-26,79
2024-05-27,38
2024-05-28,32
2024-05-29,50
2024-05-30,54
2024-05-31,52
2024-06-01,65
2024-06-02,89
2024-06-03,40
2024-06-04,36
2024-06-05,59
2024-06-06,60
2024-06-07,75
2024-06-08,84
2024-06-09,94
2024-06-10,67
2024-06-11,58
2024-06-12,59
2024-06-13,79
2024-06-14,48
2024-06-15,71
2024-06-16,72
2024-06-17,57
2024-06-18,42
2024-06-19,65
2024-06-20,81
2024-06-21,47
2024-06-22,80
2024-06-23,85
2024-06-24,34
2024-06-25,39
2024-06-26,56
2024-06-27,71
2024-06-28,56
2024-06-29,88
2024-06-30,61
2024-07-01,34
2024-07-02,36
2024-07-03,58
2024-07-04,89
2024-07-05,40
2024-07-06,94
2024-07-07,52
2024-07-08,52
2024-07-09,35
2024-07-10,54
2024-07-11,58
2024-07-12,53
2024-07-13,81
2024-07-14,75
2024-07-15,27
2024-07-16,21
2024-07-17,25
2024-07-18,25
2024-07-19,32
2024-07-20,68
2024-07-21,62
2024-07-22,50
2024-07-23,39
2024-07-24,60
2024-07-25,61
2024-07-26,42
2024-07-27,83
2024-07-28,99
2024-07-29,81
2024-07-30,96
2024-07-31,98
2024-08-01,41
2024-08-02,45
2024-08-03,100
2024-08-04,99
2024-08-05,40
2024-08-06,42
2024-08-07,61
2024-08-08,61
2024-08-09,55
2024-08-10,73
2024-08-11,70
2024-08-12,36
2024-08-13,60
2024-08-14,59
2024-08-15,85
2024-08-16,42
2024-08-17,71
2024-08-18,57
2024-08-19,52
2024-08-20,39
2024-08-21,65
2024-08-22,73
2024-08-23,49
2024-08-24,85
2024-08-25,74
2024-08-26,48
2024-08-27,55
2024-08-28,56
2024-08-29,51
2024-08-30,38
2024-08-31,73
2024-09-01,69
2024-09-02,39
2024-09-03,53
2024-09-04,58
2024-09-05,55
2024-09-06,42
2024-09-07,54
2024-09-08,55
2024-09-09,31
2024-09-10,51
2024-09-11,48
2024-09-12,61
2024-09-13,61
2024-09-14,94
2024-09-15,63
2024-09-16,33
