Time,rockauto
2022-10-04,89.97700562084823
2022-10-05,89.97700562084823
2022-10-06,85.79202861522738
2022-10-07,86.8382728666326
2022-10-08,97.30071538068471
2022-10-09,85.79202861522738
2022-10-10,88.93076136944302
2022-10-11,85.79202861522738
2022-10-12,92.06949412365864
2022-10-13,83.69954011241695
2022-10-14,78.46831885539089
2022-10-15,88.93076136944302
2022-10-16,85.79202861522738
2022-10-17,88.93076136944302
2022-10-18,84.74578436382217
2022-10-19,87.8845171180378
2022-10-20,84.74578436382217
2022-10-21,83.69954011241695
2022-10-22,94.16198262646907
2022-10-23,86.8382728666326
2022-10-24,85.79202861522738
2022-10-25,83.69954011241695
2022-10-26,83.69954011241695
2022-10-27,88.93076136944302
2022-10-28,77.42207460398568
2022-10-29,87.8845171180378
2022-10-30,84.74578436382217
2022-10-31,83.69954011241695
2022-11-01,81.60705160960653
2022-11-02,81.60705160960653
2022-11-03,83.69954011241695
2022-11-04,81.60705160960653
2022-11-05,88.93076136944302
2022-11-06,84.74578436382217
2022-11-07,82.65329586101174
2022-11-08,76.37583035258046
2022-11-09,68.00587634133878
2022-11-10,76.37583035258046
2022-11-11,80.56080735820132
2022-11-12,83.69954011241695
2022-11-13,77.42207460398568
2022-11-14,76.37583035258046
2022-11-15,76.37583035258046
2022-11-16,81.60705160960653
2022-11-17,78.46831885539089
2022-11-18,74.28334184977005
2022-11-19,82.65329586101174
2022-11-20,75.32958610117527
2022-11-21,75.32958610117527
2022-11-22,76.37583035258046
2022-11-23,79.5145631067961
2022-11-24,66.95963208993356
2022-11-25,80.56080735820132
2022-11-26,76.37583035258046
2022-11-27,72.19085334695963
2022-11-28,76.37583035258046
2022-11-29,77.42207460398568
2022-11-30,74.28334184977005
2022-12-01,73.23709759836484
2022-12-02,72.19085334695963
2022-12-03,74.28334184977005
2022-12-04,71.14460909555442
2022-12-05,73.23709759836484
2022-12-06,74.28334184977005
2022-12-07,70.0983648441492
2022-12-08,72.19085334695963
2022-12-09,71.14460909555442
2022-12-10,78.46831885539089
2022-12-11,72.19085334695963
2022-12-12,73.23709759836484
2022-12-13,70.0983648441492
2022-12-14,70.0983648441492
2022-12-15,70.0983648441492
2022-12-16,70.0983648441492
2022-12-17,78.46831885539089
2022-12-18,77.42207460398568
2022-12-19,72.19085334695963
2022-12-20,70.0983648441492
2022-12-21,69.05212059274399
2022-12-22,65.91338783852835
2022-12-23,61.72841083290751
2022-12-24,51.265968318855386
2022-12-25,47.080991313234534
2022-12-26,72.19085334695963
2022-12-27,84.74578436382217
2022-12-28,86.8382728666326
2022-12-29,93.11573837506386
2022-12-30,85.79202861522738
2022-12-31,81.60705160960653
2023-01-01,65.91338783852835
2023-01-02,95.20822687787428
2023-01-03,77.42207460398568
2023-01-04,78.46831885539089
2023-01-05,84.74578436382217
2023-01-06,84.74578436382217
2023-01-07,85.79202861522738
2023-01-08,81.60705160960653
2023-01-09,79.5145631067961
2023-01-10,81.60705160960653
2023-01-11,82.65329586101174
2023-01-12,75.32958610117527
2023-01-13,75.32958610117527
2023-01-14,79.5145631067961
2023-01-15,76.37583035258046
2023-01-16,85.79202861522738
2023-01-17,80.56080735820132
2023-01-18,74.28334184977005
2023-01-19,76.37583035258046
