Time,nhl scores
2025-04-15,30
2025-04-16,37
2025-04-17,28
2025-04-18,22
2025-04-19,21
2025-04-20,78
2025-04-21,51
2025-04-22,76
2025-04-23,73
2025-04-24,69
2025-04-25,64
2025-04-26,100
2025-04-27,99
2025-04-28,65
2025-04-29,65
2025-04-30,90
2025-05-01,81
2025-05-02,85
2025-05-03,65
2025-05-04,76
2025-05-05,63
2025-05-06,49
2025-05-07,60
2025-05-08,65
2025-05-09,68
2025-05-10,94
2025-05-11,98
2025-05-12,56
2025-05-13,74
2025-05-14,58
2025-05-15,83
2025-05-16,74
2025-05-17,80
2025-05-18,82
2025-05-19,59
2025-05-20,20
2025-05-21,46
2025-05-22,52
2025-05-23,54
2025-05-24,61
2025-05-25,84
2025-05-26,37
2025-05-27,59
2025-05-28,54
2025-05-29,66
2025-05-30,59
2025-05-31,15
2025-06-01,12
2025-06-02,9
2025-06-03,9
2025-06-04,14
2025-06-05,70
2025-06-06,15
2025-06-07,90
2025-06-08,21
2025-06-09,18
2025-06-10,61
2025-06-11,17
2025-06-12,20
2025-06-13,85
2025-06-14,22
2025-06-15,74
2025-06-16,17
2025-06-17,22
2025-06-18,71
2025-06-19,5
2025-06-20,3
2025-06-21,2
2025-06-22,2
2025-06-23,1
2025-06-24,1
2025-06-25,1
2025-06-26,1
2025-06-27,1
2025-06-28,2
2025-06-29,1
2025-06-30,1
2025-07-01,1
2025-07-02,1
2025-07-03,1
2025-07-04,1
2025-07-05,1
2025-07-06,1
2025-07-07,0
2025-07-08,1
2025-07-09,0
2025-07-10,1
2025-07-11,0
2025-07-12,1
2025-07-13,1
2025-07-14,1
2025-07-15,0
2025-07-16,0
2025-07-17,1
2025-07-18,0
2025-07-19,1
2025-07-20,1
2025-07-21,1
2025-07-22,1
2025-07-23,1
2025-07-24,0
2025-07-25,1
2025-07-26,0
2025-07-27,1
2025-07-28,1
2025-07-29,1
2025-07-30,0
2025-07-31,1
2025-08-01,1
2025-08-02,0
2025-08-03,0
2025-08-04,0
2025-08-05,1
2025-08-06,1
2025-08-07,0
2025-08-08,1
2025-08-09,1
2025-08-10,1
2025-08-11,0
2025-08-12,1
2025-08-13,0
2025-08-14,1
2025-08-15,0
2025-08-16,1
2025-08-17,1
2025-08-18,1
2025-08-19,1
2025-08-20,0
2025-08-21,0
2025-08-22,0
2025-08-23,1
2025-08-24,1
2025-08-25,0
2025-08-26,0
2025-08-27,0
2025-08-28,0
2025-08-29,0
2025-08-30,0
2025-08-31,0
2025-09-01,1
2025-09-02,1
2025-09-03,0
2025-09-04,0
2025-09-05,1
2025-09-06,1
2025-09-07,2
2025-09-08,2
2025-09-09,1
2025-09-10,1
2025-09-11,0
2025-09-12,1
2025-09-13,1
2025-09-14,2
2025-09-15,1
2025-09-16,1
2025-09-17,1
2025-09-18,1
2025-09-19,1
2025-09-20,1
2025-09-21,5
2025-09-22,5
2025-09-23,5
2025-09-24,5
2025-09-25,4
2025-09-26,5
2025-09-27,7
2025-09-28,6
2025-09-29,4
2025-09-30,6
2025-10-01,7
2025-10-02,7
2025-10-03,8
2025-10-04,10
2025-10-05,9
2025-10-06,5
2025-10-07,15
2025-10-08,39
2025-10-09,37
2025-10-10,46
2025-10-11,26
2025-10-12,48
2025-10-13,31
2025-10-14,27
2025-10-15,38
2025-10-16,32
2025-10-17,37
2025-10-18,42
2025-10-19,45
2025-10-20,20
2025-10-21,29
2025-10-22,37
2025-10-23,28
2025-10-24,41
2025-10-25,43
2025-10-26,44
2025-10-27,22
2025-10-28,26
2025-10-29,42
2025-10-30,20
2025-10-31,43
2025-11-01,37
2025-11-02,41
2025-11-03,21
2025-11-04,24
2025-11-05,34
2025-11-06,26
2025-11-07,38
2025-11-08,43
2025-11-09,51
2025-11-10,23
2025-11-11,27
2025-11-12,33
2025-11-13,29
2025-11-14,35
2025-11-15,33
2025-11-16,50
2025-11-17,23
2025-11-18,27
2025-11-19,32
2025-11-20,29
2025-11-21,37
2025-11-22,39
2025-11-23,48
2025-11-24,22
2025-11-25,28
2025-11-26,24
2025-11-27,46
2025-11-28,32
2025-11-29,37
2025-11-30,43
2025-12-01,14
2025-12-02,26
2025-12-03,35
2025-12-04,28
2025-12-05,35
2025-12-06,38
2025-12-07,46
2025-12-08,24
2025-12-09,25
2025-12-10,35
2025-12-11,28
2025-12-12,37
2025-12-13,40
2025-12-14,47
2025-12-15,21
2025-12-16,22
2025-12-17,37
2025-12-18,27
2025-12-19,32
2025-12-20,44
2025-12-21,43
2025-12-22,32
2025-12-23,29
2025-12-24,42
2025-12-25,12
2025-12-26,12
2025-12-27,17
2025-12-28,48
2025-12-29,23
2025-12-30,31
2025-12-31,38
2026-01-01,42
2026-01-02,30
2026-01-03,44
2026-01-04,42
2026-01-05,18
2026-01-06,26
2026-01-07,30
2026-01-08,24
2026-01-09,39
