Time,nhl scores
2024-08-18,1
2024-08-19,0
2024-08-20,0
2024-08-21,1
2024-08-22,0
2024-08-23,0
2024-08-24,0
2024-08-25,1
2024-08-26,0
2024-08-27,0
2024-08-28,0
2024-08-29,1
2024-08-30,1
2024-08-31,1
2024-09-01,1
2024-09-02,1
2024-09-03,0
2024-09-04,0
2024-09-05,0
2024-09-06,1
2024-09-07,1
2024-09-08,2
2024-09-09,1
2024-09-10,1
2024-09-11,0
2024-09-12,1
2024-09-13,1
2024-09-14,1
2024-09-15,2
2024-09-16,1
2024-09-17,1
2024-09-18,1
2024-09-19,0
2024-09-20,1
2024-09-21,2
2024-09-22,5
2024-09-23,5
2024-09-24,5
2024-09-25,6
2024-09-26,5
2024-09-27,7
2024-09-28,6
2024-09-29,8
2024-09-30,5
2024-10-01,7
2024-10-02,8
2024-10-03,6
2024-10-04,15
2024-10-05,16
2024-10-06,11
2024-10-07,5
2024-10-08,12
2024-10-09,31
2024-10-10,36
2024-10-11,40
2024-10-12,44
2024-10-13,45
2024-10-14,33
2024-10-15,31
2024-10-16,37
2024-10-17,39
2024-10-18,42
2024-10-19,44
2024-10-20,46
2024-10-21,20
2024-10-22,27
2024-10-23,48
2024-10-24,25
2024-10-25,39
2024-10-26,45
2024-10-27,48
2024-10-28,25
2024-10-29,32
2024-10-30,37
2024-10-31,32
2024-11-01,37
2024-11-02,45
2024-11-03,48
2024-11-04,25
2024-11-05,20
2024-11-06,26
2024-11-07,25
2024-11-08,37
2024-11-09,41
2024-11-10,45
2024-11-11,25
2024-11-12,25
2024-11-13,30
2024-11-14,30
2024-11-15,36
2024-11-16,38
2024-11-17,43
2024-11-18,25
2024-11-19,29
2024-11-20,30
2024-11-21,27
2024-11-22,33
2024-11-23,33
2024-11-24,41
2024-11-25,17
2024-11-26,30
2024-11-27,22
2024-11-28,44
2024-11-29,29
2024-11-30,36
2024-12-01,45
2024-12-02,17
2024-12-03,22
2024-12-04,32
2024-12-05,25
2024-12-06,28
2024-12-07,47
2024-12-08,44
2024-12-09,19
2024-12-10,21
2024-12-11,32
2024-12-12,21
2024-12-13,34
2024-12-14,32
2024-12-15,45
2024-12-16,18
2024-12-17,25
2024-12-18,34
2024-12-19,27
2024-12-20,34
2024-12-21,40
2024-12-22,43
2024-12-23,27
2024-12-24,36
2024-12-25,11
2024-12-26,10
2024-12-27,13
2024-12-28,41
2024-12-29,44
2024-12-30,28
2024-12-31,35
2025-01-01,36
2025-01-02,18
2025-01-03,33
2025-01-04,37
2025-01-05,44
2025-01-06,20
2025-01-07,23
2025-01-08,30
2025-01-09,20
2025-01-10,30
2025-01-11,35
2025-01-12,47
2025-01-13,17
2025-01-14,20
2025-01-15,34
2025-01-16,19
2025-01-17,36
2025-01-18,32
2025-01-19,46
2025-01-20,28
2025-01-21,27
2025-01-22,29
2025-01-23,23
2025-01-24,33
2025-01-25,40
2025-01-26,47
2025-01-27,18
2025-01-28,26
2025-01-29,29
2025-01-30,24
2025-01-31,31
2025-02-01,35
2025-02-02,46
2025-02-03,21
2025-02-04,16
2025-02-05,37
2025-02-06,26
2025-02-07,28
2025-02-08,45
2025-02-09,42
2025-02-10,8
2025-02-11,8
2025-02-12,7
2025-02-13,12
2025-02-14,11
2025-02-15,10
2025-02-16,19
2025-02-17,12
2025-02-18,14
2025-02-19,5
2025-02-20,6
2025-02-21,28
2025-02-22,19
2025-02-23,45
2025-02-24,20
2025-02-25,17
2025-02-26,37
2025-02-27,20
2025-02-28,32
2025-03-01,38
2025-03-02,43
2025-03-03,21
2025-03-04,28
2025-03-05,28
2025-03-06,30
2025-03-07,30
2025-03-08,43
2025-03-09,50
2025-03-10,21
2025-03-11,25
2025-03-12,31
2025-03-13,26
2025-03-14,30
2025-03-15,41
2025-03-16,45
2025-03-17,20
2025-03-18,24
2025-03-19,30
2025-03-20,21
2025-03-21,33
2025-03-22,37
2025-03-23,42
2025-03-24,20
2025-03-25,26
2025-03-26,33
2025-03-27,27
2025-03-28,36
2025-03-29,45
2025-03-30,54
2025-03-31,20
2025-04-01,24
2025-04-02,32
2025-04-03,31
2025-04-04,34
2025-04-05,48
2025-04-06,57
2025-04-07,24
2025-04-08,25
2025-04-09,30
2025-04-10,29
2025-04-11,32
2025-04-12,45
2025-04-13,48
2025-04-14,25
2025-04-15,30
2025-04-16,37
2025-04-17,28
2025-04-18,22
2025-04-19,21
2025-04-20,78
2025-04-21,51
2025-04-22,76
2025-04-23,73
2025-04-24,69
2025-04-25,64
2025-04-26,100
2025-04-27,99
2025-04-28,65
2025-04-29,65
2025-04-30,90
2025-05-01,81
2025-05-02,85
2025-05-03,65
2025-05-04,76
2025-05-05,63
2025-05-06,49
2025-05-07,60
2025-05-08,65
2025-05-09,68
2025-05-10,94
2025-05-11,98
2025-05-12,56
2025-05-13,74
2025-05-14,58
