Time,nba games today
2025-04-15,19
2025-04-16,29
2025-04-17,31
2025-04-18,28
2025-04-19,65
2025-04-20,77
2025-04-21,49
2025-04-22,54
2025-04-23,49
2025-04-24,46
2025-04-25,44
2025-04-26,66
2025-04-27,81
2025-04-28,44
2025-04-29,52
2025-04-30,55
2025-05-01,49
2025-05-02,48
2025-05-03,65
2025-05-04,76
2025-05-05,45
2025-05-06,51
2025-05-07,48
2025-05-08,53
2025-05-09,56
2025-05-10,87
2025-05-11,100
2025-05-12,52
2025-05-13,58
2025-05-14,52
2025-05-15,57
2025-05-16,53
2025-05-17,69
2025-05-18,71
2025-05-19,33
2025-05-20,38
2025-05-21,45
2025-05-22,43
2025-05-23,43
2025-05-24,52
2025-05-25,66
2025-05-26,60
2025-05-27,47
2025-05-28,42
2025-05-29,40
2025-05-30,33
2025-05-31,34
2025-06-01,36
2025-06-02,10
2025-06-03,9
2025-06-04,8
2025-06-05,17
2025-06-06,26
2025-06-07,18
2025-06-08,26
2025-06-09,19
2025-06-10,12
2025-06-11,16
2025-06-12,21
2025-06-13,12
2025-06-14,24
2025-06-15,18
2025-06-16,14
2025-06-17,19
2025-06-18,11
2025-06-19,14
2025-06-20,20
2025-06-21,8
2025-06-22,16
2025-06-23,17
2025-06-24,2
2025-06-25,2
2025-06-26,2
2025-06-27,1
2025-06-28,1
2025-06-29,1
2025-06-30,1
2025-07-01,1
2025-07-02,1
2025-07-03,1
2025-07-04,1
2025-07-05,2
2025-07-06,3
2025-07-07,2
2025-07-08,1
2025-07-09,1
2025-07-10,2
2025-07-11,3
2025-07-12,2
2025-07-13,2
2025-07-14,2
2025-07-15,1
2025-07-16,1
2025-07-17,2
2025-07-18,1
2025-07-19,2
2025-07-20,1
2025-07-21,1
2025-07-22,1
2025-07-23,1
2025-07-24,1
2025-07-25,1
2025-07-26,1
2025-07-27,1
2025-07-28,1
2025-07-29,1
2025-07-30,1
2025-07-31,1
2025-08-01,1
2025-08-02,1
2025-08-03,1
2025-08-04,0
2025-08-05,1
2025-08-06,1
2025-08-07,1
2025-08-08,1
2025-08-09,1
2025-08-10,1
2025-08-11,0
2025-08-12,1
2025-08-13,0
2025-08-14,0
2025-08-15,1
2025-08-16,1
2025-08-17,1
2025-08-18,0
2025-08-19,1
2025-08-20,0
2025-08-21,0
2025-08-22,0
2025-08-23,0
2025-08-24,1
2025-08-25,0
2025-08-26,1
2025-08-27,1
2025-08-28,0
2025-08-29,0
2025-08-30,1
2025-08-31,1
2025-09-01,1
2025-09-02,0
2025-09-03,0
2025-09-04,0
2025-09-05,1
2025-09-06,1
2025-09-07,1
2025-09-08,1
2025-09-09,0
2025-09-10,0
2025-09-11,0
2025-09-12,1
2025-09-13,0
2025-09-14,1
2025-09-15,1
2025-09-16,0
2025-09-17,0
2025-09-18,0
2025-09-19,1
2025-09-20,1
2025-09-21,1
2025-09-22,0
2025-09-23,0
2025-09-24,0
2025-09-25,0
2025-09-26,0
2025-09-27,0
2025-09-28,1
2025-09-29,0
2025-09-30,1
2025-10-01,1
2025-10-02,2
2025-10-03,2
2025-10-04,3
2025-10-05,4
2025-10-06,3
2025-10-07,3
2025-10-08,3
2025-10-09,3
2025-10-10,4
2025-10-11,4
2025-10-12,4
2025-10-13,3
2025-10-14,3
2025-10-15,5
2025-10-16,4
2025-10-17,3
2025-10-18,5
2025-10-19,3
2025-10-20,3
2025-10-21,17
2025-10-22,32
2025-10-23,28
2025-10-24,26
2025-10-25,29
2025-10-26,26
2025-10-27,18
2025-10-28,20
2025-10-29,20
2025-10-30,19
2025-10-31,18
2025-11-01,23
2025-11-02,20
2025-11-03,14
2025-11-04,18
2025-11-05,18
2025-11-06,20
2025-11-07,16
2025-11-08,24
2025-11-09,19
2025-11-10,13
2025-11-11,18
2025-11-12,17
2025-11-13,18
2025-11-14,14
2025-11-15,21
2025-11-16,19
2025-11-17,13
2025-11-18,16
2025-11-19,18
2025-11-20,17
2025-11-21,13
2025-11-22,21
2025-11-23,18
2025-11-24,13
2025-11-25,15
2025-11-26,20
2025-11-27,25
2025-11-28,17
2025-11-29,24
2025-11-30,20
2025-12-01,13
2025-12-02,14
2025-12-03,16
2025-12-04,15
2025-12-05,14
2025-12-06,17
2025-12-07,17
2025-12-08,12
2025-12-09,13
2025-12-10,13
2025-12-11,14
2025-12-12,14
2025-12-13,21
2025-12-14,18
2025-12-15,13
2025-12-16,14
2025-12-17,14
2025-12-18,13
2025-12-19,14
2025-12-20,15
2025-12-21,17
2025-12-22,12
2025-12-23,15
2025-12-24,27
2025-12-25,52
2025-12-26,30
2025-12-27,24
2025-12-28,21
2025-12-29,13
2025-12-30,17
2025-12-31,22
2026-01-01,20
2026-01-02,17
2026-01-03,19
2026-01-04,19
2026-01-05,13
2026-01-06,16
2026-01-07,13
2026-01-08,15
2026-01-09,13
