Time,ap classroom
2025-12-11,47
2025-12-12,48
2025-12-13,8
2025-12-14,12
2025-12-15,52
2025-12-16,55
2025-12-17,54
2025-12-18,50
2025-12-19,29
2025-12-20,4
2025-12-21,3
2025-12-22,7
2025-12-23,5
2025-12-24,1
2025-12-25,1
2025-12-26,1
2025-12-27,1
2025-12-28,1
2025-12-29,2
2025-12-30,2
2025-12-31,1
2026-01-01,1
2026-01-02,3
2026-01-03,3
2026-01-04,4
2026-01-05,18
2026-01-06,29
2026-01-07,32
2026-01-08,32
2026-01-09,32
2026-01-10,6
2026-01-11,8
2026-01-12,41
2026-01-13,38
2026-01-14,38
2026-01-15,40
2026-01-16,38
2026-01-17,6
2026-01-18,6
2026-01-19,10
2026-01-20,39
2026-01-21,45
2026-01-22,43
2026-01-23,40
2026-01-24,5
2026-01-25,7
2026-01-26,25
2026-01-27,36
2026-01-28,36
2026-01-29,40
2026-01-30,39
2026-01-31,6
2026-02-01,8
2026-02-02,38
2026-02-03,40
2026-02-04,39
2026-02-05,42
2026-02-06,39
2026-02-07,6
2026-02-08,8
2026-02-09,37
2026-02-10,42
2026-02-11,43
2026-02-12,40
2026-02-13,30
2026-02-14,5
2026-02-15,4
2026-02-16,12
2026-02-17,27
2026-02-18,34
2026-02-19,35
2026-02-20,34
2026-02-21,6
2026-02-22,8
2026-02-23,37
2026-02-24,40
2026-02-25,41
2026-02-26,38
2026-02-27,39
2026-02-28,6
2026-03-01,9
2026-03-02,44
2026-03-03,39
2026-03-04,42
2026-03-05,46
2026-03-06,42
2026-03-07,8
2026-03-08,10
2026-03-09,42
2026-03-10,40
2026-03-11,42
2026-03-12,41
2026-03-13,36
2026-03-14,7
2026-03-15,9
2026-03-16,29
2026-03-17,31
2026-03-18,31
2026-03-19,30
2026-03-20,24
2026-03-21,6
2026-03-22,9
2026-03-23,38
2026-03-24,42
2026-03-25,42
2026-03-26,44
2026-03-27,41
2026-03-28,8
2026-03-29,10
2026-03-30,41
2026-03-31,38
2026-04-01,36
2026-04-02,35
2026-04-03,16
2026-04-04,6
2026-04-05,8
2026-04-06,33
2026-04-07,38
2026-04-08,42
2026-04-09,41
2026-04-10,40
2026-04-11,9
2026-04-12,14
2026-04-13,60
2026-04-14,57
2026-04-15,56
2026-04-16,62
2026-04-17,59
2026-04-18,13
2026-04-19,15
2026-04-20,71
2026-04-21,77
2026-04-22,70
2026-04-23,74
2026-04-24,65
2026-04-25,17
2026-04-26,21
2026-04-27,89
2026-04-28,89
2026-04-29,89
2026-04-30,95
2026-05-01,81
2026-05-02,27
2026-05-03,36
2026-05-04,100
2026-05-05,85
2026-05-06,72
2026-05-07,66
2026-05-08,48
2026-05-09,12
2026-05-10,18
2026-05-11,54
2026-05-12,45
2026-05-13,29
2026-05-14,24
2026-05-15,16
2026-05-16,3
2026-05-17,4
2026-05-18,11
2026-05-19,10
2026-05-20,9
2026-05-21,9
2026-05-22,6
2026-05-23,1
2026-05-24,2
2026-05-25,2
2026-05-26,5
2026-05-27,5
2026-05-28,4
2026-05-29,4
2026-05-30,2
2026-05-31,2
