Time,ap classroom
2022-08-29,58
2022-08-30,66
2022-08-31,63
2022-09-01,62
2022-09-02,53
2022-09-03,6
2022-09-04,9
2022-09-05,15
2022-09-06,72
2022-09-07,75
2022-09-08,74
2022-09-09,66
2022-09-10,11
2022-09-11,17
2022-09-12,75
2022-09-13,74
2022-09-14,76
2022-09-15,71
2022-09-16,65
2022-09-17,10
2022-09-18,18
2022-09-19,69
2022-09-20,66
2022-09-21,64
2022-09-22,70
2022-09-23,59
2022-09-24,9
2022-09-25,14
2022-09-26,56
2022-09-27,61
2022-09-28,61
2022-09-29,60
2022-09-30,56
2022-10-01,11
2022-10-02,18
2022-10-03,61
2022-10-04,59
2022-10-05,51
2022-10-06,61
2022-10-07,47
2022-10-08,10
2022-10-09,13
2022-10-10,42
2022-10-11,54
2022-10-12,44
2022-10-13,57
2022-10-14,44
2022-10-15,9
2022-10-16,15
2022-10-17,57
2022-10-18,57
2022-10-19,57
2022-10-20,54
2022-10-21,48
2022-10-22,8
2022-10-23,14
2022-10-24,54
2022-10-25,55
2022-10-26,56
2022-10-27,55
2022-10-28,46
2022-10-29,9
2022-10-30,15
2022-10-31,49
2022-11-01,50
2022-11-02,56
2022-11-03,55
2022-11-04,51
2022-11-05,9
2022-11-06,13
2022-11-07,51
2022-11-08,35
2022-11-09,45
2022-11-10,45
2022-11-11,26
2022-11-12,8
2022-11-13,14
2022-11-14,54
2022-11-15,53
2022-11-16,46
2022-11-17,52
2022-11-18,43
2022-11-19,7
2022-11-20,8
2022-11-21,26
2022-11-22,21
2022-11-23,9
2022-11-24,3
2022-11-25,3
2022-11-26,5
2022-11-27,12
2022-11-28,38
2022-11-29,42
2022-11-30,45
2022-12-01,42
2022-12-02,42
2022-12-03,7
2022-12-04,12
2022-12-05,63
2022-12-06,57
2022-12-07,48
2022-12-08,50
2022-12-09,44
2022-12-10,10
2022-12-11,14
2022-12-12,56
2022-12-13,53
2022-12-14,50
2022-12-15,47
2022-12-16,39
2022-12-17,7
2022-12-18,10
2022-12-19,33
2022-12-20,31
2022-12-21,23
2022-12-22,14
2022-12-23,5
2022-12-24,2
2022-12-25,1
2022-12-26,1
2022-12-27,1
2022-12-28,4
2022-12-29,3
2022-12-30,3
2022-12-31,3
2023-01-01,3
2023-01-02,6
2023-01-03,19
2023-01-04,26
2023-01-05,30
2023-01-06,27
2023-01-07,6
2023-01-08,9
2023-01-09,40
2023-01-10,43
2023-01-11,44
2023-01-12,42
2023-01-13,38
2023-01-14,5
2023-01-15,6
2023-01-16,13
2023-01-17,53
2023-01-18,50
2023-01-19,50
2023-01-20,43
2023-01-21,8
2023-01-22,12
2023-01-23,51
2023-01-24,46
2023-01-25,45
2023-01-26,45
2023-01-27,38
2023-01-28,7
2023-01-29,11
2023-01-30,47
2023-01-31,45
2023-02-01,39
2023-02-02,43
2023-02-03,40
2023-02-04,7
2023-02-05,12
2023-02-06,45
2023-02-07,46
2023-02-08,46
2023-02-09,46
2023-02-10,41
2023-02-11,7
2023-02-12,10
2023-02-13,42
2023-02-14,42
2023-02-15,45
2023-02-16,46
2023-02-17,35
2023-02-18,4
2023-02-19,6
2023-02-20,14
2023-02-21,42
2023-02-22,35
2023-02-23,37
2023-02-24,36
2023-02-25,6
2023-02-26,12
2023-02-27,50
2023-02-28,41
2023-03-01,43
2023-03-02,44
2023-03-03,38
2023-03-04,7
2023-03-05,13
2023-03-06,47
2023-03-07,44
2023-03-08,45
2023-03-09,44
2023-03-10,41
2023-03-11,7
2023-03-12,10
2023-03-13,34
2023-03-14,35
2023-03-15,35
2023-03-16,33
2023-03-17,30
2023-03-18,8
2023-03-19,11
2023-03-20,43
2023-03-21,41
2023-03-22,41
2023-03-23,47
2023-03-24,43
2023-03-25,8
2023-03-26,13
2023-03-27,49
2023-03-28,46
2023-03-29,46
2023-03-30,45
2023-03-31,37
2023-04-01,9
2023-04-02,14
2023-04-03,43
2023-04-04,42
2023-04-05,38
2023-04-06,34
2023-04-07,17
2023-04-08,9
2023-04-09,13
2023-04-10,44
2023-04-11,49
2023-04-12,48
2023-04-13,49
2023-04-14,52
2023-04-15,13
2023-04-16,19
2023-04-17,73
2023-04-18,67
2023-04-19,74
2023-04-20,70
2023-04-21,60
2023-04-22,17
2023-04-23,25
2023-04-24,94
2023-04-25,85
2023-04-26,82
2023-04-27,89
2023-04-28,79
2023-04-29,29
2023-04-30,43
2023-05-01,100
2023-05-02,93
2023-05-03,79
2023-05-04,70
2023-05-05,48
2023-05-06,17
2023-05-07,24
2023-05-08,54
2023-05-09,38
2023-05-10,30
2023-05-11,21
2023-05-12,11
2023-05-13,2
2023-05-14,4
2023-05-15,12
2023-05-16,10
2023-05-17,10
2023-05-18,9
2023-05-19,9
2023-05-20,2
2023-05-21,2
2023-05-22,8
2023-05-23,7
2023-05-24,5
2023-05-25,6
