Time,sports
2024-08-18,63
2024-08-19,57
2024-08-20,58
2024-08-21,55
2024-08-22,57
2024-08-23,60
2024-08-24,76
2024-08-25,70
2024-08-26,60
2024-08-27,60
2024-08-28,59
2024-08-29,59
2024-08-30,67
2024-08-31,90
2024-09-01,74
2024-09-02,67
2024-09-03,60
2024-09-04,65
2024-09-05,64
2024-09-06,69
2024-09-07,100
2024-09-08,100
2024-09-09,64
2024-09-10,60
2024-09-11,53
2024-09-12,57
2024-09-13,64
2024-09-14,89
2024-09-15,89
2024-09-16,59
2024-09-17,59
2024-09-18,58
2024-09-19,61
2024-09-20,63
2024-09-21,98
2024-09-22,90
2024-09-23,58
2024-09-24,59
2024-09-25,54
2024-09-26,57
2024-09-27,58
2024-09-28,84
2024-09-29,85
2024-09-30,58
2024-10-01,58
2024-10-02,55
2024-10-03,57
2024-10-04,62
2024-10-05,83
2024-10-06,82
2024-10-07,62
2024-10-08,55
2024-10-09,56
2024-10-10,61
2024-10-11,61
2024-10-12,82
2024-10-13,80
2024-10-14,62
2024-10-15,60
2024-10-16,59
2024-10-17,61
2024-10-18,64
2024-10-19,84
2024-10-20,84
2024-10-21,64
2024-10-22,61
2024-10-23,61
2024-10-24,61
2024-10-25,65
2024-10-26,91
2024-10-27,88
2024-10-28,59
2024-10-29,61
2024-10-30,62
2024-10-31,64
2024-11-01,60
2024-11-02,81
2024-11-03,76
2024-11-04,58
2024-11-05,53
2024-11-06,39
2024-11-07,56
2024-11-08,57
2024-11-09,76
2024-11-10,80
2024-11-11,61
2024-11-12,57
2024-11-13,59
2024-11-14,58
2024-11-15,61
2024-11-16,77
2024-11-17,81
2024-11-18,60
2024-11-19,57
2024-11-20,55
2024-11-21,57
2024-11-22,60
2024-11-23,75
2024-11-24,81
2024-11-25,58
2024-11-26,55
2024-11-27,58
2024-11-28,66
2024-11-29,85
2024-11-30,84
2024-12-01,75
2024-12-02,62
2024-12-03,60
2024-12-04,60
2024-12-05,57
2024-12-06,59
2024-12-07,72
2024-12-08,82
2024-12-09,59
2024-12-10,60
2024-12-11,57
2024-12-12,58
2024-12-13,57
2024-12-14,76
2024-12-15,79
2024-12-16,62
2024-12-17,63
2024-12-18,62
2024-12-19,58
2024-12-20,61
2024-12-21,85
2024-12-22,78
2024-12-23,61
2024-12-24,64
2024-12-25,56
2024-12-26,60
2024-12-27,61
2024-12-28,69
2024-12-29,68
2024-12-30,59
2024-12-31,63
2025-01-01,65
2025-01-02,62
2025-01-03,60
2025-01-04,72
2025-01-05,71
2025-01-06,63
2025-01-07,59
2025-01-08,57
2025-01-09,56
2025-01-10,61
2025-01-11,73
2025-01-12,74
2025-01-13,60
2025-01-14,58
2025-01-15,58
2025-01-16,59
2025-01-17,62
2025-01-18,74
2025-01-19,78
2025-01-20,59
2025-01-21,56
2025-01-22,53
2025-01-23,59
2025-01-24,57
2025-01-25,69
2025-01-26,84
2025-01-27,61
2025-01-28,56
2025-01-29,58
2025-01-30,52
2025-01-31,56
2025-02-01,64
2025-02-02,66
2025-02-03,54
2025-02-04,57
2025-02-05,64
2025-02-06,62
2025-02-07,60
2025-02-08,76
2025-02-09,89
2025-02-10,73
2025-02-11,57
2025-02-12,57
2025-02-13,56
2025-02-14,55
2025-02-15,65
2025-02-16,64
2025-02-17,54
2025-02-18,55
2025-02-19,54
2025-02-20,57
2025-02-21,62
2025-02-22,69
2025-02-23,69
2025-02-24,61
2025-02-25,59
2025-02-26,63
2025-02-27,62
2025-02-28,62
2025-03-01,74
2025-03-02,70
2025-03-03,60
2025-03-04,62
2025-03-05,59
2025-03-06,59
2025-03-07,61
2025-03-08,71
2025-03-09,71
2025-03-10,59
2025-03-11,59
2025-03-12,59
2025-03-13,62
2025-03-14,61
2025-03-15,72
2025-03-16,68
2025-03-17,62
2025-03-18,62
2025-03-19,62
2025-03-20,83
2025-03-21,73
2025-03-22,74
2025-03-23,72
2025-03-24,60
2025-03-25,59
2025-03-26,61
2025-03-27,66
2025-03-28,70
2025-03-29,80
2025-03-30,73
2025-03-31,61
2025-04-01,57
2025-04-02,59
2025-04-03,60
2025-04-04,59
2025-04-05,71
2025-04-06,70
2025-04-07,57
2025-04-08,61
2025-04-09,57
2025-04-10,56
2025-04-11,56
2025-04-12,66
2025-04-13,64
2025-04-14,55
2025-04-15,57
2025-04-16,58
2025-04-17,56
2025-04-18,55
2025-04-19,64
2025-04-20,59
2025-04-21,54
2025-04-22,58
2025-04-23,60
2025-04-24,57
2025-04-25,61
2025-04-26,71
2025-04-27,65
2025-04-28,58
2025-04-29,63
2025-04-30,60
2025-05-01,60
2025-05-02,59
2025-05-03,72
2025-05-04,67
2025-05-05,60
2025-05-06,61
2025-05-07,56
2025-05-08,58
2025-05-09,56
2025-05-10,64
2025-05-11,61
2025-05-12,57
2025-05-13,61
2025-05-14,60
