Time,sports
2022-01-01,55
2022-01-02,65
2022-01-03,50
2022-01-04,53
2022-01-05,47
2022-01-06,38
2022-01-07,48
2022-01-08,62
2022-01-09,64
2022-01-10,55
2022-01-11,53
2022-01-12,48
2022-01-13,46
2022-01-14,39
2022-01-15,64
2022-01-16,61
2022-01-17,50
2022-01-18,41
2022-01-19,40
2022-01-20,42
2022-01-21,45
2022-01-22,63
2022-01-23,76
2022-01-24,64
2022-01-25,40
2022-01-26,41
2022-01-27,42
2022-01-28,47
2022-01-29,60
2022-01-30,74
2022-01-31,56
2022-02-01,45
2022-02-02,50
2022-02-03,47
2022-02-04,48
2022-02-05,59
2022-02-06,59
2022-02-07,48
2022-02-08,50
2022-02-09,51
2022-02-10,49
2022-02-11,59
2022-02-12,65
2022-02-13,80
2022-02-14,65
2022-02-15,47
2022-02-16,48
2022-02-17,49
2022-02-18,49
2022-02-19,61
2022-02-20,56
2022-02-21,47
2022-02-22,44
2022-02-23,47
2022-02-24,45
2022-02-25,43
2022-02-26,57
2022-02-27,52
2022-02-28,45
2022-03-01,45
2022-03-02,47
2022-03-03,46
2022-03-04,48
2022-03-05,62
2022-03-06,58
2022-03-07,48
2022-03-08,46
2022-03-09,48
2022-03-10,52
2022-03-11,50
2022-03-12,62
2022-03-13,58
2022-03-14,53
2022-03-15,51
2022-03-16,53
2022-03-17,64
2022-03-18,64
2022-03-19,71
2022-03-20,68
2022-03-21,54
2022-03-22,49
2022-03-23,46
2022-03-24,51
2022-03-25,58
2022-03-26,70
2022-03-27,69
2022-03-28,46
2022-03-29,46
2022-03-30,50
2022-03-31,48
2022-04-01,49
2022-04-02,63
2022-04-03,62
2022-04-04,49
2022-04-05,49
2022-04-06,47
2022-04-07,50
2022-04-08,53
2022-04-09,61
2022-04-10,56
2022-04-11,45
2022-04-12,45
2022-04-13,45
2022-04-14,46
2022-04-15,48
2022-04-16,57
2022-04-17,54
2022-04-18,45
2022-04-19,48
2022-04-20,49
2022-04-21,50
2022-04-22,45
2022-04-23,58
2022-04-24,58
2022-04-25,45
2022-04-26,49
2022-04-27,52
2022-04-28,51
2022-04-29,54
2022-04-30,63
2022-05-01,56
2022-05-02,47
2022-05-03,46
2022-05-04,51
2022-05-05,45
2022-05-06,44
2022-05-07,58
2022-05-08,56
2022-05-09,45
2022-05-10,47
2022-05-11,49
2022-05-12,49
2022-05-13,49
2022-05-14,60
2022-05-15,55
2022-05-16,49
2022-05-17,51
2022-05-18,50
2022-05-19,50
2022-05-20,48
2022-05-21,58
2022-05-22,57
2022-05-23,46
2022-05-24,44
2022-05-25,46
2022-05-26,46
2022-05-27,47
2022-05-28,59
2022-05-29,54
2022-05-30,49
2022-05-31,46
2022-06-01,45
2022-06-02,45
2022-06-03,49
2022-06-04,51
2022-06-05,52
2022-06-06,47
2022-06-07,44
2022-06-08,45
2022-06-09,50
2022-06-10,45
2022-06-11,54
2022-06-12,51
2022-06-13,44
2022-06-14,46
2022-06-15,45
2022-06-16,45
2022-06-17,50
2022-06-18,50
2022-06-19,51
2022-06-20,43
2022-06-21,41
2022-06-22,43
2022-06-23,44
2022-06-24,43
2022-06-25,49
2022-06-26,46
2022-06-27,44
2022-06-28,41
2022-06-29,40
2022-06-30,42
2022-07-01,43
2022-07-02,44
2022-07-03,46
2022-07-04,42
2022-07-05,40
2022-07-06,40
2022-07-07,40
2022-07-08,43
2022-07-09,46
2022-07-10,46
2022-07-11,41
2022-07-12,38
2022-07-13,43
2022-07-14,43
2022-07-15,43
2022-07-16,48
2022-07-17,47
2022-07-18,43
2022-07-19,41
2022-07-20,42
2022-07-21,41
2022-07-22,42
2022-07-23,49
2022-07-24,47
2022-07-25,43
2022-07-26,43
2022-07-27,43
2022-07-28,42
2022-07-29,45
2022-07-30,50
2022-07-31,53
2022-08-01,45
2022-08-02,47
2022-08-03,46
2022-08-04,45
2022-08-05,48
2022-08-06,53
2022-08-07,50
2022-08-08,43
2022-08-09,45
2022-08-10,48
2022-08-11,47
2022-08-12,48
2022-08-13,55
2022-08-14,55
2022-08-15,48
2022-08-16,48
2022-08-17,46
2022-08-18,46
2022-08-19,51
2022-08-20,59
2022-08-21,56
2022-08-22,47
2022-08-23,47
2022-08-24,47
2022-08-25,47
2022-08-26,49
2022-08-27,70
2022-08-28,61
2022-08-29,47
2022-08-30,45
2022-08-31,49
2022-09-01,52
2022-09-02,53
2022-09-03,78
2022-09-04,65
2022-09-05,56
2022-09-06,48
2022-09-07,51
2022-09-08,53
2022-09-09,57
2022-09-10,85
2022-09-11,100
2022-09-12,59
2022-09-13,49
2022-09-14,48
2022-09-15,49
2022-09-16,52
2022-09-17,79
2022-09-18,81
2022-09-19,53
2022-09-20,47
2022-09-21,46
2022-09-22,48
2022-09-23,50
2022-09-24,76
2022-09-25,81
2022-09-26,48
2022-09-27,48
