Time,sports
2022-08-29,47
2022-08-30,45
2022-08-31,49
2022-09-01,51
2022-09-02,53
2022-09-03,77
2022-09-04,65
2022-09-05,55
2022-09-06,47
2022-09-07,51
2022-09-08,53
2022-09-09,57
2022-09-10,84
2022-09-11,99
2022-09-12,59
2022-09-13,49
2022-09-14,47
2022-09-15,49
2022-09-16,51
2022-09-17,79
2022-09-18,80
2022-09-19,52
2022-09-20,46
2022-09-21,46
2022-09-22,48
2022-09-23,50
2022-09-24,76
2022-09-25,81
2022-09-26,48
2022-09-27,48
2022-09-28,43
2022-09-29,44
2022-09-30,49
2022-10-01,72
2022-10-02,78
2022-10-03,50
2022-10-04,45
2022-10-05,47
2022-10-06,47
2022-10-07,53
2022-10-08,73
2022-10-09,74
2022-10-10,51
2022-10-11,51
2022-10-12,50
2022-10-13,49
2022-10-14,52
2022-10-15,78
2022-10-16,81
2022-10-17,53
2022-10-18,50
2022-10-19,53
2022-10-20,49
2022-10-21,52
2022-10-22,73
2022-10-23,79
2022-10-24,53
2022-10-25,50
2022-10-26,49
2022-10-27,48
2022-10-28,51
2022-10-29,78
2022-10-30,74
2022-10-31,48
2022-11-01,45
2022-11-02,50
2022-11-03,51
2022-11-04,54
2022-11-05,75
2022-11-06,75
2022-11-07,51
2022-11-08,46
2022-11-09,42
2022-11-10,45
2022-11-11,48
2022-11-12,70
2022-11-13,73
2022-11-14,50
2022-11-15,48
2022-11-16,46
2022-11-17,46
2022-11-18,51
2022-11-19,69
2022-11-20,78
2022-11-21,74
2022-11-22,74
2022-11-23,62
2022-11-24,69
2022-11-25,82
2022-11-26,82
2022-11-27,75
2022-11-28,77
2022-11-29,84
2022-11-30,79
2022-12-01,63
2022-12-02,64
2022-12-03,85
2022-12-04,75
2022-12-05,67
2022-12-06,58
2022-12-07,47
2022-12-08,49
2022-12-09,77
2022-12-10,75
2022-12-11,71
2022-12-12,50
2022-12-13,64
2022-12-14,61
2022-12-15,48
2022-12-16,53
2022-12-17,66
2022-12-18,100
2022-12-19,54
2022-12-20,50
2022-12-21,52
2022-12-22,49
2022-12-23,53
2022-12-24,62
2022-12-25,47
2022-12-26,50
2022-12-27,48
2022-12-28,48
2022-12-29,51
2022-12-30,56
2022-12-31,57
2023-01-01,65
2023-01-02,57
2023-01-03,55
2023-01-04,49
2023-01-05,48
2023-01-06,48
2023-01-07,59
2023-01-08,70
2023-01-09,51
2023-01-10,50
2023-01-11,47
2023-01-12,45
2023-01-13,47
2023-01-14,64
2023-01-15,66
2023-01-16,54
2023-01-17,50
2023-01-18,45
2023-01-19,49
2023-01-20,48
2023-01-21,64
2023-01-22,73
2023-01-23,53
2023-01-24,44
2023-01-25,45
2023-01-26,47
2023-01-27,46
2023-01-28,55
2023-01-29,73
2023-01-30,54
2023-01-31,46
2023-02-01,48
2023-02-02,45
2023-02-03,47
2023-02-04,57
2023-02-05,50
2023-02-06,44
2023-02-07,46
2023-02-08,45
2023-02-09,46
2023-02-10,47
2023-02-11,62
2023-02-12,90
2023-02-13,68
2023-02-14,48
2023-02-15,48
2023-02-16,48
2023-02-17,48
2023-02-18,58
2023-02-19,54
2023-02-20,47
2023-02-21,44
2023-02-22,46
2023-02-23,45
2023-02-24,48
2023-02-25,57
2023-02-26,61
2023-02-27,46
2023-02-28,44
2023-03-01,47
2023-03-02,49
2023-03-03,49
2023-03-04,64
2023-03-05,61
2023-03-06,49
2023-03-07,46
2023-03-08,48
2023-03-09,53
2023-03-10,51
2023-03-11,62
2023-03-12,59
2023-03-13,51
2023-03-14,51
2023-03-15,54
2023-03-16,73
2023-03-17,61
2023-03-18,68
2023-03-19,66
2023-03-20,52
2023-03-21,54
2023-03-22,48
2023-03-23,49
2023-03-24,51
2023-03-25,60
2023-03-26,60
2023-03-27,48
2023-03-28,46
2023-03-29,46
2023-03-30,52
2023-03-31,49
2023-04-01,65
2023-04-02,61
2023-04-03,48
2023-04-04,52
2023-04-05,48
2023-04-06,47
2023-04-07,50
2023-04-08,54
2023-04-09,49
2023-04-10,44
2023-04-11,48
2023-04-12,46
2023-04-13,44
2023-04-14,49
2023-04-15,57
2023-04-16,55
2023-04-17,47
2023-04-18,48
2023-04-19,49
2023-04-20,48
2023-04-21,51
2023-04-22,62
2023-04-23,60
2023-04-24,45
2023-04-25,48
2023-04-26,49
2023-04-27,51
2023-04-28,50
2023-04-29,59
2023-04-30,60
2023-05-01,50
2023-05-02,47
2023-05-03,49
2023-05-04,48
2023-05-05,47
2023-05-06,55
2023-05-07,56
2023-05-08,46
2023-05-09,47
2023-05-10,47
2023-05-11,47
2023-05-12,48
2023-05-13,55
2023-05-14,48
2023-05-15,55
2023-05-16,63
2023-05-17,61
2023-05-18,53
2023-05-19,52
2023-05-20,60
2023-05-21,56
2023-05-22,50
2023-05-23,47
2023-05-24,49
2023-05-25,45
