Time,h&r_block
2022-01-01,4.0
2022-01-02,6.0
2022-01-03,12.0
2022-01-04,21.0
2022-01-05,14.0
2022-01-06,12.0
2022-01-07,15.0
2022-01-08,11.0
2022-01-09,7.0
2022-01-10,15.0
2022-01-11,16.0
2022-01-12,17.0
2022-01-13,15.0
2022-01-14,15.0
2022-01-15,16.0
2022-01-16,10.0
2022-01-17,15.0
2022-01-18,21.0
2022-01-19,23.0
2022-01-20,26.0
2022-01-21,29.0
2022-01-22,30.0
2022-01-23,25.0
2022-01-24,56.0
2022-01-25,46.0
2022-01-26,41.0
2022-01-27,44.0
2022-01-28,54.0
2022-01-29,52.0
2022-01-30,41.0
2022-01-31,64.0
2022-02-01,67.0
2022-02-02,57.0
2022-02-03,58.0
2022-02-04,60.0
2022-02-05,60.0
2022-02-06,51.0
2022-02-07,64.0
2022-02-08,59.0
2022-02-09,50.0
2022-02-10,49.0
2022-02-11,53.0
2022-02-12,48.0
2022-02-13,39.0
2022-02-14,47.0
2022-02-15,58.0
2022-02-16,61.0
2022-02-17,52.0
2022-02-18,53.0
2022-02-19,50.0
2022-02-20,40.0
2022-02-21,54.0
2022-02-22,54.0
2022-02-23,56.0
2022-02-24,48.0
2022-02-25,42.0
2022-02-26,42.0
2022-02-27,35.0
2022-02-28,49.0
2022-03-01,48.0
2022-03-02,43.0
2022-03-03,41.0
2022-03-04,43.0
2022-03-05,37.0
2022-03-06,31.0
2022-03-07,48.0
2022-03-08,42.0
2022-03-09,43.0
2022-03-10,39.0
2022-03-11,41.0
2022-03-12,36.0
2022-03-13,29.0
2022-03-14,42.0
2022-03-15,37.0
2022-03-16,38.0
2022-03-17,31.0
2022-03-18,33.0
2022-03-19,30.0
2022-03-20,26.0
2022-03-21,39.0
2022-03-22,35.0
2022-03-23,37.0
2022-03-24,33.0
2022-03-25,30.0
2022-03-26,30.0
2022-03-27,27.0
2022-03-28,32.0
2022-03-29,32.0
2022-03-30,34.0
2022-03-31,30.0
2022-04-01,31.0
2022-04-02,31.0
2022-04-03,29.0
2022-04-04,38.0
2022-04-05,36.0
2022-04-06,35.0
2022-04-07,36.0
2022-04-08,36.0
2022-04-09,38.0
2022-04-10,36.0
2022-04-11,53.0
2022-04-12,50.0
2022-04-13,49.0
2022-04-14,55.0
2022-04-15,61.0
2022-04-16,47.0
2022-04-17,44.0
2022-04-18,100.0
2022-04-19,47.0
2022-04-20,18.0
2022-04-21,16.0
2022-04-22,14.0
2022-04-23,9.0
2022-04-24,6.0
2022-04-25,13.0
2022-04-26,12.0
2022-04-27,11.0
2022-04-28,11.0
2022-04-29,10.0
2022-04-30,8.0
2022-05-01,5.0
2022-05-02,10.0
2022-05-03,10.0
2022-05-04,10.0
2022-05-05,9.0
2022-05-06,8.0
2022-05-07,5.0
2022-05-08,4.0
2022-05-09,8.0
2022-05-10,9.0
2022-05-11,8.0
2022-05-12,8.0
2022-05-13,7.0
2022-05-14,5.0
2022-05-15,3.0
2022-05-16,8.0
2022-05-17,8.0
2022-05-18,7.0
2022-05-19,8.0
2022-05-20,6.0
2022-05-21,5.0
2022-05-22,3.0
2022-05-23,7.0
2022-05-24,7.0
2022-05-25,7.0
2022-05-26,7.0
2022-05-27,6.0
2022-05-28,4.0
2022-05-29,3.0
2022-05-30,3.0
2022-05-31,8.0
2022-06-01,7.0
2022-06-02,6.0
2022-06-03,6.0
2022-06-04,4.0
2022-06-05,3.0
2022-06-06,7.0
2022-06-07,7.0
2022-06-08,6.0
2022-06-09,6.0
2022-06-10,5.0
2022-06-11,3.0
2022-06-12,2.0
2022-06-13,6.0
2022-06-14,7.0
2022-06-15,6.0
2022-06-16,6.0
2022-06-17,5.0
2022-06-18,4.0
2022-06-19,2.0
2022-06-20,6.0
2022-06-21,6.0
2022-06-22,6.0
2022-06-23,6.0
