Time,betty white
2023-04-26,18
2023-04-27,29
2023-04-28,22
2023-04-29,25
2023-04-30,27
2023-05-01,21
2023-05-02,19
2023-05-03,18
2023-05-04,21
2023-05-05,18
2023-05-06,24
2023-05-07,22
2023-05-08,24
2023-05-09,20
2023-05-10,19
2023-05-11,22
2023-05-12,20
2023-05-13,25
2023-05-14,24
2023-05-15,18
2023-05-16,18
2023-05-17,18
2023-05-18,17
2023-05-19,19
2023-05-20,18
2023-05-21,21
2023-05-22,16
2023-05-23,17
2023-05-24,23
2023-05-25,20
2023-05-26,19
2023-05-27,21
2023-05-28,21
2023-05-29,23
2023-05-30,18
2023-05-31,20
2023-06-01,15
2023-06-02,19
2023-06-03,23
2023-06-04,23
2023-06-05,19
2023-06-06,16
2023-06-07,18
2023-06-08,16
2023-06-09,15
2023-06-10,23
2023-06-11,24
2023-06-12,17
2023-06-13,16
2023-06-14,18
2023-06-15,16
2023-06-16,18
2023-06-17,21
2023-06-18,24
2023-06-19,17
2023-06-20,15
2023-06-21,19
2023-06-22,16
2023-06-23,18
2023-06-24,20
2023-06-25,22
2023-06-26,16
2023-06-27,17
2023-06-28,16
2023-06-29,16
2023-06-30,22
2023-07-01,21
2023-07-02,25
2023-07-03,24
2023-07-04,25
2023-07-05,18
2023-07-06,14
2023-07-07,21
2023-07-08,21
2023-07-09,25
2023-07-10,18
2023-07-11,16
2023-07-12,15
2023-07-13,17
2023-07-14,17
2023-07-15,24
2023-07-16,22
2023-07-17,18
2023-07-18,17
2023-07-19,19
2023-07-20,17
2023-07-21,18
2023-07-22,23
2023-07-23,21
2023-07-24,18
2023-07-25,21
2023-07-26,17
2023-07-27,23
2023-07-28,28
2023-07-29,19
2023-07-30,23
2023-07-31,22
2023-08-01,22
2023-08-02,16
2023-08-03,15
2023-08-04,19
2023-08-05,21
2023-08-06,26
2023-08-07,19
2023-08-08,17
2023-08-09,18
2023-08-10,18
2023-08-11,16
2023-08-12,21
2023-08-13,18
2023-08-14,16
2023-08-15,14
2023-08-16,20
2023-08-17,15
2023-08-18,19
2023-08-19,18
2023-08-20,21
2023-08-21,17
2023-08-22,20
2023-08-23,16
2023-08-24,16
2023-08-25,17
2023-08-26,100
2023-08-27,75
2023-08-28,34
2023-08-29,25
2023-08-30,19
2023-08-31,18
2023-09-01,20
2023-09-02,23
2023-09-03,23
2023-09-04,28
2023-09-05,20
2023-09-06,16
2023-09-07,17
2023-09-08,19
2023-09-09,20
2023-09-10,21
2023-09-11,14
2023-09-12,14
2023-09-13,14
2023-09-14,17
2023-09-15,17
2023-09-16,15
2023-09-17,18
2023-09-18,13
2023-09-19,19
2023-09-20,14
2023-09-21,17
2023-09-22,14
2023-09-23,18
2023-09-24,18
2023-09-25,15
2023-09-26,14
2023-09-27,17
2023-09-28,18
2023-09-29,17
2023-09-30,18
2023-10-01,15
2023-10-02,14
2023-10-03,15
2023-10-04,15
2023-10-05,16
2023-10-06,14
2023-10-07,18
2023-10-08,18
2023-10-09,17
2023-10-10,16
2023-10-11,15
2023-10-12,17
2023-10-13,15
2023-10-14,19
2023-10-15,19
2023-10-16,15
2023-10-17,18
2023-10-18,15
2023-10-19,15
2023-10-20,15
2023-10-21,18
2023-10-22,20
2023-10-23,14
2023-10-24,15
2023-10-25,17
2023-10-26,16
2023-10-27,14
2023-10-28,16
2023-10-29,25
2023-10-30,19
2023-10-31,18
2023-11-01,14
2023-11-02,13
2023-11-03,12
2023-11-04,16
2023-11-05,16
2023-11-06,13
2023-11-07,14
2023-11-08,16
2023-11-09,16
2023-11-10,18
2023-11-11,18
2023-11-12,19
2023-11-13,15
2023-11-14,17
2023-11-15,16
2023-11-16,16
2023-11-17,16
2023-11-18,18
2023-11-19,21
2023-11-20,16
2023-11-21,13
2023-11-22,15
2023-11-23,23
2023-11-24,19
2023-11-25,18
2023-11-26,15
2023-11-27,13
2023-11-28,15
2023-11-29,17
2023-11-30,18
2023-12-01,19
2023-12-02,19
2023-12-03,17
2023-12-04,18
2023-12-05,18
2023-12-06,18
2023-12-07,18
2023-12-08,17
2023-12-09,19
2023-12-10,27
2023-12-11,20
2023-12-12,18
2023-12-13,20
2023-12-14,22
2023-12-15,24
2023-12-16,21
2023-12-17,20
2023-12-18,20
2023-12-19,19
2023-12-20,21
2023-12-21,19
2023-12-22,23
2023-12-23,23
2023-12-24,28
2023-12-25,31
2023-12-26,20
2023-12-27,21
2023-12-28,19
2023-12-29,27
2023-12-30,25
2023-12-31,47
2024-01-01,52
2024-01-02,27
2024-01-03,23
2024-01-04,16
2024-01-05,20
2024-01-06,20
2024-01-07,25
2024-01-08,26
2024-01-09,17
2024-01-10,24
2024-01-11,16
2024-01-12,16
2024-01-13,24
2024-01-14,24
2024-01-15,19
2024-01-16,21
2024-01-17,59
2024-01-18,43
2024-01-19,23
2024-01-20,22
