Time,us_bank
2022-01-01,44.0
2022-01-02,45.0
2022-01-03,91.0
2022-01-04,98.0
2022-01-05,81.0
2022-01-06,63.0
2022-01-07,77.0
2022-01-08,66.0
2022-01-09,45.0
2022-01-10,72.0
2022-01-11,76.0
2022-01-12,71.0
2022-01-13,80.0
2022-01-14,68.0
2022-01-15,65.0
2022-01-16,39.0
2022-01-17,53.0
2022-01-18,64.0
2022-01-19,69.0
2022-01-20,72.0
2022-01-21,71.0
2022-01-22,60.0
2022-01-23,38.0
2022-01-24,68.0
2022-01-25,62.0
2022-01-26,63.0
2022-01-27,73.0
2022-01-28,74.0
2022-01-29,67.0
2022-01-30,42.0
2022-01-31,75.0
2022-02-01,80.0
2022-02-02,72.0
2022-02-03,75.0
2022-02-04,81.0
2022-02-05,68.0
2022-02-06,44.0
2022-02-07,80.0
2022-02-08,71.0
2022-02-09,69.0
2022-02-10,68.0
2022-02-11,83.0
2022-02-12,70.0
2022-02-13,45.0
2022-02-14,66.0
2022-02-15,75.0
2022-02-16,76.0
2022-02-17,67.0
2022-02-18,74.0
2022-02-19,70.0
2022-02-20,44.0
2022-02-21,62.0
2022-02-22,74.0
2022-02-23,74.0
2022-02-24,69.0
2022-02-25,73.0
2022-02-26,66.0
2022-02-27,48.0
2022-02-28,79.0
2022-03-01,89.0
2022-03-02,85.0
2022-03-03,81.0
2022-03-04,84.0
2022-03-05,69.0
2022-03-06,49.0
2022-03-07,73.0
2022-03-08,78.0
2022-03-09,76.0
2022-03-10,76.0
2022-03-11,76.0
2022-03-12,66.0
2022-03-13,47.0
2022-03-14,74.0
2022-03-15,76.0
2022-03-16,72.0
2022-03-17,68.0
2022-03-18,78.0
2022-03-19,68.0
2022-03-20,47.0
2022-03-21,72.0
2022-03-22,71.0
2022-03-23,72.0
2022-03-24,72.0
2022-03-25,71.0
2022-03-26,63.0
2022-03-27,44.0
2022-03-28,65.0
2022-03-29,68.0
2022-03-30,75.0
2022-03-31,78.0
2022-04-01,92.0
