Time,gas_station_near_me
2022-01-01,67.0
2022-01-02,54.0
2022-01-03,44.0
2022-01-04,49.0
2022-01-05,45.0
2022-01-06,35.0
2022-01-07,41.0
2022-01-08,50.0
2022-01-09,48.0
2022-01-10,37.0
2022-01-11,37.0
2022-01-12,36.0
2022-01-13,37.0
2022-01-14,37.0
2022-01-15,53.0
2022-01-16,49.0
2022-01-17,38.0
2022-01-18,30.0
2022-01-19,36.0
2022-01-20,38.0
2022-01-21,40.0
2022-01-22,49.0
2022-01-23,48.0
2022-01-24,47.0
2022-01-25,32.0
2022-01-26,36.0
2022-01-27,37.0
2022-01-28,46.0
2022-01-29,51.0
2022-01-30,55.0
2022-01-31,41.0
2022-02-01,39.0
2022-02-02,37.0
2022-02-03,45.0
2022-02-04,46.0
2022-02-05,55.0
2022-02-06,54.0
2022-02-07,41.0
2022-02-08,38.0
2022-02-09,35.0
2022-02-10,39.0
2022-02-11,46.0
2022-02-12,62.0
2022-02-13,55.0
2022-02-14,43.0
2022-02-15,43.0
2022-02-16,40.0
2022-02-17,40.0
2022-02-18,51.0
2022-02-19,59.0
2022-02-20,62.0
2022-02-21,50.0
2022-02-22,41.0
2022-02-23,43.0
2022-02-24,49.0
2022-02-25,55.0
2022-02-26,59.0
2022-02-27,61.0
2022-02-28,47.0
2022-03-01,44.0
2022-03-02,44.0
2022-03-03,46.0
2022-03-04,59.0
2022-03-05,68.0
2022-03-06,73.0
2022-03-07,55.0
2022-03-08,54.0
2022-03-09,50.0
2022-03-10,54.0
2022-03-11,54.0
2022-03-12,65.0
2022-03-13,69.0
2022-03-14,56.0
2022-03-15,47.0
2022-03-16,48.0
2022-03-17,51.0
2022-03-18,57.0
2022-03-19,67.0
2022-03-20,65.0
2022-03-21,49.0
2022-03-22,44.0
2022-03-23,47.0
2022-03-24,51.0
2022-03-25,46.0
2022-03-26,63.0
2022-03-27,61.0
2022-03-28,41.0
2022-03-29,38.0
2022-03-30,42.0
2022-03-31,42.0
2022-04-01,48.0
2022-04-02,60.0
2022-04-03,61.0
2022-04-04,41.0
2022-04-05,40.0
