Time,solitaire
2022-08-29,86
2022-08-30,85
2022-08-31,74
2022-09-01,87
2022-09-02,83
2022-09-03,64
2022-09-04,66
2022-09-05,69
2022-09-06,85
2022-09-07,85
2022-09-08,85
2022-09-09,89
2022-09-10,61
2022-09-11,59
2022-09-12,87
2022-09-13,89
2022-09-14,89
2022-09-15,88
2022-09-16,91
2022-09-17,60
2022-09-18,64
2022-09-19,88
2022-09-20,91
2022-09-21,85
2022-09-22,91
2022-09-23,85
2022-09-24,64
2022-09-25,63
2022-09-26,80
2022-09-27,88
2022-09-28,84
2022-09-29,87
2022-09-30,85
2022-10-01,58
2022-10-02,59
2022-10-03,86
2022-10-04,88
2022-10-05,86
2022-10-06,88
2022-10-07,89
2022-10-08,61
2022-10-09,62
2022-10-10,82
2022-10-11,88
2022-10-12,89
2022-10-13,91
2022-10-14,86
2022-10-15,63
2022-10-16,63
2022-10-17,85
2022-10-18,92
2022-10-19,91
2022-10-20,91
2022-10-21,84
2022-10-22,63
2022-10-23,63
2022-10-24,86
2022-10-25,93
2022-10-26,87
2022-10-27,87
2022-10-28,86
2022-10-29,63
2022-10-30,61
2022-10-31,84
2022-11-01,86
2022-11-02,88
2022-11-03,93
2022-11-04,92
2022-11-05,63
2022-11-06,59
2022-11-07,87
2022-11-08,82
2022-11-09,85
2022-11-10,86
2022-11-11,78
2022-11-12,64
2022-11-13,64
2022-11-14,87
2022-11-15,91
2022-11-16,89
2022-11-17,92
2022-11-18,90
2022-11-19,65
2022-11-20,63
2022-11-21,81
2022-11-22,84
2022-11-23,73
2022-11-24,58
2022-11-25,62
2022-11-26,59
2022-11-27,62
2022-11-28,79
2022-11-29,84
2022-11-30,84
2022-12-01,87
2022-12-02,87
2022-12-03,62
2022-12-04,60
2022-12-05,82
2022-12-06,89
2022-12-07,86
2022-12-08,91
2022-12-09,84
2022-12-10,64
2022-12-11,63
2022-12-12,83
2022-12-13,86
2022-12-14,90
2022-12-15,90
2022-12-16,87
2022-12-17,65
2022-12-18,62
2022-12-19,84
2022-12-20,85
2022-12-21,84
2022-12-22,80
2022-12-23,73
2022-12-24,66
2022-12-25,60
2022-12-26,69
2022-12-27,73
2022-12-28,74
2022-12-29,74
2022-12-30,72
2022-12-31,66
2023-01-01,65
2023-01-02,70
2023-01-03,75
2023-01-04,83
2023-01-05,83
2023-01-06,85
2023-01-07,66
2023-01-08,66
2023-01-09,84
2023-01-10,91
2023-01-11,93
2023-01-12,97
2023-01-13,91
2023-01-14,69
2023-01-15,64
2023-01-16,71
2023-01-17,88
2023-01-18,88
2023-01-19,94
2023-01-20,92
2023-01-21,67
2023-01-22,66
2023-01-23,88
2023-01-24,91
2023-01-25,87
2023-01-26,100
2023-01-27,95
2023-01-28,69
2023-01-29,65
2023-01-30,90
2023-01-31,95
2023-02-01,87
2023-02-02,91
2023-02-03,99
2023-02-04,68
2023-02-05,66
2023-02-06,92
2023-02-07,94
2023-02-08,90
2023-02-09,97
2023-02-10,94
2023-02-11,67
2023-02-12,66
2023-02-13,88
2023-02-14,98
2023-02-15,95
2023-02-16,93
2023-02-17,90
2023-02-18,67
2023-02-19,67
2023-02-20,78
2023-02-21,91
2023-02-22,87
2023-02-23,87
2023-02-24,89
2023-02-25,69
2023-02-26,68
2023-02-27,93
2023-02-28,90
2023-03-01,91
2023-03-02,90
2023-03-03,84
2023-03-04,69
2023-03-05,64
2023-03-06,90
2023-03-07,87
2023-03-08,92
2023-03-09,93
2023-03-10,88
2023-03-11,68
2023-03-12,68
2023-03-13,81
2023-03-14,85
2023-03-15,84
2023-03-16,87
2023-03-17,81
2023-03-18,69
2023-03-19,67
2023-03-20,91
2023-03-21,90
2023-03-22,90
2023-03-23,85
2023-03-24,92
2023-03-25,70
2023-03-26,70
2023-03-27,87
2023-03-28,92
2023-03-29,90
2023-03-30,90
2023-03-31,87
2023-04-01,68
2023-04-02,67
2023-04-03,85
2023-04-04,84
2023-04-05,87
2023-04-06,88
2023-04-07,77
2023-04-08,68
2023-04-09,64
2023-04-10,83
2023-04-11,89
2023-04-12,86
2023-04-13,88
2023-04-14,87
2023-04-15,67
2023-04-16,68
2023-04-17,87
2023-04-18,90
2023-04-19,90
2023-04-20,91
2023-04-21,87
2023-04-22,69
2023-04-23,71
2023-04-24,89
2023-04-25,95
2023-04-26,87
2023-04-27,86
2023-04-28,84
2023-04-29,67
2023-04-30,70
2023-05-01,90
2023-05-02,89
2023-05-03,86
2023-05-04,86
2023-05-05,88
2023-05-06,65
2023-05-07,65
2023-05-08,90
2023-05-09,90
2023-05-10,86
2023-05-11,87
2023-05-12,88
2023-05-13,67
2023-05-14,66
2023-05-15,88
2023-05-16,87
2023-05-17,84
2023-05-18,84
2023-05-19,88
2023-05-20,68
2023-05-21,69
2023-05-22,87
2023-05-23,86
2023-05-24,86
2023-05-25,83
